1 Espace(s) en fin de ligne à supprimer. [[21:23]] => ===== Contact : =====   <|>    => suggestions : ['']

3 Mot inconnu : at [[20:22]] => **g [point] savart [at] gmail [point] com**  <|> at
3 Espace(s) en fin de ligne à supprimer. [[43:44]] => **g [point] savart [at] gmail [point] com**  <|>   => suggestions : ['']

5 Typographie : points de suspension. Utilisez le caractère dédié. [[25:28]] => ===== Petite présentation... ===== <|> ... => suggestions : ['…']

7 Mot inconnu : gnu [[165:168]] => Je fais donc un peu de traduction pour la communauté du logiciel libre, par philosophie et surtout par plaisir. Je participe ainsi à différents projets dont ceux de gnu.org, traduc.org, rosetta et depuis peu pour le wiki ubuntu !  <|> gnu
7 Mot inconnu : traduc [[174:180]] => Je fais donc un peu de traduction pour la communauté du logiciel libre, par philosophie et surtout par plaisir. Je participe ainsi à différents projets dont ceux de gnu.org, traduc.org, rosetta et depuis peu pour le wiki ubuntu !  <|> traduc
7 Mot inconnu : rosetta [[186:193]] => Je fais donc un peu de traduction pour la communauté du logiciel libre, par philosophie et surtout par plaisir. Je participe ainsi à différents projets dont ceux de gnu.org, traduc.org, rosetta et depuis peu pour le wiki ubuntu !  <|> rosetta
7 Espace(s) en fin de ligne à supprimer. [[229:230]] => Je fais donc un peu de traduction pour la communauté du logiciel libre, par philosophie et surtout par plaisir. Je participe ainsi à différents projets dont ceux de gnu.org, traduc.org, rosetta et depuis peu pour le wiki ubuntu !  <|>   => suggestions : ['']

9 Confusion : “quelque” est un déterminant. [[397:409]] => J'apprécie en effet le côté pédagogique de ce wiki, l'ouverture d'esprit apparente des concepteurs, et surtout leur volonté affichée de rassembler et hiérarchiser de manière logique toute l'information disponible sur Ubuntu. Car pour un débutant, le problème n'est pas de trouver de l'aide (il y en a à foison sur le web) mais bien de trouver une information précise, à jour, et qui lui convienne quelque soit son niveau. <|> quelque soit => suggestions : ['quel que soit', 'quelle que soit', 'quels que soient', 'quelles que soient']

11 Mot inconnu : Win [[110:113]] => Pour ce qui est de Linux, j'y suis passé par obligation et curiosité. Suite à un crash complet de mon PC sous Win Me et de la perte de la partition de restauration, je me retrouvais sans OS. C'était l'occasion idéale de tester Linux in-situ ! Je me suis donc lancé grâce à Mandrake, avec laquelle j'ai d'ailleurs beaucoup appris.  <|> win
11 Incohérence avec « Me » : « et » devrait être un verbe. [[117:119]] => Pour ce qui est de Linux, j'y suis passé par obligation et curiosité. Suite à un crash complet de mon PC sous Win Me et de la perte de la partition de restauration, je me retrouvais sans OS. C'était l'occasion idéale de tester Linux in-situ ! Je me suis donc lancé grâce à Mandrake, avec laquelle j'ai d'ailleurs beaucoup appris.  <|> et => suggestions : ['aient', 'es', 'hait', 'aies', 'aie', 'ai', 'hais', 'ait', 'est']
11 Espace(s) en fin de ligne à supprimer. [[329:330]] => Pour ce qui est de Linux, j'y suis passé par obligation et curiosité. Suite à un crash complet de mon PC sous Win Me et de la perte de la partition de restauration, je me retrouvais sans OS. C'était l'occasion idéale de tester Linux in-situ ! Je me suis donc lancé grâce à Mandrake, avec laquelle j'ai d'ailleurs beaucoup appris.  <|>   => suggestions : ['']
13 Espace(s) surnuméraire(s) à supprimer. [[270:272]] => Puis par curiosité j'ai essayé différentes distributions, pour enfin tomber par hasard sur Ubuntu, qui avait l'avantage d'être libre, légère et rapide (même sur une machine un peu ancienne !). Le cycle de développement d'Ubuntu me convient bien et je l'utilise désormais  aussi bien à titre perso que professionnel, et l'utilise désormais tous les jours avec le même plaisir ! <|>    => suggestions : [' ']
