1 Mot inconnu : Aelor => * **Aelor**, de son vrai prénom Sébastien. | aelor

2 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Travaille sur lille depuis le 10/04/2006 |    => suggestions : ['']
2 Mot inconnu : lille =>   * Travaille sur lille depuis le 10/04/2006 | lille

3 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 22 ans. |    => suggestions : ['']

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mail : aelor _DOT_ net _AT_ wanadoo _DOT_ fr   |    => suggestions : ['']
4 Mot inconnu : aelor =>   * Mail : aelor _DOT_ net _AT_ wanadoo _DOT_ fr   | aelor
4 Mot inconnu : _DOT_ =>   * Mail : aelor _DOT_ net _AT_ wanadoo _DOT_ fr   | _dot_
4 Mot inconnu : _AT_ =>   * Mail : aelor _DOT_ net _AT_ wanadoo _DOT_ fr   | _at_
4 Mot inconnu : wanadoo =>   * Mail : aelor _DOT_ net _AT_ wanadoo _DOT_ fr   | wanadoo
4 Mot inconnu : _DOT_ =>   * Mail : aelor _DOT_ net _AT_ wanadoo _DOT_ fr   | _dot_
4 Espace(s) en fin de ligne à supprimer. =>   * Mail : aelor _DOT_ net _AT_ wanadoo _DOT_ fr   |    => suggestions : ['']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Msn : aelor _AT_ hotmail _DOT_ fr - Plus pour longtemps, 4 contacts indécrochables |    => suggestions : ['']
5 Mot inconnu : Msn =>   * Msn : aelor _AT_ hotmail _DOT_ fr - Plus pour longtemps, 4 contacts indécrochables | msn
5 Mot inconnu : aelor =>   * Msn : aelor _AT_ hotmail _DOT_ fr - Plus pour longtemps, 4 contacts indécrochables | aelor
5 Mot inconnu : _AT_ =>   * Msn : aelor _AT_ hotmail _DOT_ fr - Plus pour longtemps, 4 contacts indécrochables | _at_
5 Mot inconnu : hotmail =>   * Msn : aelor _AT_ hotmail _DOT_ fr - Plus pour longtemps, 4 contacts indécrochables | hotmail
5 Mot inconnu : _DOT_ =>   * Msn : aelor _AT_ hotmail _DOT_ fr - Plus pour longtemps, 4 contacts indécrochables | _dot_
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Msn : aelor _AT_ hotmail _DOT_ fr - Plus pour longtemps, 4 contacts indécrochables |  -  => suggestions : [' – ', ' — ', ' − ']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Jabber : aelor _AT_ jabber _DOT_ ubuntu-fr _DOT_ org |    => suggestions : ['']
6 Mot inconnu : Jabber =>   * Jabber : aelor _AT_ jabber _DOT_ ubuntu-fr _DOT_ org | jabber
6 Mot inconnu : aelor =>   * Jabber : aelor _AT_ jabber _DOT_ ubuntu-fr _DOT_ org | aelor
6 Mot inconnu : _AT_ =>   * Jabber : aelor _AT_ jabber _DOT_ ubuntu-fr _DOT_ org | _at_
6 Mot inconnu : jabber =>   * Jabber : aelor _AT_ jabber _DOT_ ubuntu-fr _DOT_ org | jabber
6 Mot inconnu : _DOT_ =>   * Jabber : aelor _AT_ jabber _DOT_ ubuntu-fr _DOT_ org | _dot_
6 Mot inconnu : ubuntu-fr =>   * Jabber : aelor _AT_ jabber _DOT_ ubuntu-fr _DOT_ org | ubuntu-fr
6 Mot inconnu : _DOT_ =>   * Jabber : aelor _AT_ jabber _DOT_ ubuntu-fr _DOT_ org | _dot_

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Utilisateur d'ubuntu depuis la sortie de la Hoary, modérateur du salon irc ce qui est parfois compliqué. |    => suggestions : ['']
7 Mot inconnu : Hoary =>   * Utilisateur d'ubuntu depuis la sortie de la Hoary, modérateur du salon irc ce qui est parfois compliqué. | hoary
7 Mot inconnu : irc =>   * Utilisateur d'ubuntu depuis la sortie de la Hoary, modérateur du salon irc ce qui est parfois compliqué. | irc

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Développeur web avec un intéret tout particulier pour les normes, ne comptez donc pas sur moi pour vous apprendre à utiliser dreamweaver ! |    => suggestions : ['']
8 Mot inconnu : intéret =>   * Développeur web avec un intéret tout particulier pour les normes, ne comptez donc pas sur moi pour vous apprendre à utiliser dreamweaver ! | intéret
8 Mot inconnu : dreamweaver =>   * Développeur web avec un intéret tout particulier pour les normes, ne comptez donc pas sur moi pour vous apprendre à utiliser dreamweaver ! | dreamweaver

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Membre de [[http://www.campux.org|Campux]] et de [[http://rubyfr.org|RubyFR]]. |    => suggestions : ['']
