1 Mot inconnu : Tamors => ====== Tamors ====== | tamors

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Pseudonymes utilisés:** Tamors |    => suggestions : ['']
8 Mot inconnu : Tamors =>   * **Pseudonymes utilisés:** Tamors | tamors

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Résidence:** Genève (Suisse) [[http://www.ubuntu-fr.org/carte/|map]] |    => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Première utilisation personnelle de Ubuntu:** 2006 |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Courriel:** tamors//<arobase>//tamors//<dot>//com |    => suggestions : ['']
14 Mot inconnu : tamors =>   * **Courriel:** tamors//<arobase>//tamors//<dot>//com | tamors
14 Mot inconnu : tamors =>   * **Courriel:** tamors//<arobase>//tamors//<dot>//com | tamors

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Sites web:** |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * [[http://www.tamors.com]]: Site perso |      => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * [[http://www.choose-magazine.com]]: Magazine traitant du cinéma, musique, DVD, série TV, jeux et livre&BD. |      => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * [[http://www.infosystems-ge.ch]]: société suisse active dans le domaine des services informatiques. |      => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * [[http://vimatrophees.ch/]]: e-commerce proposant un très grand choix de coupes et médailles. |      => suggestions : ['']
