1 Espace(s) en fin de ligne à supprimer. => Bonjour à tous !  |   => suggestions : ['']

5 Mot inconnu : distris => Je m'y intéresse depuis **quelques années** (1998 environ) et j'ai suivi les évolutions des systèmes Linux et des distributions. Avec les premières distris, le plus gros problème était l'installation de la carte graphite et de X. Ce problème est résolu depuis longtemps. | distris

7 Mot inconnu : Mandrake => J'ai utilisé successivement des distributions Mandrake 8, 9 et 10 et deux distribution Suse. | mandrake
7 Accord de nombre erroné avec « deux » : « distribution » devrait être au pluriel. => J'ai utilisé successivement des distributions Mandrake 8, 9 et 10 et deux distribution Suse. | distribution => suggestions : ['distributions']
7 Mot inconnu : Suse => J'ai utilisé successivement des distributions Mandrake 8, 9 et 10 et deux distribution Suse. | suse
10 Mot inconnu : chipset => Seule ombre au tableau : l'installation de cartes Wifi, qui est en grande partie due au fait qu'il est difficile de suivre l'évolution des cartes (les fabricants changeant le chipset desdites cartes sans en informer l'utilisateur). | chipset
12 Mot inconnu : Chipset => Mon projet est modeste : après avoir passé un certain temps à installer une carte basée sur un Chipset rt61, je souhaite partager cette expérience et traduire en le rendant accessible aux débutants un tuto en langue anglaise qui m'a permis cette installation. | chipset
12 Mot inconnu : rt61 => Mon projet est modeste : après avoir passé un certain temps à installer une carte basée sur un Chipset rt61, je souhaite partager cette expérience et traduire en le rendant accessible aux débutants un tuto en langue anglaise qui m'a permis cette installation. | rt61
14 Espace(s) en fin de ligne à supprimer. => Vous pouvez me joindre à l'adresse suivante :  |   => suggestions : ['']
