3 Mot inconnu : MADMAKER [[14:22]] => nom de code : MADMAKER <|> madmaker
5 Mot inconnu : glandouillateur-Ingénieur [[13:38]] => profession : glandouillateur-Ingénieur en électronique/systemes                                                                            embarqués/informatique <|> glandouillateur-ingénieur
5 Mot inconnu : systemes [[55:63]] => profession : glandouillateur-Ingénieur en électronique/systemes                                                                            embarqués/informatique <|> systemes
5 Espace(s) surnuméraire(s) à supprimer. [[63:139]] => profession : glandouillateur-Ingénieur en électronique/systemes                                                                            embarqués/informatique <|>                                                                              => suggestions : None

7 Il manque probablement un trait d’union. [[0:11]] => passe temps: tous sauf windows <|> passe temps => suggestions : None
9 Espace(s) surnuméraire(s) à supprimer. [[36:38]] => signe distinctif: couleur de peaux :  ubuntu <|>    => suggestions : None
11 Accord de nombre erroné : « commun » est au singulier. [[35:38]] => but dans la vie : vulgariser linux aux commun des mortels (y comrpis moi meme ) ... et un jour peut etre ces parents, ne sachant pas utiliser une telecommande :D <|> aux => suggestions : None
11 Accord de nombre erroné : « commun » devrait être au pluriel. [[39:45]] => but dans la vie : vulgariser linux aux commun des mortels (y comrpis moi meme ) ... et un jour peut etre ces parents, ne sachant pas utiliser une telecommande :D <|> commun => suggestions : None
11 Mot inconnu : comrpis [[61:68]] => but dans la vie : vulgariser linux aux commun des mortels (y comrpis moi meme ) ... et un jour peut etre ces parents, ne sachant pas utiliser une telecommande :D <|> comrpis
11 Mot inconnu : meme [[73:77]] => but dans la vie : vulgariser linux aux commun des mortels (y comrpis moi meme ) ... et un jour peut etre ces parents, ne sachant pas utiliser une telecommande :D <|> meme
11 Pas d’espace avant ce signe. [[77:79]] => but dans la vie : vulgariser linux aux commun des mortels (y comrpis moi meme ) ... et un jour peut etre ces parents, ne sachant pas utiliser une telecommande :D <|>  ) => suggestions : None
11 Typographie : points de suspension. Utilisez le caractère dédié. [[80:83]] => but dans la vie : vulgariser linux aux commun des mortels (y comrpis moi meme ) ... et un jour peut etre ces parents, ne sachant pas utiliser une telecommande :D <|> ... => suggestions : None
11 Mot inconnu : etre [[100:104]] => but dans la vie : vulgariser linux aux commun des mortels (y comrpis moi meme ) ... et un jour peut etre ces parents, ne sachant pas utiliser une telecommande :D <|> etre
11 Mot inconnu : telecommande [[146:158]] => but dans la vie : vulgariser linux aux commun des mortels (y comrpis moi meme ) ... et un jour peut etre ces parents, ne sachant pas utiliser une telecommande :D <|> telecommande

14 Pas d’espace après ce signe. [[0:2]] => ( LOL le mégalo LOL ) <|> (  => suggestions : None
14 Pas d’espace avant ce signe. [[19:21]] => ( LOL le mégalo LOL ) <|>  ) => suggestions : None

16 Typographie : points de suspension. Utilisez le caractère dédié. [[42:45]] => gros sens (et gros flair) de la bidouille ... d'ou ce surnom que l'on voit fleurire sur quelque forums techniques a travers le web <|> ... => suggestions : None
16 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. [[48:50]] => gros sens (et gros flair) de la bidouille ... d'ou ce surnom que l'on voit fleurire sur quelque forums techniques a travers le web <|> ou => suggestions : None
16 Mot inconnu : fleurire [[75:83]] => gros sens (et gros flair) de la bidouille ... d'ou ce surnom que l'on voit fleurire sur quelque forums techniques a travers le web <|> fleurire
16 Il manque un “s” à « quelque » ou « forums » doit être au singulier. [[88:95]] => gros sens (et gros flair) de la bidouille ... d'ou ce surnom que l'on voit fleurire sur quelque forums techniques a travers le web <|> quelque => suggestions : None
16 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. [[114:115]] => gros sens (et gros flair) de la bidouille ... d'ou ce surnom que l'on voit fleurire sur quelque forums techniques a travers le web <|> a => suggestions : None
