1 Mot inconnu : Kagou => Kagou de mon vrai nom VETSEL Patrice. | kagou
1 Mot inconnu : VETSEL => Kagou de mon vrai nom VETSEL Patrice. | vetsel

3 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Né le 23 janvier 1971 à Nîmes (30) |    => suggestions : ['']

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Divorcé, et papa de 3 magnifiques garçons avec ma nouvelle compagne |    => suggestions : ['']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Artisan électricien |    => suggestions : ['']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Tombé dans Linux depuis 1993 et Ubuntero de la première heure |    => suggestions : ['']
6 Mot inconnu : Ubuntero =>   * Tombé dans Linux depuis 1993 et Ubuntero de la première heure | ubuntero

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * mail -> ubuntu@kagou.fr |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * blog -> http://blog.kagou.fr |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * site sur Ubuntu -> http://www.ubuntulinux.fr |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://wiki.ubuntu.com/VetselPatrice |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://launchpad.net/people/vetsel-patrice |    => suggestions : ['']
