1 Mot inconnu : zHt => ====== zHt ====== | zht

7 Mot inconnu : zHt => Je me surnomme zHt, petit contributeur au wiki d'Ubuntu-fr. Je modifie pour l'instant principalement les pages concernant le matos que je possède, mais je remanie a ma façon certains paragraphes ici, et là... | zht
7 Confusion probable : “a” est une conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Je me surnomme zHt, petit contributeur au wiki d'Ubuntu-fr. Je modifie pour l'instant principalement les pages concernant le matos que je possède, mais je remanie a ma façon certains paragraphes ici, et là... | a => suggestions : ['à']
7 Typographie : points de suspension. Utilisez le caractère dédié. => Je me surnomme zHt, petit contributeur au wiki d'Ubuntu-fr. Je modifie pour l'instant principalement les pages concernant le matos que je possède, mais je remanie a ma façon certains paragraphes ici, et là... | ... => suggestions : ['…']
12 Mot inconnu : ok => ===== La documentation d'Ubuntu: Manipuler ok, mais niveau compréhension? ===== | ok

16 Guillemets typographiques ouvrants. => Contrairement aux autres contributeurs, je ne suis pas un "grand enfant" d'Ubuntu. | " => suggestions : ['«\xa0', '“']
16 Guillemets typographiques fermants. => Contrairement aux autres contributeurs, je ne suis pas un "grand enfant" d'Ubuntu. | " => suggestions : ['\xa0»', '”']

18 Typographie : points de suspension. Utilisez le caractère dédié. => Au contraire, je trouve cette distribution très bien et surtout bien adaptée aux débutants, mais le problème c'est que ces débutants le restent... | ... => suggestions : ['…']

20 Mot inconnu : Mandriva => Je suis donc plutôt du genre a leur conseiller une Fedora, ou une Mandriva. | mandriva

28 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => Vous pourrez donc remarquer a travers mes pages ou les pages que j'ai modifiée pour la plupart qu'elles sont plutôt lourdes, certes, mais riches en informations. | a => suggestions : ['à']
28 Si “les pages…” est bien le COD du participe passé “modifiée”, celui-ci devrait être au pluriel (et accordé en genre). => Vous pourrez donc remarquer a travers mes pages ou les pages que j'ai modifiée pour la plupart qu'elles sont plutôt lourdes, certes, mais riches en informations. | modifiée => suggestions : ['modifiées']

30 Mot inconnu : linux => Au moins, le débutant qui lira ces lignes aura appris quelque chose sur linux et ne restera pas bien longtemps un débutant. | linux

