1 Mot inconnu : NLCF [[7:11]] => ====== NLCF ====== <|> nlcf

6 Mot inconnu : Lecerf [[8:14]] => Nicolas Lecerf <|> lecerf

8 Espace(s) en fin de ligne à supprimer. [[10:11]] => Né en 1978  <|>   => suggestions : ['']
18 Mot inconnu : Bennecourt [[6:16]] =>   * à Bennecourt (78) de Juillet 2004 à Juin 2007 <|> bennecourt
18 Pas de majuscule sur les mois. [[25:32]] =>   * à Bennecourt (78) de Juillet 2004 à Juin 2007 <|> juillet => suggestions : ['juillet']
18 Pas de majuscule sur les mois. [[40:44]] =>   * à Bennecourt (78) de Juillet 2004 à Juin 2007 <|> juin => suggestions : ['juin']
19 Pas de majuscule sur les mois. [[30:38]] =>   * à Mantes la Jolie (78) de Novembre 2000 à Juillet 2004 <|> novembre => suggestions : ['novembre']
19 Pas de majuscule sur les mois. [[46:53]] =>   * à Mantes la Jolie (78) de Novembre 2000 à Juillet 2004 <|> juillet => suggestions : ['juillet']

23 Forme interrogative. Désaccord avec “je”. Le verbe n’est pas à la 1ʳᵉ personne du singulier. [[10:17]] => ===== Que fait-je ? ===== <|> fait-je => suggestions : ['faisais-je', 'fais-je', 'fis-je']

25 Mot inconnu : BACPRO [[60:66]] => Enseignant en lycée professionnel pour des élèves de BEP et BACPRO MEI, pour les matières effectués en atelier (électricité, pneumatique, etc) <|> bacpro
25 Mot inconnu : MEI [[67:70]] => Enseignant en lycée professionnel pour des élèves de BEP et BACPRO MEI, pour les matières effectués en atelier (électricité, pneumatique, etc) <|> mei
25 Accord de genre erroné entre « matières » et « effectués ». [[90:99]] => Enseignant en lycée professionnel pour des élèves de BEP et BACPRO MEI, pour les matières effectués en atelier (électricité, pneumatique, etc) <|> effectués => suggestions : ['effectuées']

31 Mot inconnu : nlcfATfreePOINTfr [[0:17]] => nlcfATfreePOINTfr <|> nlcfatfreepointfr

35 Si “Les personnes…” est bien le COD du participe passé “converti”, celui-ci devrait être au pluriel (et accordé en genre). [[29:37]] => ===== Les personnes que j'ai converti ===== <|> converti => suggestions : ['convertis']
41 Mot inconnu : tres [[57:61]] =>   * Ma femme (elle n'a pas eu le choix, mais elle en est tres contente) <|> tres
42 Mot inconnu : delphine [[41:49]] =>   * Depuis le 30 juillet 2008 ma cousine delphine <|> delphine
43 Mot inconnu : vincent [[36:43]] =>   * Depuis le 20 aout 2008 mon pote vincent dit le plombar <|> vincent
43 Mot inconnu : plombar [[51:58]] =>   * Depuis le 20 aout 2008 mon pote vincent dit le plombar <|> plombar
44 Mot inconnu : Netbook [[34:41]] =>   * Depuis le 18 décembre 2008 le Netbook ACER ONE d'un collègue   <|> netbook
44 Mot inconnu : ONE [[47:50]] =>   * Depuis le 18 décembre 2008 le Netbook ACER ONE d'un collègue   <|> one
44 Espace(s) en fin de ligne à supprimer. [[64:66]] =>   * Depuis le 18 décembre 2008 le Netbook ACER ONE d'un collègue   <|>    => suggestions : ['']
45 Mot inconnu : Netbook [[33:40]] =>   * Depuis le 11 janvier 2009 le Netbook MSI WIND de Nicolas dit SWAT972 <|> netbook
45 Mot inconnu : MSI [[41:44]] =>   * Depuis le 11 janvier 2009 le Netbook MSI WIND de Nicolas dit SWAT972 <|> msi
45 Mot inconnu : WIND [[45:49]] =>   * Depuis le 11 janvier 2009 le Netbook MSI WIND de Nicolas dit SWAT972 <|> wind
45 Mot inconnu : SWAT972 [[65:72]] =>   * Depuis le 11 janvier 2009 le Netbook MSI WIND de Nicolas dit SWAT972 <|> swat972

47 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[5:6]] => ==== A venir ==== <|> a => suggestions : ['À']
50 Mot inconnu : Seb [[4:7]] =>   * Seb vers Ubuntu Studio Il l'a fait tout seul comme un grand <|> seb
52 Mot inconnu : collegues [[8:17]] =>   * les collegues pour le moment 2 <|> collegues
53 Mot inconnu : EEE [[46:49]] =>   * Ben vers une solution ubuntu mais pour un EEE 900, et comme tout est simple dans la vie il fait un tour du monde en ce moment. <|> eee

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

64 Pas de majuscule sur les mois. [[3:7]] => 13 Juin 2009 <|> juin => suggestions : ['juin']

67 Pas de majuscule sur les mois. [[2:5]] => 5 Mai 2009 <|> mai => suggestions : ['mai']
68 Mot inconnu : MRIM [[98:102]] => Présentation et réalisation de l'installation d'ubuntu 9.04 par une classe de terminal en bac pro MRIM, et en présence de l'inspecteur. <|> mrim
