1 Mot inconnu : SkeRoy [[7:13]] => ====== SkeRoy ====== <|> skeroy

6 Mot inconnu : viel [[3:7]] => Un viel //XBook// (Compal 56) de 2004 qui tourne au poil sous Debian lenny. Et oui, j'ai été infidèle. Exclusivement ubuntueros entre 2005 (Hoary) et 2008 (Intrepid), je suis passé sous debian suite à des bugs gênants d'Intrepid, et je m'y plait. Néanmoins, je dois avouer que la dernière installation de jaunty que j'ai faite m'a vraiment bluffée. La rapidité d'évolution de GNU/linux est vraiment impressionnante. On tient le bon bout, j'en suis convaincu ! <|> viel
6 Mot inconnu : XBook [[10:15]] => Un viel //XBook// (Compal 56) de 2004 qui tourne au poil sous Debian lenny. Et oui, j'ai été infidèle. Exclusivement ubuntueros entre 2005 (Hoary) et 2008 (Intrepid), je suis passé sous debian suite à des bugs gênants d'Intrepid, et je m'y plait. Néanmoins, je dois avouer que la dernière installation de jaunty que j'ai faite m'a vraiment bluffée. La rapidité d'évolution de GNU/linux est vraiment impressionnante. On tient le bon bout, j'en suis convaincu ! <|> xbook
6 Mot inconnu : Compal [[19:25]] => Un viel //XBook// (Compal 56) de 2004 qui tourne au poil sous Debian lenny. Et oui, j'ai été infidèle. Exclusivement ubuntueros entre 2005 (Hoary) et 2008 (Intrepid), je suis passé sous debian suite à des bugs gênants d'Intrepid, et je m'y plait. Néanmoins, je dois avouer que la dernière installation de jaunty que j'ai faite m'a vraiment bluffée. La rapidité d'évolution de GNU/linux est vraiment impressionnante. On tient le bon bout, j'en suis convaincu ! <|> compal
6 Mot inconnu : lenny [[69:74]] => Un viel //XBook// (Compal 56) de 2004 qui tourne au poil sous Debian lenny. Et oui, j'ai été infidèle. Exclusivement ubuntueros entre 2005 (Hoary) et 2008 (Intrepid), je suis passé sous debian suite à des bugs gênants d'Intrepid, et je m'y plait. Néanmoins, je dois avouer que la dernière installation de jaunty que j'ai faite m'a vraiment bluffée. La rapidité d'évolution de GNU/linux est vraiment impressionnante. On tient le bon bout, j'en suis convaincu ! <|> lenny
6 Mot inconnu : ubuntueros [[117:127]] => Un viel //XBook// (Compal 56) de 2004 qui tourne au poil sous Debian lenny. Et oui, j'ai été infidèle. Exclusivement ubuntueros entre 2005 (Hoary) et 2008 (Intrepid), je suis passé sous debian suite à des bugs gênants d'Intrepid, et je m'y plait. Néanmoins, je dois avouer que la dernière installation de jaunty que j'ai faite m'a vraiment bluffée. La rapidité d'évolution de GNU/linux est vraiment impressionnante. On tient le bon bout, j'en suis convaincu ! <|> ubuntueros
6 Mot inconnu : Hoary [[140:145]] => Un viel //XBook// (Compal 56) de 2004 qui tourne au poil sous Debian lenny. Et oui, j'ai été infidèle. Exclusivement ubuntueros entre 2005 (Hoary) et 2008 (Intrepid), je suis passé sous debian suite à des bugs gênants d'Intrepid, et je m'y plait. Néanmoins, je dois avouer que la dernière installation de jaunty que j'ai faite m'a vraiment bluffée. La rapidité d'évolution de GNU/linux est vraiment impressionnante. On tient le bon bout, j'en suis convaincu ! <|> hoary
6 Mot inconnu : Intrepid [[156:164]] => Un viel //XBook// (Compal 56) de 2004 qui tourne au poil sous Debian lenny. Et oui, j'ai été infidèle. Exclusivement ubuntueros entre 2005 (Hoary) et 2008 (Intrepid), je suis passé sous debian suite à des bugs gênants d'Intrepid, et je m'y plait. Néanmoins, je dois avouer que la dernière installation de jaunty que j'ai faite m'a vraiment bluffée. La rapidité d'évolution de GNU/linux est vraiment impressionnante. On tient le bon bout, j'en suis convaincu ! <|> intrepid
6 Mot inconnu : debian [[186:192]] => Un viel //XBook// (Compal 56) de 2004 qui tourne au poil sous Debian lenny. Et oui, j'ai été infidèle. Exclusivement ubuntueros entre 2005 (Hoary) et 2008 (Intrepid), je suis passé sous debian suite à des bugs gênants d'Intrepid, et je m'y plait. Néanmoins, je dois avouer que la dernière installation de jaunty que j'ai faite m'a vraiment bluffée. La rapidité d'évolution de GNU/linux est vraiment impressionnante. On tient le bon bout, j'en suis convaincu ! <|> debian
6 Mot inconnu : Intrepid [[220:228]] => Un viel //XBook// (Compal 56) de 2004 qui tourne au poil sous Debian lenny. Et oui, j'ai été infidèle. Exclusivement ubuntueros entre 2005 (Hoary) et 2008 (Intrepid), je suis passé sous debian suite à des bugs gênants d'Intrepid, et je m'y plait. Néanmoins, je dois avouer que la dernière installation de jaunty que j'ai faite m'a vraiment bluffée. La rapidité d'évolution de GNU/linux est vraiment impressionnante. On tient le bon bout, j'en suis convaincu ! <|> intrepid
6 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[240:245]] => Un viel //XBook// (Compal 56) de 2004 qui tourne au poil sous Debian lenny. Et oui, j'ai été infidèle. Exclusivement ubuntueros entre 2005 (Hoary) et 2008 (Intrepid), je suis passé sous debian suite à des bugs gênants d'Intrepid, et je m'y plait. Néanmoins, je dois avouer que la dernière installation de jaunty que j'ai faite m'a vraiment bluffée. La rapidité d'évolution de GNU/linux est vraiment impressionnante. On tient le bon bout, j'en suis convaincu ! <|> plait => suggestions : ['plais']
6 Mot inconnu : jaunty [[305:311]] => Un viel //XBook// (Compal 56) de 2004 qui tourne au poil sous Debian lenny. Et oui, j'ai été infidèle. Exclusivement ubuntueros entre 2005 (Hoary) et 2008 (Intrepid), je suis passé sous debian suite à des bugs gênants d'Intrepid, et je m'y plait. Néanmoins, je dois avouer que la dernière installation de jaunty que j'ai faite m'a vraiment bluffée. La rapidité d'évolution de GNU/linux est vraiment impressionnante. On tient le bon bout, j'en suis convaincu ! <|> jaunty
