
3 Mot inconnu : jmduno [[0:6]] => jmduno at gmail point com <|> jmduno
3 Mot inconnu : at [[7:9]] => jmduno at gmail point com <|> at
3 Mot inconnu : gmail [[10:15]] => jmduno at gmail point com <|> gmail

9 Accord de nombre erroné : « structure » devrait être au pluriel. [[102:111]] => Je suis <del>Français</del> breton, étudiant en école d'ingénieurs (en mécanique des matériaux et des structure. Pas en informatique, donc je ne programme pas).  <|> structure => suggestions : ['structures']
9 Espace(s) en fin de ligne à supprimer. [[160:161]] => Je suis <del>Français</del> breton, étudiant en école d'ingénieurs (en mécanique des matériaux et des structure. Pas en informatique, donc je ne programme pas).  <|>   => suggestions : ['']

12 Mot inconnu : Ca [[0:2]] => Ca fait plus d'un an que j'ai quitté Windows. De temps en temps, je refait une petite rechute. (quand je n'arrive pas à faire marcher le wifi ou pour mon ipod) <|> ca
12 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[68:74]] => Ca fait plus d'un an que j'ai quitté Windows. De temps en temps, je refait une petite rechute. (quand je n'arrive pas à faire marcher le wifi ou pour mon ipod) <|> refait => suggestions : ['refis', 'refaisais', 'refais']
12 Mot inconnu : ipod [[154:158]] => Ca fait plus d'un an que j'ai quitté Windows. De temps en temps, je refait une petite rechute. (quand je n'arrive pas à faire marcher le wifi ou pour mon ipod) <|> ipod

13 Mot inconnu : Mandriva [[27:35]] => J'ai été un utilisateur de Mandriva pendant plus d'un an.  <|> mandriva
13 Espace(s) en fin de ligne à supprimer. [[57:58]] => J'ai été un utilisateur de Mandriva pendant plus d'un an.  <|>   => suggestions : ['']

17 Accord de nombre erroné : « plugin » devrait être au pluriel. [[18:24]] => J'ai installé les plugin flash, java, le pilote nvidia, le wifi, la touche multimedia, qui ne marchait pas "out-of-the-box", grâce à la documentation de Ubuntu-fr <|> plugin => suggestions : ['plugins']
17 Mot inconnu : nvidia [[48:54]] => J'ai installé les plugin flash, java, le pilote nvidia, le wifi, la touche multimedia, qui ne marchait pas "out-of-the-box", grâce à la documentation de Ubuntu-fr <|> nvidia
17 Mot inconnu : multimedia [[75:85]] => J'ai installé les plugin flash, java, le pilote nvidia, le wifi, la touche multimedia, qui ne marchait pas "out-of-the-box", grâce à la documentation de Ubuntu-fr <|> multimedia
17 Guillemets typographiques ouvrants. [[107:108]] => J'ai installé les plugin flash, java, le pilote nvidia, le wifi, la touche multimedia, qui ne marchait pas "out-of-the-box", grâce à la documentation de Ubuntu-fr <|> " => suggestions : ['«\xa0', '“']
17 Mot inconnu : out-of-the-box [[108:122]] => J'ai installé les plugin flash, java, le pilote nvidia, le wifi, la touche multimedia, qui ne marchait pas "out-of-the-box", grâce à la documentation de Ubuntu-fr <|> out-of-the-box
17 Guillemets typographiques fermants. [[122:123]] => J'ai installé les plugin flash, java, le pilote nvidia, le wifi, la touche multimedia, qui ne marchait pas "out-of-the-box", grâce à la documentation de Ubuntu-fr <|> " => suggestions : ['\xa0»', '”']
19 Mot inconnu : laptop [[41:47]] => Pour information: j'utilise un portable (laptop en bon Quebecois)  <|> laptop
19 Mot inconnu : Quebecois [[55:64]] => Pour information: j'utilise un portable (laptop en bon Quebecois)  <|> quebecois
19 Espace(s) en fin de ligne à supprimer. [[65:66]] => Pour information: j'utilise un portable (laptop en bon Quebecois)  <|>   => suggestions : ['']
20 Mot inconnu : zd7320ea [[3:11]] => hp zd7320ea <|> zd7320ea

22 Mot inconnu : amarok [[36:42]] => J'utilise Gnome. Cependant, j'adore amarok et k3b. <|> amarok
22 Mot inconnu : k3b [[46:49]] => J'utilise Gnome. Cependant, j'adore amarok et k3b. <|> k3b
31 Mot inconnu : ht [[39:41]] =>   * Mettre un noyau pour le pentium IV ht (686-smp) <|> ht
31 Mot inconnu : smp [[47:50]] =>   * Mettre un noyau pour le pentium IV ht (686-smp) <|> smp
32 Mot inconnu : réseu [[50:55]] =>   * Permettre à un utilisateur de se connecter au réseu dont le wifi <|> réseu
33 Mot inconnu : Ipod [[39:43]] =>   * Synchroniser mes contacts avec mon Ipod (Gtkpod le fait  grâce à un script que je n'ai pas encore trouvé) <|> ipod
33 Mot inconnu : Gtkpod [[45:51]] =>   * Synchroniser mes contacts avec mon Ipod (Gtkpod le fait  grâce à un script que je n'ai pas encore trouvé) <|> gtkpod
33 Espace(s) surnuméraire(s) à supprimer. [[59:61]] =>   * Synchroniser mes contacts avec mon Ipod (Gtkpod le fait  grâce à un script que je n'ai pas encore trouvé) <|>    => suggestions : [' ']
34 Mot inconnu : Ipod [[103:107]] =>   * Trouver un Calendrier que je puisse mettre avec Thunderbird facilement et le synchroniser avec Mon Ipod <|> ipod
35 Mot inconnu : thunderbird [[39:50]] =>   * Trouver quelque chose de mieux que thunderbird: Aussi bonne gestion des contacts, import de mes mails et de la configuration depuis Thunderbird avec en plus un calendrier, un gestionnaire de tache ... genre evolution, ou kmail (ou en fait prendre le temps de configurer evolution) <|> thunderbird
35 Typographie : points de suspension. Utilisez le caractère dédié. [[201:204]] =>   * Trouver quelque chose de mieux que thunderbird: Aussi bonne gestion des contacts, import de mes mails et de la configuration depuis Thunderbird avec en plus un calendrier, un gestionnaire de tache ... genre evolution, ou kmail (ou en fait prendre le temps de configurer evolution) <|> ... => suggestions : ['…']
35 Mot inconnu : evolution [[211:220]] =>   * Trouver quelque chose de mieux que thunderbird: Aussi bonne gestion des contacts, import de mes mails et de la configuration depuis Thunderbird avec en plus un calendrier, un gestionnaire de tache ... genre evolution, ou kmail (ou en fait prendre le temps de configurer evolution) <|> evolution
35 Mot inconnu : kmail [[225:230]] =>   * Trouver quelque chose de mieux que thunderbird: Aussi bonne gestion des contacts, import de mes mails et de la configuration depuis Thunderbird avec en plus un calendrier, un gestionnaire de tache ... genre evolution, ou kmail (ou en fait prendre le temps de configurer evolution) <|> kmail
35 Mot inconnu : evolution [[274:283]] =>   * Trouver quelque chose de mieux que thunderbird: Aussi bonne gestion des contacts, import de mes mails et de la configuration depuis Thunderbird avec en plus un calendrier, un gestionnaire de tache ... genre evolution, ou kmail (ou en fait prendre le temps de configurer evolution) <|> evolution
39 Guillemets typographiques ouvrants. [[87:88]] =>   * <del>Trouver comment mettre des puces sur ce Wiki</del> il faut utiliser le bouton "liste libre" 10 cm au dessus <|> " => suggestions : ['«\xa0', '“']
39 Guillemets typographiques fermants. [[99:100]] =>   * <del>Trouver comment mettre des puces sur ce Wiki</del> il faut utiliser le bouton "liste libre" 10 cm au dessus <|> " => suggestions : ['\xa0»', '”']
39 Il manque un trait d’union. [[107:116]] =>   * <del>Trouver comment mettre des puces sur ce Wiki</del> il faut utiliser le bouton "liste libre" 10 cm au dessus <|> au dessus => suggestions : ['au-dessus']
40 Accord de genre erroné : « image » est féminin. [[34:36]] =>   * <del>Trouver comment rajouter un image sur le wiki</del> je mettrai le lien interne quand je serai au point http://doc.ubuntu-fr.org/wiki/ajout_image <|> un => suggestions : ['une']
40 Accord de genre erroné : « un » est un déterminant masculin. [[37:42]] =>   * <del>Trouver comment rajouter un image sur le wiki</del> je mettrai le lien interne quand je serai au point http://doc.ubuntu-fr.org/wiki/ajout_image <|> image => suggestions : ['imagé']
42 Il manque un espace. [[80:86]] =>   *<del> Trouver comment mettre un lien vers une page du wiki</del> [[doku>wiki:syntax#internes|ici mais en anglais]] mais ce n'est pas encore au point je pointe vers les pages en anglais <|> syntax => suggestions : [' syntax']
42 Mot inconnu : syntax [[80:86]] =>   *<del> Trouver comment mettre un lien vers une page du wiki</del> [[doku>wiki:syntax#internes|ici mais en anglais]] mais ce n'est pas encore au point je pointe vers les pages en anglais <|> syntax
43 Accord de nombre erroné avec “autres”. [[22:27]] =>   * et plein d'autres chose <|> chose => suggestions : ['choses']
44 Mot inconnu : Ecrire [[4:10]] =>   * Ecrire un sujet sur l'archos av500 <|> ecrire
44 Mot inconnu : archos [[26:32]] =>   * Ecrire un sujet sur l'archos av500 <|> archos
44 Mot inconnu : av500 [[33:38]] =>   * Ecrire un sujet sur l'archos av500 <|> av500
