1 Mot inconnu : Ubuntucus [[9:18]] => ====== H.Ubuntucus ====== <|> ubuntucus

3 Typographie : points de suspension. Utilisez le caractère dédié. [[55:58]] => Professionnel de l'informatique, mais aussi utilisateur... Sévissant dans la région de Valence d'Agen (82) Tarn et Garonne et un peu le Gers. <|> ... => suggestions : None
4 Typographie : points de suspension. Utilisez le caractère dédié. [[50:53]] => 50 ans (déjà) et de formation autodidacte (et oui)... Voilà <|> ... => suggestions : None
9 Mot inconnu : ZX81 [[4:8]] =>   * ZX81 architecture et début de prog sous l'univers bien connu du basic du Z80... période courte. <|> zx81
9 Mot inconnu : prog [[34:38]] =>   * ZX81 architecture et début de prog sous l'univers bien connu du basic du Z80... période courte. <|> prog
9 Mot inconnu : basic [[68:73]] =>   * ZX81 architecture et début de prog sous l'univers bien connu du basic du Z80... période courte. <|> basic
9 Mot inconnu : Z80 [[77:80]] =>   * ZX81 architecture et début de prog sous l'univers bien connu du basic du Z80... période courte. <|> z80
9 Typographie : points de suspension. Utilisez le caractère dédié. [[80:83]] =>   * ZX81 architecture et début de prog sous l'univers bien connu du basic du Z80... période courte. <|> ... => suggestions : None
13 Formatage des grands nombres. [[44:49]] =>   * Passage à l'univers du PC, les premiers 80386 !!! Le DOS et sa ligne de commande bien à elle... Ma première souris... <|> 80386 => suggestions : None
13 Typographie : points de suspension. Utilisez le caractère dédié. [[96:99]] =>   * Passage à l'univers du PC, les premiers 80386 !!! Le DOS et sa ligne de commande bien à elle... Ma première souris... <|> ... => suggestions : None
13 Typographie : points de suspension. Utilisez le caractère dédié. [[118:121]] =>   * Passage à l'univers du PC, les premiers 80386 !!! Le DOS et sa ligne de commande bien à elle... Ma première souris... <|> ... => suggestions : None
14 Mot inconnu : dev [[66:69]] =>   * Petit passage vers UNIX et surtout Prologue pour une boite de dev de logiciels spécifiques avec une incartade du côté de l'AS400 'très vite oublié)... <|> dev
14 Mot inconnu : AS400 [[127:132]] =>   * Petit passage vers UNIX et surtout Prologue pour une boite de dev de logiciels spécifiques avec une incartade du côté de l'AS400 'très vite oublié)... <|> as400
14 Guillemets typographiques ouvrants. [[133:134]] =>   * Petit passage vers UNIX et surtout Prologue pour une boite de dev de logiciels spécifiques avec une incartade du côté de l'AS400 'très vite oublié)... <|> ' => suggestions : None
14 Typographie : points de suspension. Utilisez le caractère dédié. [[151:154]] =>   * Petit passage vers UNIX et surtout Prologue pour une boite de dev de logiciels spécifiques avec une incartade du côté de l'AS400 'très vite oublié)... <|> ... => suggestions : None
18 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[50:52]] =>   * Toujours le DOS mais avec 3.11 cette fois. Les .ini et les bidouilles de toute part... Arf !!! <|>  . => suggestions : None
18 Mot inconnu : ini [[52:55]] =>   * Toujours le DOS mais avec 3.11 cette fois. Les .ini et les bidouilles de toute part... Arf !!! <|> ini
18 Typographie : points de suspension. Utilisez le caractère dédié. [[87:90]] =>   * Toujours le DOS mais avec 3.11 cette fois. Les .ini et les bidouilles de toute part... Arf !!! <|> ... => suggestions : None
18 Mot inconnu : Arf [[91:94]] =>   * Toujours le DOS mais avec 3.11 cette fois. Les .ini et les bidouilles de toute part... Arf !!! <|> arf

22 Mot inconnu : developpement [[121:134]] => Le Néolithique avec sur le plan professionnel une approche des réseaux ainsi que le montage des machines, et le début du developpement de certaines applis ( pour le privé, c'est à dire moi ), Pascal notemment. <|> developpement
22 Pas d’espace après ce signe. [[155:157]] => Le Néolithique avec sur le plan professionnel une approche des réseaux ainsi que le montage des machines, et le début du developpement de certaines applis ( pour le privé, c'est à dire moi ), Pascal notemment. <|> (  => suggestions : None
22 Il manque les traits d’union. [[172:184]] => Le Néolithique avec sur le plan professionnel une approche des réseaux ainsi que le montage des machines, et le début du developpement de certaines applis ( pour le privé, c'est à dire moi ), Pascal notemment. <|> c'est à dire => suggestions : None
22 Pas d’espace avant ce signe. [[188:190]] => Le Néolithique avec sur le plan professionnel une approche des réseaux ainsi que le montage des machines, et le début du developpement de certaines applis ( pour le privé, c'est à dire moi ), Pascal notemment. <|>  ) => suggestions : None
22 Mot inconnu : notemment [[199:208]] => Le Néolithique avec sur le plan professionnel une approche des réseaux ainsi que le montage des machines, et le début du developpement de certaines applis ( pour le privé, c'est à dire moi ), Pascal notemment. <|> notemment
26 Mot inconnu : ini [[75:78]] =>   * Période sombre de la découverte de 95 et de sa base de registre et ses ini. <|> ini
30 Typographie : points de suspension. Utilisez le caractère dédié. [[29:32]] =>   * La suite avec 98, consort... et toujours sa base de registre et ses ini. <|> ... => suggestions : None
30 Mot inconnu : ini [[72:75]] =>   * La suite avec 98, consort... et toujours sa base de registre et ses ini. <|> ini
34 Typographie : points de suspension. Utilisez le caractère dédié. [[22:25]] =>   * La saga 2000 et Xp... Encore la même base... <|> ... => suggestions : None
34 Typographie : points de suspension. Utilisez le caractère dédié. [[45:48]] =>   * La saga 2000 et Xp... Encore la même base... <|> ... => suggestions : None

37 Mot inconnu : RedHat [[43:49]] => Pendant ce temps, découverte de Linux avec RedHat et son install à la mimine, puis plein d'autre du genre Debian, Fedora, Mandrake etc... <|> redhat
37 Mot inconnu : install [[57:64]] => Pendant ce temps, découverte de Linux avec RedHat et son install à la mimine, puis plein d'autre du genre Debian, Fedora, Mandrake etc... <|> install
37 Avant « etc. », il faut mettre une virgule. [[130:135]] => Pendant ce temps, découverte de Linux avec RedHat et son install à la mimine, puis plein d'autre du genre Debian, Fedora, Mandrake etc... <|>  etc. => suggestions : None
37 Un seul point après « etc. » [[131:137]] => Pendant ce temps, découverte de Linux avec RedHat et son install à la mimine, puis plein d'autre du genre Debian, Fedora, Mandrake etc... <|> etc... => suggestions : None
38 Typographie : points de suspension. Utilisez le caractère dédié. [[116:119]] => Utilisation pro surtout en tant que serveurs, passerelles, routeurs, nettoyeur, firewall j'en passe et des meilleurs... <|> ... => suggestions : None
40 Mot inconnu : Breeeezee [[21:30]] => Aujourd'hui : Ubuntu Breeeezee et très vite 6.06. (je suis passé à l'utilisation bureau et maintenant à la maison, et pour mes clients également) <|> breeeezee

47 Mot inconnu : Nux [[101:104]] => Pour en revenir à Ubuntu et redevenir sérieux un peu, c'est bien la première fois qu'un système sous Nux me séduit autant. Tant du côté utilisation que par son côté ergonomique de sa configuration. Une vrai partie de plaisir, c'est même plus drôle. Il n'empêche qu'ici nous avons ouvert des yeux gros comme çà quand on à vu avec quelle facilité déclarer une imprimante ou configurer le réseau... Bref Adopté illico. <|> nux
47 Accord de genre erroné : « vrai » est masculin. [[198:201]] => Pour en revenir à Ubuntu et redevenir sérieux un peu, c'est bien la première fois qu'un système sous Nux me séduit autant. Tant du côté utilisation que par son côté ergonomique de sa configuration. Une vrai partie de plaisir, c'est même plus drôle. Il n'empêche qu'ici nous avons ouvert des yeux gros comme çà quand on à vu avec quelle facilité déclarer une imprimante ou configurer le réseau... Bref Adopté illico. <|> une => suggestions : None
47 Accord de genre erroné : « Une » est un déterminant féminin. [[202:206]] => Pour en revenir à Ubuntu et redevenir sérieux un peu, c'est bien la première fois qu'un système sous Nux me séduit autant. Tant du côté utilisation que par son côté ergonomique de sa configuration. Une vrai partie de plaisir, c'est même plus drôle. Il n'empêche qu'ici nous avons ouvert des yeux gros comme çà quand on à vu avec quelle facilité déclarer une imprimante ou configurer le réseau... Bref Adopté illico. <|> vrai => suggestions : None
