1 Mot inconnu : Fabien26 [[7:15]] => ====== Fabien26 ====== <|> fabien26

7 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. [[78:83]] => Je reste curieux des avancés des différents systèmes d'exploitations existants mais on peut dire que le seul système que j'utilise vraiment et sur lequel j'ai l'impression de pouvoir faire ce que je veux est Linux et plus particulièrement Debian et Ubuntu. <|>  mais => suggestions : [', mais']
14 Espace(s) en fin de ligne à supprimer. [[57:58]] => En ce moment je fais des vidéos sur Youtube avec un ami !  <|>   => suggestions : ['']
15 Espace(s) en fin de ligne à supprimer. [[67:68]] =>   * Explications sur différents grands principes de l'informatique,  <|>   => suggestions : ['']
16 Espace(s) en fin de ligne à supprimer. [[37:38]] =>   * Quelques bricolages électroniques  <|>   => suggestions : ['']
17 Espace(s) en fin de ligne à supprimer. [[83:85]] =>   * Test de matériel chinois en tout genre (clé bluetooth, wifi à moins de 5 euros)   <|>    => suggestions : ['']
18 Espace(s) en fin de ligne à supprimer. [[41:42]] =>   *  Test de téléphones portables chinois  <|>   => suggestions : ['']
19 Espace(s) en fin de ligne à supprimer. [[60:61]] =>   * Parfois quelques tests de bouffe et boissons dégoûtantes  <|>   => suggestions : ['']

40 Ce verbe devrait être un participe passé au masculin singulier. [[5:11]] => J'ai connus linux sur internet en cherchant une alternative à Windows Me ... dont je n'étais pas du tout content ... j'étais en bas débit et j'ai eu un mal fou a télécharger le premier cd de mandrake 9.1 (Mi 2002)... <|> connus => suggestions : ['connu']
40 Typographie : points de suspension. Utilisez le caractère dédié. [[73:76]] => J'ai connus linux sur internet en cherchant une alternative à Windows Me ... dont je n'étais pas du tout content ... j'étais en bas débit et j'ai eu un mal fou a télécharger le premier cd de mandrake 9.1 (Mi 2002)... <|> ... => suggestions : ['…']
40 Typographie : points de suspension. Utilisez le caractère dédié. [[113:116]] => J'ai connus linux sur internet en cherchant une alternative à Windows Me ... dont je n'étais pas du tout content ... j'étais en bas débit et j'ai eu un mal fou a télécharger le premier cd de mandrake 9.1 (Mi 2002)... <|> ... => suggestions : ['…']
40 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[160:161]] => J'ai connus linux sur internet en cherchant une alternative à Windows Me ... dont je n'étais pas du tout content ... j'étais en bas débit et j'ai eu un mal fou a télécharger le premier cd de mandrake 9.1 (Mi 2002)... <|> a => suggestions : ['à']
40 Incohérence probable avec “a” : “télécharger” n’est pas un participe passé. [[162:173]] => J'ai connus linux sur internet en cherchant une alternative à Windows Me ... dont je n'étais pas du tout content ... j'étais en bas débit et j'ai eu un mal fou a télécharger le premier cd de mandrake 9.1 (Mi 2002)... <|> télécharger => suggestions : ['téléchargé']
40 Accord de genre erroné : « le premier » est masculin, « cd » est féminin. [[185:187]] => J'ai connus linux sur internet en cherchant une alternative à Windows Me ... dont je n'étais pas du tout content ... j'étais en bas débit et j'ai eu un mal fou a télécharger le premier cd de mandrake 9.1 (Mi 2002)... <|> cd => suggestions : []
40 Typographie : points de suspension. Utilisez le caractère dédié. [[213:216]] => J'ai connus linux sur internet en cherchant une alternative à Windows Me ... dont je n'étais pas du tout content ... j'étais en bas débit et j'ai eu un mal fou a télécharger le premier cd de mandrake 9.1 (Mi 2002)... <|> ... => suggestions : ['…']
42 Mot inconnu : FNAC [[75:79]] => Après avoir essayé de façon très brève mandrake 9.1, je me suis rendu à la FNAC (ou le BHV je sais plus) pour acheter le version PowerPack de Mandrake 9.2, j'ai bien aimé ce système ... même s'il était très bugué et lent sur mon ordinateur ... <|> fnac
42 Mot inconnu : BHV [[87:90]] => Après avoir essayé de façon très brève mandrake 9.1, je me suis rendu à la FNAC (ou le BHV je sais plus) pour acheter le version PowerPack de Mandrake 9.2, j'ai bien aimé ce système ... même s'il était très bugué et lent sur mon ordinateur ... <|> bhv
