1 Mot inconnu : Jewome_62 [[7:16]] => ====== Jewome_62 ====== <|> jewome_62

6 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A votre avis? Oui l'informatique en général, Ubuntu, Internet, etc j'en passe après hors informatique, euh ... Shopping with friend :D <|> a => suggestions : None
6 Typographie : points de suspension. Utilisez le caractère dédié. [[107:110]] => A votre avis? Oui l'informatique en général, Ubuntu, Internet, etc j'en passe après hors informatique, euh ... Shopping with friend :D <|> ... => suggestions : None
6 Mot inconnu : with [[120:124]] => A votre avis? Oui l'informatique en général, Ubuntu, Internet, etc j'en passe après hors informatique, euh ... Shopping with friend :D <|> with
6 Mot inconnu : friend [[125:131]] => A votre avis? Oui l'informatique en général, Ubuntu, Internet, etc j'en passe après hors informatique, euh ... Shopping with friend :D <|> friend
10 Accord de genre erroné : « ma première » est féminin, « vrai » est masculin. [[89:93]] => Bah c'est une histoire de 1ans et demi (modification en mai 2008) Ubuntu est ma première vrai distribution, on va dire j'ai testé très rapidement Suse mais il n'existait pas à l'époque de drivers adéquat pout mon wifi donc j'avais pas internet. J'ai commencé avec Edgy et pour l'instant je suis sur Hardy <|> vrai => suggestions : None
10 Mot inconnu : Suse [[146:150]] => Bah c'est une histoire de 1ans et demi (modification en mai 2008) Ubuntu est ma première vrai distribution, on va dire j'ai testé très rapidement Suse mais il n'existait pas à l'époque de drivers adéquat pout mon wifi donc j'avais pas internet. J'ai commencé avec Edgy et pour l'instant je suis sur Hardy <|> suse
10 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. [[150:155]] => Bah c'est une histoire de 1ans et demi (modification en mai 2008) Ubuntu est ma première vrai distribution, on va dire j'ai testé très rapidement Suse mais il n'existait pas à l'époque de drivers adéquat pout mon wifi donc j'avais pas internet. J'ai commencé avec Edgy et pour l'instant je suis sur Hardy <|>  mais => suggestions : None
10 Accord de nombre erroné avec « adéquat ». [[188:195]] => Bah c'est une histoire de 1ans et demi (modification en mai 2008) Ubuntu est ma première vrai distribution, on va dire j'ai testé très rapidement Suse mais il n'existait pas à l'époque de drivers adéquat pout mon wifi donc j'avais pas internet. J'ai commencé avec Edgy et pour l'instant je suis sur Hardy <|> drivers => suggestions : None
10 Accord de nombre erroné avec « drivers ». [[196:203]] => Bah c'est une histoire de 1ans et demi (modification en mai 2008) Ubuntu est ma première vrai distribution, on va dire j'ai testé très rapidement Suse mais il n'existait pas à l'époque de drivers adéquat pout mon wifi donc j'avais pas internet. J'ai commencé avec Edgy et pour l'instant je suis sur Hardy <|> adéquat => suggestions : None
10 Mot inconnu : pout [[204:208]] => Bah c'est une histoire de 1ans et demi (modification en mai 2008) Ubuntu est ma première vrai distribution, on va dire j'ai testé très rapidement Suse mais il n'existait pas à l'époque de drivers adéquat pout mon wifi donc j'avais pas internet. J'ai commencé avec Edgy et pour l'instant je suis sur Hardy <|> pout

14 Accord de nombre erroné avec « mes problèmes » : « résolu » devrait être au pluriel. [[121:127]] => Je pompe souvent sur la doc pour résoudre mes problèmes, je poste souvent sur les forums pour résoudre mes problèmes non résolu avec la documentation, et quand je trouve une réponse à ma question qui est pas dans la documentation, je l'ajoute comme çà elle profite à tout le monde.  <|> résolu => suggestions : None
14 Confusion : « çà » ne s’emploie plus guère que dans l’expression « çà et là ». [[249:251]] => Je pompe souvent sur la doc pour résoudre mes problèmes, je poste souvent sur les forums pour résoudre mes problèmes non résolu avec la documentation, et quand je trouve une réponse à ma question qui est pas dans la documentation, je l'ajoute comme çà elle profite à tout le monde.  <|> çà => suggestions : None
14 Espace(s) en fin de ligne à supprimer. [[281:282]] => Je pompe souvent sur la doc pour résoudre mes problèmes, je poste souvent sur les forums pour résoudre mes problèmes non résolu avec la documentation, et quand je trouve une réponse à ma question qui est pas dans la documentation, je l'ajoute comme çà elle profite à tout le monde.  <|>   => suggestions : None

16 Accord de nombre erroné : « chose » devrait être au pluriel. [[50:55]] => Et je suis assez maniaque sur la présentation des chose que j'aime bien comme la doc ubuntu :) (pourquoi vous me traitez de fayot ^^) et donc souvent je modifie les pages en les structurant pour essayer d'être le plus conviviale avec les débutants comme avec les utilisateurs avancés <|> chose => suggestions : None
