1 Mot inconnu : xXKirastarotHXx [[7:22]] => ====== xXKirastarotHXx ====== <|> xxkirastarothxx
4 Mot inconnu : PERRAUDEAU [[20:30]] =>   * **Nom** Raphaël PERRAUDEAU <|> perraudeau

11 Typographie : points de suspension. Utilisez le caractère dédié. [[79:82]] => Très tôt j'ai commencé par démonter-remonter des magnétoscopes / Chaines Hi-Fi ... <|> ... => suggestions : ['…']

12 Pas d’espace avant une virgule. [[13:15]] => C'est en 1996 , à l'age de 8 ans, que nous avons eu notre premier ordinateur, muni d'un processeur Intel Pentium I166, rapidement overclocké à 200Mhz (Whaoh !) <|>  , => suggestions : [',']
12 Mot inconnu : I166 [[113:117]] => C'est en 1996 , à l'age de 8 ans, que nous avons eu notre premier ordinateur, muni d'un processeur Intel Pentium I166, rapidement overclocké à 200Mhz (Whaoh !) <|> i166
12 Mot inconnu : Mhz [[146:149]] => C'est en 1996 , à l'age de 8 ans, que nous avons eu notre premier ordinateur, muni d'un processeur Intel Pentium I166, rapidement overclocké à 200Mhz (Whaoh !) <|> mhz
12 Mot inconnu : Whaoh [[151:156]] => C'est en 1996 , à l'age de 8 ans, que nous avons eu notre premier ordinateur, muni d'un processeur Intel Pentium I166, rapidement overclocké à 200Mhz (Whaoh !) <|> whaoh

14 Mot inconnu : No-Life [[30:37]] => Une très grosse période gamer/No-Life (Counter-Strike (1.0 à 1.6) et Warcraft III (1.14 à 1.22)) entre 2000 et 2007 qui se transforme petit à petit en geek-attitude (toujours près d'un pc au cas ou un bout de code me traverserais l'esprit ^^) <|> no-life
14 Mot inconnu : Counter-Strike [[39:53]] => Une très grosse période gamer/No-Life (Counter-Strike (1.0 à 1.6) et Warcraft III (1.14 à 1.22)) entre 2000 et 2007 qui se transforme petit à petit en geek-attitude (toujours près d'un pc au cas ou un bout de code me traverserais l'esprit ^^) <|> counter-strike
14 Mot inconnu : Warcraft [[69:77]] => Une très grosse période gamer/No-Life (Counter-Strike (1.0 à 1.6) et Warcraft III (1.14 à 1.22)) entre 2000 et 2007 qui se transforme petit à petit en geek-attitude (toujours près d'un pc au cas ou un bout de code me traverserais l'esprit ^^) <|> warcraft
14 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. [[195:197]] => Une très grosse période gamer/No-Life (Counter-Strike (1.0 à 1.6) et Warcraft III (1.14 à 1.22)) entre 2000 et 2007 qui se transforme petit à petit en geek-attitude (toujours près d'un pc au cas ou un bout de code me traverserais l'esprit ^^) <|> ou => suggestions : ['où']
