
3 Mot inconnu : Chaigneau [[9:18]] => **Nom:** Chaigneau <|> chaigneau

13 Mot inconnu : Freetux [[13:20]] => **Pseudos:** Freetux <|> freetux

17 Typographie : points de suspension. Utilisez le caractère dédié. [[52:55]] => =====Formation, Profession et autres trucs pas drôle...===== <|> ... => suggestions : None

26 Accord de genre erroné avec « acharné ». [[18:27]] => Après dix mois de recherche acharné d’un poste de diététicien, je suis devenu commercial en produit de nutrition clinique pendant 12 mois. <|> recherche => suggestions : None
26 Accord de genre erroné avec « recherche ». [[28:35]] => Après dix mois de recherche acharné d’un poste de diététicien, je suis devenu commercial en produit de nutrition clinique pendant 12 mois. <|> acharné => suggestions : None

28 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. [[54:59]] => Je suis actuellement à la recherche d'un nouvel emploi mais je ne sais pas réellement dans quelle branche. <|>  mais => suggestions : None

33 Typographie : points de suspension. Utilisez le caractère dédié. [[44:47]] => ===== Loisirs, Détente et passe-temps divers... ===== <|> ... => suggestions : None

38 Accord de nombre erroné : « rollers » est au pluriel. [[77:79]] => Passionné de sports extrêmes je pratique plus ou moins régulièrement le ski, le rollers, le canyonning, l’escalade. Pour rester dans les sports, j’aime aussi me dépenser sans pousser d’adrénaline grâce à la canne de combat, le beach volley et prochainement aussi l’ultimate freesbie. <|> le => suggestions : None
38 Accord de nombre erroné : « rollers » devrait être au singulier. [[80:87]] => Passionné de sports extrêmes je pratique plus ou moins régulièrement le ski, le rollers, le canyonning, l’escalade. Pour rester dans les sports, j’aime aussi me dépenser sans pousser d’adrénaline grâce à la canne de combat, le beach volley et prochainement aussi l’ultimate freesbie. <|> rollers => suggestions : None
38 Mot inconnu : canyonning [[92:102]] => Passionné de sports extrêmes je pratique plus ou moins régulièrement le ski, le rollers, le canyonning, l’escalade. Pour rester dans les sports, j’aime aussi me dépenser sans pousser d’adrénaline grâce à la canne de combat, le beach volley et prochainement aussi l’ultimate freesbie. <|> canyonning
38 Mot inconnu : beach [[227:232]] => Passionné de sports extrêmes je pratique plus ou moins régulièrement le ski, le rollers, le canyonning, l’escalade. Pour rester dans les sports, j’aime aussi me dépenser sans pousser d’adrénaline grâce à la canne de combat, le beach volley et prochainement aussi l’ultimate freesbie. <|> beach
38 Mot inconnu : ultimate [[265:273]] => Passionné de sports extrêmes je pratique plus ou moins régulièrement le ski, le rollers, le canyonning, l’escalade. Pour rester dans les sports, j’aime aussi me dépenser sans pousser d’adrénaline grâce à la canne de combat, le beach volley et prochainement aussi l’ultimate freesbie. <|> ultimate
38 Mot inconnu : freesbie [[274:282]] => Passionné de sports extrêmes je pratique plus ou moins régulièrement le ski, le rollers, le canyonning, l’escalade. Pour rester dans les sports, j’aime aussi me dépenser sans pousser d’adrénaline grâce à la canne de combat, le beach volley et prochainement aussi l’ultimate freesbie. <|> freesbie

46 Il manque un trait d’union. [[67:82]] => Pour finir je dois dire que la lecture en particulier de romans de science fiction et de magazines scientifiques agrémente régulièrement mon temps libre. je me passionne aussi pour tout ce qui touche aux techniques marketing et particulièrement au techniques alternatives. <|> science fiction => suggestions : None
46 Après un point, une majuscule est généralement requise. [[154:156]] => Pour finir je dois dire que la lecture en particulier de romans de science fiction et de magazines scientifiques agrémente régulièrement mon temps libre. je me passionne aussi pour tout ce qui touche aux techniques marketing et particulièrement au techniques alternatives. <|> je => suggestions : None
46 Accord de nombre erroné : « techniques » est au pluriel. [[245:247]] => Pour finir je dois dire que la lecture en particulier de romans de science fiction et de magazines scientifiques agrémente régulièrement mon temps libre. je me passionne aussi pour tout ce qui touche aux techniques marketing et particulièrement au techniques alternatives. <|> au => suggestions : None
46 Accord de nombre erroné : « techniques » devrait être au singulier. [[248:258]] => Pour finir je dois dire que la lecture en particulier de romans de science fiction et de magazines scientifiques agrémente régulièrement mon temps libre. je me passionne aussi pour tout ce qui touche aux techniques marketing et particulièrement au techniques alternatives. <|> techniques => suggestions : None

59 Mot inconnu : Mandows [[29:36]] => J’ai débuté grâce au live cd Mandows, j’ai ensuite installer mon poste de travail sous GNU/Linux Mandrake, 9.2 puis 10.0 , puis sous GNU/Linux SuSE 9.1 puis 9.2 et enfin 9.3, désormais il est sous GNU/Linux Ubuntu 5.04. <|> mandows
59 Incohérence probable avec “ai” : “installer” n’est pas un participe passé. [[51:60]] => J’ai débuté grâce au live cd Mandows, j’ai ensuite installer mon poste de travail sous GNU/Linux Mandrake, 9.2 puis 10.0 , puis sous GNU/Linux SuSE 9.1 puis 9.2 et enfin 9.3, désormais il est sous GNU/Linux Ubuntu 5.04. <|> installer => suggestions : None
59 Pas d’espace avant une virgule. [[120:122]] => J’ai débuté grâce au live cd Mandows, j’ai ensuite installer mon poste de travail sous GNU/Linux Mandrake, 9.2 puis 10.0 , puis sous GNU/Linux SuSE 9.1 puis 9.2 et enfin 9.3, désormais il est sous GNU/Linux Ubuntu 5.04. <|>  , => suggestions : None
59 Mot inconnu : SuSE [[143:147]] => J’ai débuté grâce au live cd Mandows, j’ai ensuite installer mon poste de travail sous GNU/Linux Mandrake, 9.2 puis 10.0 , puis sous GNU/Linux SuSE 9.1 puis 9.2 et enfin 9.3, désormais il est sous GNU/Linux Ubuntu 5.04. <|> suse

61 Mot inconnu : webmastering [[105:117]] => L’informatique me sert au quotidien pour communiquer (grâce à internet), pour mes loisirs (photographie, webmastering, infographie et lecteur d’oeuvres numériques) mais aussi pour mon travail. <|> webmastering
61 Mot inconnu : oeuvres [[144:151]] => L’informatique me sert au quotidien pour communiquer (grâce à internet), pour mes loisirs (photographie, webmastering, infographie et lecteur d’oeuvres numériques) mais aussi pour mon travail. <|> oeuvres

63 Accord de nombre erroné avec « les résultats » : « escompté » devrait être au pluriel. [[219:227]] => L’utilisation de logiciels libres me permet tout d’abord de rester en accord avec mes principes de vie mais surtout me fournit une plus grande diversité d’outils avec lesquels je peux jongler pour obtenir les résultats escompté. <|> escompté => suggestions : None

65 Mot inconnu : LL [[19:21]] => ===== Pourquoi les LL et GNU/Linux ? ===== <|> ll

68 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[15:19]] => Tout simplement car l’esprit que véhicule les logiciels libre me plaît, cela correspond bien a l’idée que je me fais d’une informatique dynamique et évolutive. <|>  car => suggestions : None
68 Conjugaison erronée. Accord avec “les logiciels…”. Le verbe devrait être à la 3ᵉ personne du pluriel. [[33:41]] => Tout simplement car l’esprit que véhicule les logiciels libre me plaît, cela correspond bien a l’idée que je me fais d’une informatique dynamique et évolutive. <|> véhicule => suggestions : None
68 Accord de nombre erroné avec « les logiciels » : « libre » devrait être au pluriel. [[56:61]] => Tout simplement car l’esprit que véhicule les logiciels libre me plaît, cela correspond bien a l’idée que je me fais d’une informatique dynamique et évolutive. <|> libre => suggestions : None
68 Confusion probable : “a” est une conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[93:94]] => Tout simplement car l’esprit que véhicule les logiciels libre me plaît, cela correspond bien a l’idée que je me fais d’une informatique dynamique et évolutive. <|> a => suggestions : None

74 Mot inconnu : Euskalug [[14:22]] => Inscription à Euskalug <|> euskalug
82 Mot inconnu : Zycht [[32:37]] => Mon portail photo et graphisme: Zycht <|> zycht
