1 Mot inconnu : AZEMA => ====== AZEMA ====== | azema

3 Mot inconnu : HERVO => Salut, je m'appelle Manuel HERVO et je vis à Loudéac. <del>Je suis sur Kubuntu 6.06 Dapper Drake depuis environ 6 mois</del>, Dorénavant je suis sur Ubuntu Feisty. C'est la première distri. Linux qui dure aussi longtemps sur mon ordi. LOL | hervo
3 Mot inconnu : Loudéac => Salut, je m'appelle Manuel HERVO et je vis à Loudéac. <del>Je suis sur Kubuntu 6.06 Dapper Drake depuis environ 6 mois</del>, Dorénavant je suis sur Ubuntu Feisty. C'est la première distri. Linux qui dure aussi longtemps sur mon ordi. LOL | loudéac
3 Mot inconnu : Dapper => Salut, je m'appelle Manuel HERVO et je vis à Loudéac. <del>Je suis sur Kubuntu 6.06 Dapper Drake depuis environ 6 mois</del>, Dorénavant je suis sur Ubuntu Feisty. C'est la première distri. Linux qui dure aussi longtemps sur mon ordi. LOL | dapper
3 Mot inconnu : Feisty => Salut, je m'appelle Manuel HERVO et je vis à Loudéac. <del>Je suis sur Kubuntu 6.06 Dapper Drake depuis environ 6 mois</del>, Dorénavant je suis sur Ubuntu Feisty. C'est la première distri. Linux qui dure aussi longtemps sur mon ordi. LOL | feisty
3 Mot inconnu : distri => Salut, je m'appelle Manuel HERVO et je vis à Loudéac. <del>Je suis sur Kubuntu 6.06 Dapper Drake depuis environ 6 mois</del>, Dorénavant je suis sur Ubuntu Feisty. C'est la première distri. Linux qui dure aussi longtemps sur mon ordi. LOL | distri
5 S’il s’agit d’une action à accomplir, le verbe devrait être à l’infinitif. => J'ai été agréablement surpris de voir une documentation aussi importante et bien entretenue sur Ubuntu / Kubuntu pour/par la communauté. J'en ai largement profité et je souhaiterai apporté ma contribution. | apporté => suggestions : ['apporter']

7 Mot inconnu : Lexmark => J'ai déjà commencé en indiquant la marche à suivre pour installer une imprimante //Lexmark z605// sur Kubuntu à la suite d'un topic écrit par **oniichan** : | lexmark
7 Mot inconnu : z605 => J'ai déjà commencé en indiquant la marche à suivre pour installer une imprimante //Lexmark z605// sur Kubuntu à la suite d'un topic écrit par **oniichan** : | z605
7 Mot inconnu : topic => J'ai déjà commencé en indiquant la marche à suivre pour installer une imprimante //Lexmark z605// sur Kubuntu à la suite d'un topic écrit par **oniichan** : | topic
7 Mot inconnu : oniichan => J'ai déjà commencé en indiquant la marche à suivre pour installer une imprimante //Lexmark z605// sur Kubuntu à la suite d'un topic écrit par **oniichan** : | oniichan

12 Mot inconnu : list => <note tip>Je viens de réaliser un site, http://www.sourceslist.org, permettant de générer des fichiers sources.list pour les distributions Ubuntu francophones en fonction d'un pays, d'une distribution et d'une architecture de PC.</note> | list

14 Espace(s) en fin de ligne à supprimer. => Allez l'essayer et donné moi votre impression par le formulaire de contact.  |   => suggestions : ['']

16 Mot inconnu : cyber-café => <del>J'ai en projet (du moins l'idée qu'il faut que je mette sur papier), de monter un cyber-café dans la ville où je vis. En installant comme système d'exploitation sur les ordinateurs Ubuntu. Mais il va falloir que je trouve des investisseurs pour m'aider financièrement. (Projet à suivre, le 24/10/2007)</del> | cyber-café

20 Mot inconnu : __Technologies => __Technologies utilisées:__ PHP, MySQL, Zend Framework 1.5 et Flex | __technologies
20 Il manque un espace. => __Technologies utilisées:__ PHP, MySQL, Zend Framework 1.5 et Flex | __ => suggestions : [' __']
20 Mot inconnu : __ => __Technologies utilisées:__ PHP, MySQL, Zend Framework 1.5 et Flex | __
20 Mot inconnu : MySQL => __Technologies utilisées:__ PHP, MySQL, Zend Framework 1.5 et Flex | mysql
20 Mot inconnu : Flex => __Technologies utilisées:__ PHP, MySQL, Zend Framework 1.5 et Flex | flex

24 Mot inconnu : email => mon email: [[manuel.hervo@gmail.com]] | email

26 Mot inconnu : Azema => Cordialement, **Azema**. | azema
