1 Mot inconnu : Rorist => ====== Rorist ====== | rorist

2 Mot inconnu : Aubort => |Nom|Aubort| | aubort

5 Mot inconnu : Ubunteros => |Ubunteros depuis combien de temps|2006| | ubunteros

6 Mot inconnu : Dapper-Intrepid => |Distribution testée|Ubuntu Dapper-Intrepid, Debian Sid-Sarge-Etch-Lenny, Slackware 11-12, DSL, Knoppix, ...| | dapper-intrepid
6 Mot inconnu : Sid-Sarge-Etch-Lenny => |Distribution testée|Ubuntu Dapper-Intrepid, Debian Sid-Sarge-Etch-Lenny, Slackware 11-12, DSL, Knoppix, ...| | sid-sarge-etch-lenny
6 Mot inconnu : DSL => |Distribution testée|Ubuntu Dapper-Intrepid, Debian Sid-Sarge-Etch-Lenny, Slackware 11-12, DSL, Knoppix, ...| | dsl
6 Mot inconnu : Knoppix => |Distribution testée|Ubuntu Dapper-Intrepid, Debian Sid-Sarge-Etch-Lenny, Slackware 11-12, DSL, Knoppix, ...| | knoppix
6 Une de ces ponctuations est superflue. => |Distribution testée|Ubuntu Dapper-Intrepid, Debian Sid-Sarge-Etch-Lenny, Slackware 11-12, DSL, Knoppix, ...| | , . => suggestions : [',', '.']
6 Typographie : points de suspension. Utilisez le caractère dédié. => |Distribution testée|Ubuntu Dapper-Intrepid, Debian Sid-Sarge-Etch-Lenny, Slackware 11-12, DSL, Knoppix, ...| | ... => suggestions : ['…']

22 Mot inconnu : email => Par email | email

23 Mot inconnu : aubort => |Mail|aubort.jeanbaptiste à gmail dot com| | aubort
23 Mot inconnu : jeanbaptiste => |Mail|aubort.jeanbaptiste à gmail dot com| | jeanbaptiste
23 Mot inconnu : gmail => |Mail|aubort.jeanbaptiste à gmail dot com| | gmail
