1 Mot inconnu : Jekkil [[7:13]] => ====== Jekkil  ====== <|> jekkil
1 Espace(s) surnuméraire(s) à supprimer. [[13:15]] => ====== Jekkil  ====== <|>    => suggestions : None

8 Mot inconnu : distro [[48:54]] => J'ai découvert Linux aux alentours de 1992 (via distro Slackware). A l'époque j'utilisais essentiellement les consoles terminal :-) (ALT-F1, ALT-F2...) <|> distro
8 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[67:68]] => J'ai découvert Linux aux alentours de 1992 (via distro Slackware). A l'époque j'utilisais essentiellement les consoles terminal :-) (ALT-F1, ALT-F2...) <|> a => suggestions : None
8 Accord de genre erroné avec « terminal ». [[110:118]] => J'ai découvert Linux aux alentours de 1992 (via distro Slackware). A l'époque j'utilisais essentiellement les consoles terminal :-) (ALT-F1, ALT-F2...) <|> consoles => suggestions : None
8 Accord de genre erroné entre « consoles » et « terminal ». [[119:127]] => J'ai découvert Linux aux alentours de 1992 (via distro Slackware). A l'époque j'utilisais essentiellement les consoles terminal :-) (ALT-F1, ALT-F2...) <|> terminal => suggestions : None
8 Mot inconnu : ALT-F2 [[141:147]] => J'ai découvert Linux aux alentours de 1992 (via distro Slackware). A l'époque j'utilisais essentiellement les consoles terminal :-) (ALT-F1, ALT-F2...) <|> alt-f2
8 Typographie : points de suspension. Utilisez le caractère dédié. [[147:150]] => J'ai découvert Linux aux alentours de 1992 (via distro Slackware). A l'époque j'utilisais essentiellement les consoles terminal :-) (ALT-F1, ALT-F2...) <|> ... => suggestions : None

9 Mot inconnu : utrilisé [[11:19]] => Activement utrilisé ce systeme pour mon travail de fin d'étude à l'université (développement C/C++) et rapport en LaTex. <|> utrilisé
9 Mot inconnu : systeme [[23:30]] => Activement utrilisé ce systeme pour mon travail de fin d'étude à l'université (développement C/C++) et rapport en LaTex. <|> systeme

11 Mot inconnu : Solaris [[45:52]] => Puis, professionnellement je suis passé vers Solaris, HP/UX, DEC... <|> solaris
11 Mot inconnu : UX [[57:59]] => Puis, professionnellement je suis passé vers Solaris, HP/UX, DEC... <|> ux
11 Mot inconnu : DEC [[61:64]] => Puis, professionnellement je suis passé vers Solaris, HP/UX, DEC... <|> dec
11 Typographie : points de suspension. Utilisez le caractère dédié. [[64:67]] => Puis, professionnellement je suis passé vers Solaris, HP/UX, DEC... <|> ... => suggestions : None

15 Typographie : points de suspension. Utilisez le caractère dédié. [[122:125]] => Impressionné par le bond en avant (au niveau de la facilité d'installation, de configuration, de support des périphériques...) j'ai donc viré XP de mes PC et suis retourné sous Linux :-) <|> ... => suggestions : None

17 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[65:68]] => Pas vraiment d'expérience en développement sur Linux même, je me dit parfois qu'il faudrait que je m'y mette quand j'aurai un peu de temps libre, histoire d'apporter moi aussi ma pierre à cet édifice. <|> dit => suggestions : None

25 Mot inconnu : IT [[42:44]] => Consultant freelance dans le domaine de l'IT. Spécialiste en software design dans l'environnement Java/J2EE/Spring <|> it
25 Mot inconnu : J2EE [[103:107]] => Consultant freelance dans le domaine de l'IT. Spécialiste en software design dans l'environnement Java/J2EE/Spring <|> j2ee
25 Mot inconnu : Spring [[108:114]] => Consultant freelance dans le domaine de l'IT. Spécialiste en software design dans l'environnement Java/J2EE/Spring <|> spring
29 Mot inconnu : bruno [[11:16]] => **mail** : bruno [AT] it-xpert [DOT] be <|> bruno
29 Mot inconnu : it-xpert [[22:30]] => **mail** : bruno [AT] it-xpert [DOT] be <|> it-xpert
