1 Mot inconnu : PTCH-7777 [[7:16]] => ====== PTCH-7777 ====== <|> ptch-7777
7 Mot inconnu : sourcewikipedia [[116:131]] => <note help>En novembre 2009 446 superordinateurs (89,20 %) utilisent Linux et 5 seulement sont sous Windows (1 %), (sourcewikipedia, même page)   </note> <|> sourcewikipedia

9 Espace(s) en fin de ligne à supprimer. [[15:16]] => **PRÉAMBULE :**  <|>   => suggestions : None

15 Typographie : succession de points. Utilisez le caractère dédié. [[149:160]] => Un avion ça rassure, on s'entasse dans un local pour partir à une date fixe, il fait toujours beau et il y a de l'air de partout, on se laisse faire ........... <|> ........... => suggestions : None

16 Il manque un espace. [[111:113]] => Un bateau part lorsqu'il le veut, mène sa propre barque, c'est compliqué l'autonomie, il faut veiller au grain,au courant, au fond, le temps est variable, il y a des choix de route etc ........  <|> au => suggestions : None
16 Typographie : succession de points. Utilisez le caractère dédié. [[185:193]] => Un bateau part lorsqu'il le veut, mène sa propre barque, c'est compliqué l'autonomie, il faut veiller au grain,au courant, au fond, le temps est variable, il y a des choix de route etc ........  <|> ........ => suggestions : None
16 Espace(s) en fin de ligne à supprimer. [[193:194]] => Un bateau part lorsqu'il le veut, mène sa propre barque, c'est compliqué l'autonomie, il faut veiller au grain,au courant, au fond, le temps est variable, il y a des choix de route etc ........  <|>   => suggestions : None

26 Mot inconnu : merchantil [[13:23]] => et sortir du merchantil "feed back" dirigé et anonyme pour avoir une **libre participation interactive personnalisé** :-( +:-(=:-P <|> merchantil
26 Guillemets typographiques ouvrants. [[24:25]] => et sortir du merchantil "feed back" dirigé et anonyme pour avoir une **libre participation interactive personnalisé** :-( +:-(=:-P <|> " => suggestions : None
26 Mot inconnu : feed [[25:29]] => et sortir du merchantil "feed back" dirigé et anonyme pour avoir une **libre participation interactive personnalisé** :-( +:-(=:-P <|> feed
26 Mot inconnu : back [[30:34]] => et sortir du merchantil "feed back" dirigé et anonyme pour avoir une **libre participation interactive personnalisé** :-( +:-(=:-P <|> back
26 Guillemets typographiques fermants. [[34:35]] => et sortir du merchantil "feed back" dirigé et anonyme pour avoir une **libre participation interactive personnalisé** :-( +:-(=:-P <|> " => suggestions : None
26 Pas d’espace après ce signe. [[120:122]] => et sortir du merchantil "feed back" dirigé et anonyme pour avoir une **libre participation interactive personnalisé** :-( +:-(=:-P <|> (  => suggestions : None

30 Guillemets typographiques ouvrants. [[42:43]] => voir la version officielle de Monsieur le "Ministre français de l'enseignement supérieur et de la recherche qui a commencé l'année en déclarant, en réponse à une question du député Richard Cazennsieave sur les enjeux et les avantages du logiciel libre que « le poids du logiciel libre au sein du système éducatif a été un des éléments qui a permis de négocier avec Microsoft des tarifs particulièrement intéressants sur la suite bureautique office » (déclaration publiée au JO le 2 janvier 2007)ministère de l'éducation national"  : <|> " => suggestions : None
