1 Mot inconnu : olivopiment [[7:18]] => ====== olivopiment ====== <|> olivopiment

8 Guillemets typographiques ouvrants. [[10:11]] => Lassé des "écrans bleus de la mort" de windaube, conscient des risques de sécurité posés par un système d'exploitation propriétaire et privateur de libertés, plus ou moins à jour et fortement "bricolé" par mes soins avec des connaissances très approximatives en informatique, je me suis décidé à utiliser cette formidable source d'information qu'on appelle le web.  <|> " => suggestions : « “
8 Guillemets typographiques fermants. [[34:35]] => Lassé des "écrans bleus de la mort" de windaube, conscient des risques de sécurité posés par un système d'exploitation propriétaire et privateur de libertés, plus ou moins à jour et fortement "bricolé" par mes soins avec des connaissances très approximatives en informatique, je me suis décidé à utiliser cette formidable source d'information qu'on appelle le web.  <|> " => suggestions :  »”
8 Mot inconnu : windaube [[39:47]] => Lassé des "écrans bleus de la mort" de windaube, conscient des risques de sécurité posés par un système d'exploitation propriétaire et privateur de libertés, plus ou moins à jour et fortement "bricolé" par mes soins avec des connaissances très approximatives en informatique, je me suis décidé à utiliser cette formidable source d'information qu'on appelle le web.  <|> windaube
8 Guillemets typographiques ouvrants. [[192:193]] => Lassé des "écrans bleus de la mort" de windaube, conscient des risques de sécurité posés par un système d'exploitation propriétaire et privateur de libertés, plus ou moins à jour et fortement "bricolé" par mes soins avec des connaissances très approximatives en informatique, je me suis décidé à utiliser cette formidable source d'information qu'on appelle le web.  <|> " => suggestions : « “
8 Guillemets typographiques fermants. [[200:201]] => Lassé des "écrans bleus de la mort" de windaube, conscient des risques de sécurité posés par un système d'exploitation propriétaire et privateur de libertés, plus ou moins à jour et fortement "bricolé" par mes soins avec des connaissances très approximatives en informatique, je me suis décidé à utiliser cette formidable source d'information qu'on appelle le web.  <|> " => suggestions :  »”
8 Espace(s) en fin de ligne à supprimer. [[364:365]] => Lassé des "écrans bleus de la mort" de windaube, conscient des risques de sécurité posés par un système d'exploitation propriétaire et privateur de libertés, plus ou moins à jour et fortement "bricolé" par mes soins avec des connaissances très approximatives en informatique, je me suis décidé à utiliser cette formidable source d'information qu'on appelle le web.  <|>  
9 Espace(s) en fin de ligne à supprimer. [[164:165]] => J'y ai trouvé un tas de réponses, mais aussi et surtout, encore plus d'interrogations, que ce soit sur le monde du logiciel libre ou encore les distributions linux.  <|>  
10 Pléonasme. [[54:66]] => Je me suis donc décidé à tester ubuntu 10.04 en live, puis ensuite en dual-boot ... bref, je suis devenu accro !  <|> puis ensuite => suggestions : alorsaprèsensuitepuis
10 Mot inconnu : dual-boot [[70:79]] => Je me suis donc décidé à tester ubuntu 10.04 en live, puis ensuite en dual-boot ... bref, je suis devenu accro !  <|> dual-boot
10 Typographie : points de suspension. Utilisez le caractère dédié. [[80:83]] => Je me suis donc décidé à tester ubuntu 10.04 en live, puis ensuite en dual-boot ... bref, je suis devenu accro !  <|> ... => suggestions : …
10 Espace(s) en fin de ligne à supprimer. [[112:113]] => Je me suis donc décidé à tester ubuntu 10.04 en live, puis ensuite en dual-boot ... bref, je suis devenu accro !  <|>  
