1 Mot inconnu : neTro [[12:17]] => Ben alias **neTro** \\ <|> netro

3 Typographie : points de suspension. Utilisez le caractère dédié. [[9:12]] => ====== Me... ====== <|> ... => suggestions : ['…']

7 Mot inconnu : ESIGELEC [[46:54]] => Je suis étudiant a [[http://www.esigelec.fr|l’ESIGELEC]], à Rouen, et apprenti ingénieur chez [[http://www.altitudetelecom.fr|altitudetelecom]].\\ <|> esigelec

11 Mot inconnu : Red [[67:70]] => J'ai installé mon premier Tux il y a pas mal de temps, c'était une Red Hat 6.2.\\ <|> red
11 Mot inconnu : Hat [[71:74]] => J'ai installé mon premier Tux il y a pas mal de temps, c'était une Red Hat 6.2.\\ <|> hat

12 Mot inconnu : dual-boot [[88:97]] => En fait, je n'y ai pas vraiment touché, c'était juste le challenge d'installer Linux en dual-boot (un désastre, mais j'ai réussi...).\\ <|> dual-boot
12 Typographie : points de suspension. Utilisez le caractère dédié. [[128:131]] => En fait, je n'y ai pas vraiment touché, c'était juste le challenge d'installer Linux en dual-boot (un désastre, mais j'ai réussi...).\\ <|> ... => suggestions : ['…']
15 Typographie : points de suspension. Utilisez le caractère dédié. [[149:152]] => Aujourd'hui, je suis plutôt orienté routage IP dans mon boulot, mais je m'amuse à monter des serveurs chez moi: mails, web (durée de vie < 2 semaines...).\\ <|> ... => suggestions : ['…']

17 Mot inconnu : distrib [[18:25]] => J'ai découvert la distrib ultime l'année dernière: Debian (désolé...) mais on m'a aussi conseillé Ubuntu.\\ <|> distrib
17 Typographie : points de suspension. Utilisez le caractère dédié. [[65:68]] => J'ai découvert la distrib ultime l'année dernière: Debian (désolé...) mais on m'a aussi conseillé Ubuntu.\\ <|> ... => suggestions : ['…']

18 Mot inconnu : Hoary [[49:54]] => Aujourd'hui, mon poste principal est sous Ubuntu Hoary et ça marche pas mal :) <|> hoary

22 Mot inconnu : debuntu [[0:7]] => debuntu **at** gmail **dot** com <|> debuntu
22 Mot inconnu : at [[10:12]] => debuntu **at** gmail **dot** com <|> at
22 Mot inconnu : gmail [[15:20]] => debuntu **at** gmail **dot** com <|> gmail
