1 Mot inconnu : Desdinova => ====== Desdinova ====== | desdinova

7 Mot inconnu : Dual-boot => Dual-boot : | dual-boot

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Windows XP Pro** (pour quelques logiciels de boulot) |    => suggestions : ['']
9 Mot inconnu : XP =>   * **Windows XP Pro** (pour quelques logiciels de boulot) | xp

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Ubuntu 6.06** |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * faudra que je précise le reste |    => suggestions : ['']

16 Mot inconnu : linux => Je suis médecin et n'ai aucune formation particulière en informatique. Mes penchants libertaires m'ont trop longtemps incité à utiliser linux : je suis passé sous Ubuntu en avril 2007, donc encore au stade de découverte... | linux
16 Typographie : points de suspension. Utilisez le caractère dédié. => Je suis médecin et n'ai aucune formation particulière en informatique. Mes penchants libertaires m'ont trop longtemps incité à utiliser linux : je suis passé sous Ubuntu en avril 2007, donc encore au stade de découverte... | ... => suggestions : ['…']
18 Mot inconnu : desdinova03 => courriel : desdinova03[à]orange.fr | desdinova03
