1 Mot inconnu : Mr_Djez [[7:14]] => ====== Mr_Djez ====== <|> mr_djez

7 Confusion probable : “a” est une conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[27:28]] => J'essaie de toucher un peu a tout enfin dans le domaine du libre :) <|> a => suggestions : None

9 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. [[61:67]] => J'ai utilisé Ubuntu de la 7.04 a la 11.04 et je trouve qu'il rempli bien son rôle de Linux grand public. <|> rempli => suggestions : None

10 Incohérence avec “Je” : “conseil” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[6:13]] => Je le conseil a tout les non informaticiens. <|> conseil => suggestions : None
10 Erreur d’accord probable avec « les non ». [[16:20]] => Je le conseil a tout les non informaticiens. <|> tout => suggestions : None

12 Élision de l’article devant un mot commençant par une voyelle. [[53:56]] => Depuis je suis passé a Debian :p qui est a la source de ubuntu ;) <|> de  => suggestions : None

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

33 Confusion probable : “a” est la conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. [[13:14]] => N'hésite pas a me contacté. <|> a => suggestions : None
33 Incohérence avec « me » : « contacté » devrait être un verbe. [[18:26]] => N'hésite pas a me contacté. <|> contacté => suggestions : None
