1 Mot inconnu : Zak [[0:3]] => Zak Blayde <|> zak
1 Mot inconnu : Blayde [[4:10]] => Zak Blayde <|> blayde

4 Formatage des grands nombres. [[7:12]] => Tours (37000) <|> 37000 => suggestions : ['37\xa0000']

7 Mot inconnu : conky [[0:5]] => conky/problèmes/bug-icones <|> conky
7 Mot inconnu : bug-icones [[16:26]] => conky/problèmes/bug-icones <|> bug-icones

23 Mot inconnu : conky [[19:24]] => ==== Conflit entre conky et les icônes du bureau ==== <|> conky

25 Mot inconnu : Conky [[33:38]] => Il arrive lorsque l'on configure Conky en intégration bureau que les icônes soient masquées. <|> conky

31 Mot inconnu : Conky [[0:5]] => Conky apparait ainsi en mode fenêtré, et ne gène plus les icônes du bureau. Ah, vous ne voulez quand-même que Conky soit intégré en transparence au bureau, pas de souci. <|> conky
31 Incohérence avec « ne » : « gène » devrait être un verbe. [[44:48]] => Conky apparait ainsi en mode fenêtré, et ne gène plus les icônes du bureau. Ah, vous ne voulez quand-même que Conky soit intégré en transparence au bureau, pas de souci. <|> gène => suggestions : ['gêne', 'gênent', 'gênes']
31 Mot inconnu : Conky [[110:115]] => Conky apparait ainsi en mode fenêtré, et ne gène plus les icônes du bureau. Ah, vous ne voulez quand-même que Conky soit intégré en transparence au bureau, pas de souci. <|> conky

34 S’il s’agit d’un impératif, mettez un trait d’union. [[0:9]] => Lancez le depuis Système\Préférences\Advanced Desktop Effects Settings ou en tapant **ccsm** dans un terminal. <|> lancez le => suggestions : ['Lancez-le']
34 Mot inconnu : Advanced [[37:45]] => Lancez le depuis Système\Préférences\Advanced Desktop Effects Settings ou en tapant **ccsm** dans un terminal. <|> advanced
34 Mot inconnu : Desktop [[46:53]] => Lancez le depuis Système\Préférences\Advanced Desktop Effects Settings ou en tapant **ccsm** dans un terminal. <|> desktop
34 Mot inconnu : Effects [[54:61]] => Lancez le depuis Système\Préférences\Advanced Desktop Effects Settings ou en tapant **ccsm** dans un terminal. <|> effects
34 Mot inconnu : Settings [[62:70]] => Lancez le depuis Système\Préférences\Advanced Desktop Effects Settings ou en tapant **ccsm** dans un terminal. <|> settings
34 Mot inconnu : ccsm [[86:90]] => Lancez le depuis Système\Préférences\Advanced Desktop Effects Settings ou en tapant **ccsm** dans un terminal. <|> ccsm

35 Mot inconnu : Utility [[33:40]] => Commencez par vous rendre dans **Utility** et activez **Regex Matching**. <|> utility
35 Mot inconnu : Regex [[56:61]] => Commencez par vous rendre dans **Utility** et activez **Regex Matching**. <|> regex
35 Mot inconnu : Matching [[62:70]] => Commencez par vous rendre dans **Utility** et activez **Regex Matching**. <|> matching

37 Mot inconnu : conky [[35:40]] => où x est le titre de la fenêtre de conky, composé en général du nom de votre PC, suivi de conky : <|> conky
37 Mot inconnu : conky [[90:95]] => où x est le titre de la fenêtre de conky, composé en général du nom de votre PC, suivi de conky : <|> conky

39 Mot inconnu : Shadow [[30:36]] => Indiquez la même chose dans **Shadow windows**. <|> shadow

40 Mot inconnu : Conky [[116:121]] => Ceci aura pour effet de laisser activé le cadre de fenêtre et l'ombrage pour toutes les fenêtres exceptées celle de Conky. Si vous aviez déjà placé quelque chose dans ces zones, séparez-les par un **&**. <|> conky

42 Mot inconnu : Window [[38:44]] => Ensuite, rendez-vous dans la partie **Window Management**, et ouvrez la partie **Windows Rules** (cochez-là si ce n'est pas fait). <|> window
42 Mot inconnu : Rules [[89:94]] => Ensuite, rendez-vous dans la partie **Window Management**, et ouvrez la partie **Windows Rules** (cochez-là si ce n'est pas fait). <|> rules
42 Confusion. Pour un COD, utilisez “la”. Ou, si ce “là” signifie “ici”, ne mettez pas de trait d’union. [[98:107]] => Ensuite, rendez-vous dans la partie **Window Management**, et ouvrez la partie **Windows Rules** (cochez-là si ce n'est pas fait). <|> cochez-là => suggestions : ['cochez-la', 'cochez là']

