1 Mot inconnu : Shinigami => ====== Shinigami Delroën ====== <|> shinigami
1 Mot inconnu : Delroën => ====== Shinigami Delroën ====== <|> delroën
6 Mot inconnu : shinigamidelroen => E-mail : shinigamidelroen sur gmail <|> shinigamidelroen
6 Mot inconnu : gmail => E-mail : shinigamidelroen sur gmail <|> gmail

9 Mot inconnu : Ca => (Ca fait vachement mégalo ce titre... mais je savais pas quoi mettre ! ^^) <|> ca
9 Typographie : points de suspension. Utilisez le caractère dédié. => (Ca fait vachement mégalo ce titre... mais je savais pas quoi mettre ! ^^) <|> ... => suggestions : ['…']

12 Mot inconnu : sam => **Prénom :** Samuel (ou sam, pour les intimes... et les autres aussi) <|> sam
12 Typographie : points de suspension. Utilisez le caractère dédié. => **Prénom :** Samuel (ou sam, pour les intimes... et les autres aussi) <|> ... => suggestions : ['…']

18 Doublon. => **Localisation :** Compiègne (si si, je vous jure !) mais aussi Saint Malo <|> si si => suggestions : ['si']
18 Mot inconnu : Malo => **Localisation :** Compiègne (si si, je vous jure !) mais aussi Saint Malo <|> malo

20 Typographie : points de suspension. Utilisez le caractère dédié. => **Caractère :** Mauvaise foi à toute épreuve (mais seulement pour rire), allergie à l'injustice (d'où ma présence dans le monde du libre...), avide de connaissance (d'où ma présence dans le monde du libre), touche-à-tout (toujours besoin de tout démonter "pour voir comment c'est fait", d'où ma présence dans le monde du libre. Mmmmh... Je commence à trouver que ce monde me convient drôlement bien !) <|> ... => suggestions : ['…']
20 Guillemets typographiques ouvrants. => **Caractère :** Mauvaise foi à toute épreuve (mais seulement pour rire), allergie à l'injustice (d'où ma présence dans le monde du libre...), avide de connaissance (d'où ma présence dans le monde du libre), touche-à-tout (toujours besoin de tout démonter "pour voir comment c'est fait", d'où ma présence dans le monde du libre. Mmmmh... Je commence à trouver que ce monde me convient drôlement bien !) <|> " => suggestions : ['«\xa0', '“']
20 Guillemets typographiques fermants. => **Caractère :** Mauvaise foi à toute épreuve (mais seulement pour rire), allergie à l'injustice (d'où ma présence dans le monde du libre...), avide de connaissance (d'où ma présence dans le monde du libre), touche-à-tout (toujours besoin de tout démonter "pour voir comment c'est fait", d'où ma présence dans le monde du libre. Mmmmh... Je commence à trouver que ce monde me convient drôlement bien !) <|> " => suggestions : ['\xa0»', '”']
20 Mot inconnu : Mmmmh => **Caractère :** Mauvaise foi à toute épreuve (mais seulement pour rire), allergie à l'injustice (d'où ma présence dans le monde du libre...), avide de connaissance (d'où ma présence dans le monde du libre), touche-à-tout (toujours besoin de tout démonter "pour voir comment c'est fait", d'où ma présence dans le monde du libre. Mmmmh... Je commence à trouver que ce monde me convient drôlement bien !) <|> mmmmh
20 Typographie : points de suspension. Utilisez le caractère dédié. => **Caractère :** Mauvaise foi à toute épreuve (mais seulement pour rire), allergie à l'injustice (d'où ma présence dans le monde du libre...), avide de connaissance (d'où ma présence dans le monde du libre), touche-à-tout (toujours besoin de tout démonter "pour voir comment c'est fait", d'où ma présence dans le monde du libre. Mmmmh... Je commence à trouver que ce monde me convient drôlement bien !) <|> ... => suggestions : ['…']

25 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Je consacre donc le temps que je devrait passer à travailler à mes deux grandes passions :  <|> devrait => suggestions : ['devrais']
25 Espace(s) en fin de ligne à supprimer. => Je consacre donc le temps que je devrait passer à travailler à mes deux grandes passions :  <|>   => suggestions : ['']
26 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. =>   * Bidouiller (sur) mon PC : Avant je bidouillait tout le temps le matos, parce que ça, c'est très simple, ensuite j'ai pas mal bidouillé Windows, mais j'ai fini par en avoir marre parce qu'à moins de mettre les mains à fond dans le cambouis et risquer de devoir tout réinstaller, on peut pas aller bien loin, et depuis peu, je me suis mis à Linux et je découvre de nouveaux horizons ! Je me suis mis à la programmation aussi, j'ai fait un joli site en PHP pour permettre à ma mère, artiste, de présenter ses oeuvres. <|> bidouillait => suggestions : ['bidouillais']
26 Mot inconnu : oeuvres =>   * Bidouiller (sur) mon PC : Avant je bidouillait tout le temps le matos, parce que ça, c'est très simple, ensuite j'ai pas mal bidouillé Windows, mais j'ai fini par en avoir marre parce qu'à moins de mettre les mains à fond dans le cambouis et risquer de devoir tout réinstaller, on peut pas aller bien loin, et depuis peu, je me suis mis à Linux et je découvre de nouveaux horizons ! Je me suis mis à la programmation aussi, j'ai fait un joli site en PHP pour permettre à ma mère, artiste, de présenter ses oeuvres. <|> oeuvres
27 Mot inconnu : asso =>   * La BD : Je suis président d'une asso étudiante qui gère une bibliothèque de BD et de mangas. Ce serait la troisième de France en nombre de volumes ! <|> asso
32 Accord de genre erroné avec « internet ». =>   * Installation de logiciels sans accès à internet compliquée pour un débutant, et même impossible sans accès à l'aide <|> compliquée => suggestions : ['compliqué']

35 Mot inconnu : bi-écran => Il faut tout de même reconnaître que le système Windows (installeur) est beaucoup mieux adapté que APT (avec ou sans interface graphique) pour installer un programme sans avoir accès à internet. Sans parler d'un bi-écran ou d'une carte réseau Wi-Fi USB ! (et ce n'est pas seulement à cause des fabricants de matériels.) <|> bi-écran

36 Mot inconnu : user-friendly => Cela dit, pour ce qui est des drivers, ça s'est grandement amélioré depuis ces diverses tentatives en 2005, mais il faut tout de même reconnaître que Linux est nettement moins //user-friendly// que Windows quand on n'a pas Internet et qu'on veut installer des trucs. <|> user-friendly
38 Il manque un trait d’union. => Maintenant que j'ai abordé les points négatifs, passons au reste : quand on a internet, c'est que du bon ! Je suis vraiment très content de cet OS, à tel point qu'après seulement une semaine d'utilisation, j'ai décidé d'abandonner Windows, que j'ai utilisé jusque là "à défaut de mieux", mais sur lequel je commençais à me sentir vraiment très à l'aise (paramétrage avancé //via// la base de registres) <|> jusque là => suggestions : ['jusque-là']
38 Guillemets typographiques ouvrants. => Maintenant que j'ai abordé les points négatifs, passons au reste : quand on a internet, c'est que du bon ! Je suis vraiment très content de cet OS, à tel point qu'après seulement une semaine d'utilisation, j'ai décidé d'abandonner Windows, que j'ai utilisé jusque là "à défaut de mieux", mais sur lequel je commençais à me sentir vraiment très à l'aise (paramétrage avancé //via// la base de registres) <|> " => suggestions : ['«\xa0', '“']
