1 Mot inconnu : Juju_theseaman [[6:20]] => ======Juju_theseaman====== <|> juju_theseaman

4 Confusion. Écrivez « la plupart » pour évoquer la majeure partie de quelque chose. [[18:27]] => Je suis en mer la plus part du temps, donc éloigné du net. <|> plus part => suggestions : ['plupart']

19 Mot inconnu : topic [[42:47]] => Je suis un membre assidu des trublions du topic des couche-tards <|> topic
19 Mot inconnu : couche-tards [[52:64]] => Je suis un membre assidu des trublions du topic des couche-tards <|> couche-tards
23 Mot inconnu : juju [[7:11]] => M@il : juju(POINT)theseaman(AT)gmail(POINT)com <|> juju
23 Il manque un espace avant la parenthèse. [[11:12]] => M@il : juju(POINT)theseaman(AT)gmail(POINT)com <|> ( => suggestions : [' (']
23 Il manque un espace après la parenthèse. [[17:18]] => M@il : juju(POINT)theseaman(AT)gmail(POINT)com <|> ) => suggestions : [') ']
23 Mot inconnu : theseaman [[18:27]] => M@il : juju(POINT)theseaman(AT)gmail(POINT)com <|> theseaman
23 Il manque un espace après la parenthèse. [[30:31]] => M@il : juju(POINT)theseaman(AT)gmail(POINT)com <|> ) => suggestions : [') ']
23 Mot inconnu : gmail [[31:36]] => M@il : juju(POINT)theseaman(AT)gmail(POINT)com <|> gmail
23 Il manque un espace avant la parenthèse. [[36:37]] => M@il : juju(POINT)theseaman(AT)gmail(POINT)com <|> ( => suggestions : [' (']
23 Il manque un espace après la parenthèse. [[42:43]] => M@il : juju(POINT)theseaman(AT)gmail(POINT)com <|> ) => suggestions : [') ']
