1 Mot inconnu : Anti-Bug-Computers => ====== Anti-Bug-Computers ====== | anti-bug-computers

4 Mot inconnu : Ubunteros => |Ubunteros depuis combien de temps|2006| | ubunteros

7 Mot inconnu : Mandriva => Après avoir été formé sous GNU/Linux Mandriva, la migration fût faite sous GNU/Linux Ubuntu en fin 2006 dans le cadre de la promotion des systèmes GNU/Linux. | mandriva
11 Mot inconnu : Oric => Premiers ordinateurs : Oric Atmos, Apple II (II, IIe, IIc...), IBM PC, .... \\  \\ | oric
11 Mot inconnu : Atmos => Premiers ordinateurs : Oric Atmos, Apple II (II, IIe, IIc...), IBM PC, .... \\  \\ | atmos
11 Nombre ordinal romain singulier. Exemples : IIᵉ, IIIᵉ, IVᵉ… => Premiers ordinateurs : Oric Atmos, Apple II (II, IIe, IIc...), IBM PC, .... \\  \\ | iie => suggestions : ['IIᵉ']
11 Mot inconnu : IIc => Premiers ordinateurs : Oric Atmos, Apple II (II, IIe, IIc...), IBM PC, .... \\  \\ | iic
11 Typographie : points de suspension. Utilisez le caractère dédié. => Premiers ordinateurs : Oric Atmos, Apple II (II, IIe, IIc...), IBM PC, .... \\  \\ | ... => suggestions : ['…']
11 Une de ces ponctuations est superflue. => Premiers ordinateurs : Oric Atmos, Apple II (II, IIe, IIc...), IBM PC, .... \\  \\ | , . => suggestions : [',', '.']
11 Typographie : points de suspension. Utilisez le caractère dédié. => Premiers ordinateurs : Oric Atmos, Apple II (II, IIe, IIc...), IBM PC, .... \\  \\ | .... => suggestions : ['…']

12 Mot inconnu : Applesoft => Langages connus (notion ou maitrise): Basic, Basic Applesoft, HTML, HTML5, CSS, CSS3, CSS3D, PHP, Python, ... \\  \\ | applesoft
12 Mot inconnu : HTML5 => Langages connus (notion ou maitrise): Basic, Basic Applesoft, HTML, HTML5, CSS, CSS3, CSS3D, PHP, Python, ... \\  \\ | html5
12 Mot inconnu : CSS3 => Langages connus (notion ou maitrise): Basic, Basic Applesoft, HTML, HTML5, CSS, CSS3, CSS3D, PHP, Python, ... \\  \\ | css3
12 Mot inconnu : CSS3D => Langages connus (notion ou maitrise): Basic, Basic Applesoft, HTML, HTML5, CSS, CSS3, CSS3D, PHP, Python, ... \\  \\ | css3d
12 Une de ces ponctuations est superflue. => Langages connus (notion ou maitrise): Basic, Basic Applesoft, HTML, HTML5, CSS, CSS3, CSS3D, PHP, Python, ... \\  \\ | , . => suggestions : [',', '.']
12 Typographie : points de suspension. Utilisez le caractère dédié. => Langages connus (notion ou maitrise): Basic, Basic Applesoft, HTML, HTML5, CSS, CSS3, CSS3D, PHP, Python, ... \\  \\ | ... => suggestions : ['…']

14 Accord de nombre erroné avec « OS actuel » : « maitrisés » devrait être au singulier. => OS actuel maitrisés : Apple MacOS X, Apple iOS, GNU/Linux Ubuntu (également Debian, Linux Mint, Mandriva, Suse et Fedora), Microsoft Windows (de Win 3.1 à Win 8), Android  \\ | maitrisés => suggestions : ['maitrisé']
14 Mot inconnu : MacOS => OS actuel maitrisés : Apple MacOS X, Apple iOS, GNU/Linux Ubuntu (également Debian, Linux Mint, Mandriva, Suse et Fedora), Microsoft Windows (de Win 3.1 à Win 8), Android  \\ | macos
14 Mot inconnu : iOS => OS actuel maitrisés : Apple MacOS X, Apple iOS, GNU/Linux Ubuntu (également Debian, Linux Mint, Mandriva, Suse et Fedora), Microsoft Windows (de Win 3.1 à Win 8), Android  \\ | ios
14 Mot inconnu : Mint => OS actuel maitrisés : Apple MacOS X, Apple iOS, GNU/Linux Ubuntu (également Debian, Linux Mint, Mandriva, Suse et Fedora), Microsoft Windows (de Win 3.1 à Win 8), Android  \\ | mint
14 Mot inconnu : Mandriva => OS actuel maitrisés : Apple MacOS X, Apple iOS, GNU/Linux Ubuntu (également Debian, Linux Mint, Mandriva, Suse et Fedora), Microsoft Windows (de Win 3.1 à Win 8), Android  \\ | mandriva
14 Mot inconnu : Suse => OS actuel maitrisés : Apple MacOS X, Apple iOS, GNU/Linux Ubuntu (également Debian, Linux Mint, Mandriva, Suse et Fedora), Microsoft Windows (de Win 3.1 à Win 8), Android  \\ | suse
14 Mot inconnu : Win => OS actuel maitrisés : Apple MacOS X, Apple iOS, GNU/Linux Ubuntu (également Debian, Linux Mint, Mandriva, Suse et Fedora), Microsoft Windows (de Win 3.1 à Win 8), Android  \\ | win
14 Mot inconnu : Win => OS actuel maitrisés : Apple MacOS X, Apple iOS, GNU/Linux Ubuntu (également Debian, Linux Mint, Mandriva, Suse et Fedora), Microsoft Windows (de Win 3.1 à Win 8), Android  \\ | win
14 Espace(s) surnuméraire(s) à supprimer. => OS actuel maitrisés : Apple MacOS X, Apple iOS, GNU/Linux Ubuntu (également Debian, Linux Mint, Mandriva, Suse et Fedora), Microsoft Windows (de Win 3.1 à Win 8), Android  \\ |    => suggestions : [' ']

