
7 Mot inconnu : XioRcaL => ====== XioRcaL  ====== | xiorcal
7 Espace(s) surnuméraire(s) à supprimer. => ====== XioRcaL  ====== |    => suggestions : [' ']

11 Mot inconnu : XioRcaL => Me voici, XioRcaL... Je suis brestois, j'ai 18 ans et suis en terminale scientifique. J'ai découvert Ubuntu grâce a un ubunteros de ma classe (xionox...merci à toi si jamais un jour tu passais par là...) | xiorcal
11 Typographie : points de suspension. Utilisez le caractère dédié. => Me voici, XioRcaL... Je suis brestois, j'ai 18 ans et suis en terminale scientifique. J'ai découvert Ubuntu grâce a un ubunteros de ma classe (xionox...merci à toi si jamais un jour tu passais par là...) | ... => suggestions : ['…']
11 Avec une unité de mesure, mettez un espace insécable. => Me voici, XioRcaL... Je suis brestois, j'ai 18 ans et suis en terminale scientifique. J'ai découvert Ubuntu grâce a un ubunteros de ma classe (xionox...merci à toi si jamais un jour tu passais par là...) | 18 ans => suggestions : ['18\xa0ans']
11 Mot inconnu : ubunteros => Me voici, XioRcaL... Je suis brestois, j'ai 18 ans et suis en terminale scientifique. J'ai découvert Ubuntu grâce a un ubunteros de ma classe (xionox...merci à toi si jamais un jour tu passais par là...) | ubunteros
11 Mot inconnu : xionox => Me voici, XioRcaL... Je suis brestois, j'ai 18 ans et suis en terminale scientifique. J'ai découvert Ubuntu grâce a un ubunteros de ma classe (xionox...merci à toi si jamais un jour tu passais par là...) | xionox
11 Typographie : points de suspension. Utilisez le caractère dédié. => Me voici, XioRcaL... Je suis brestois, j'ai 18 ans et suis en terminale scientifique. J'ai découvert Ubuntu grâce a un ubunteros de ma classe (xionox...merci à toi si jamais un jour tu passais par là...) | ... => suggestions : ['…']
11 Typographie : points de suspension. Utilisez le caractère dédié. => Me voici, XioRcaL... Je suis brestois, j'ai 18 ans et suis en terminale scientifique. J'ai découvert Ubuntu grâce a un ubunteros de ma classe (xionox...merci à toi si jamais un jour tu passais par là...) | ... => suggestions : ['…']
13 Mot inconnu : A6T-ap014h => Mon matériel: portable Asus A6T-ap014h (Amd turion 64x2, Nvidia Go 7600, 2Go). | a6t-ap014h
13 Mot inconnu : Amd => Mon matériel: portable Asus A6T-ap014h (Amd turion 64x2, Nvidia Go 7600, 2Go). | amd
13 Signe de multiplication typographique. => Mon matériel: portable Asus A6T-ap014h (Amd turion 64x2, Nvidia Go 7600, 2Go). | 64x2 => suggestions : ['64\xa0×\xa02']
13 Mot inconnu : x2 => Mon matériel: portable Asus A6T-ap014h (Amd turion 64x2, Nvidia Go 7600, 2Go). | x2

17 Mot inconnu : FIXME => FIXME : How-to A6T-ap014h | fixme
