
3 Mot inconnu : Xubuntu => Lycéen, bidouilleur, utilisateur de Ubuntu, Xubuntu et Gentoo. <|> xubuntu
3 Mot inconnu : Gentoo => Lycéen, bidouilleur, utilisateur de Ubuntu, Xubuntu et Gentoo. <|> gentoo

8 Typographie : points de suspension. Utilisez le caractère dédié. => Euh... pas grand chose... principalement de l'aide, de temps en temps des patch, et des rapports de bugs... <|> ... => suggestions : ['…']
8 Il manque un trait d’union. => Euh... pas grand chose... principalement de l'aide, de temps en temps des patch, et des rapports de bugs... <|> grand chose => suggestions : ['grand-chose']
8 Typographie : points de suspension. Utilisez le caractère dédié. => Euh... pas grand chose... principalement de l'aide, de temps en temps des patch, et des rapports de bugs... <|> ... => suggestions : ['…']
8 Accord de nombre erroné : « patch » devrait être au pluriel. => Euh... pas grand chose... principalement de l'aide, de temps en temps des patch, et des rapports de bugs... <|> patch => suggestions : ['patchs']
8 Typographie : points de suspension. Utilisez le caractère dédié. => Euh... pas grand chose... principalement de l'aide, de temps en temps des patch, et des rapports de bugs... <|> ... => suggestions : ['…']
12 Mot inconnu : thibaut => E-mail : thibaut**.**girka __AROBASE__ free **.** fr <|> thibaut
12 Mot inconnu : girka => E-mail : thibaut**.**girka __AROBASE__ free **.** fr <|> girka
12 Mot inconnu : __AROBASE__ => E-mail : thibaut**.**girka __AROBASE__ free **.** fr <|> __arobase__
12 Mot inconnu : free => E-mail : thibaut**.**girka __AROBASE__ free **.** fr <|> free

14 Mot inconnu : Jabber => Jabber : thibg @ jabber.fr <|> jabber
14 Mot inconnu : thibg => Jabber : thibg @ jabber.fr <|> thibg
14 Mot inconnu : jabber => Jabber : thibg @ jabber.fr <|> jabber

16 Mot inconnu : IRC => IRC : Thib_G sur irc.freenode.net <|> irc
16 Mot inconnu : Thib_G => IRC : Thib_G sur irc.freenode.net <|> thib_g
