1 Mot inconnu : DeathDwarf => ====== DeathDwarf ====== | deathdwarf

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Nom **: Deligné |    => suggestions : ['']
5 Mot inconnu : Deligné =>   * ** Nom **: Deligné | deligné

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Prénom **: Guillaume |    => suggestions : ['']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Pseudonyme **: DeathDwarf |    => suggestions : ['']
7 Mot inconnu : DeathDwarf =>   * ** Pseudonyme **: DeathDwarf | deathdwarf

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Localisation **: Tartas (Landes - 40) |    => suggestions : ['']
8 Mot inconnu : Tartas =>   * ** Localisation **: Tartas (Landes - 40) | tartas
8 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>   * ** Localisation **: Tartas (Landes - 40) |  -  => suggestions : [' – ', ' — ', ' − ', ' −']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Date de naissance **: 16/09/1985 |    => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Lieu de naissance **: Niort (79) |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Adresse élèctronique **: guillaume.deligne AT hotmail DOT com |    => suggestions : ['']
11 Mot inconnu : élèctronique =>   * ** Adresse élèctronique **: guillaume.deligne AT hotmail DOT com | élèctronique
11 Mot inconnu : deligne =>   * ** Adresse élèctronique **: guillaume.deligne AT hotmail DOT com | deligne
11 Mot inconnu : hotmail =>   * ** Adresse élèctronique **: guillaume.deligne AT hotmail DOT com | hotmail

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** Adresse Jabber **: deathdwarf AT jabber DOT ubuntu-fr DOT org |    => suggestions : ['']
12 Mot inconnu : Jabber =>   * ** Adresse Jabber **: deathdwarf AT jabber DOT ubuntu-fr DOT org | jabber
12 Mot inconnu : deathdwarf =>   * ** Adresse Jabber **: deathdwarf AT jabber DOT ubuntu-fr DOT org | deathdwarf
12 Mot inconnu : jabber =>   * ** Adresse Jabber **: deathdwarf AT jabber DOT ubuntu-fr DOT org | jabber
12 Mot inconnu : ubuntu-fr =>   * ** Adresse Jabber **: deathdwarf AT jabber DOT ubuntu-fr DOT org | ubuntu-fr

