1 Mot inconnu : Fridobox => ====== Fridobox ====== | fridobox

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Pseudo :** fridobox |    => suggestions : ['']
11 Mot inconnu : fridobox =>   * **Pseudo :** fridobox | fridobox

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Vrai nom :** Fridolyn SOMERS |    => suggestions : ['']
12 Mot inconnu : Fridolyn =>   * **Vrai nom :** Fridolyn SOMERS | fridolyn
12 Mot inconnu : SOMERS =>   * **Vrai nom :** Fridolyn SOMERS | somers

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Âge :** 29 ans |    => suggestions : ['']
13 Avec une unité de mesure, mettez un espace insécable. =>   * **Âge :** 29 ans | 29 ans => suggestions : ['29\xa0ans']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Activité :** Ingénieur NTIC |    => suggestions : ['']
14 Mot inconnu : NTIC =>   * **Activité :** Ingénieur NTIC | ntic

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Localisation :** Lyon |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Contact :** [[http://forum.ubuntu-fr.org/profile.php?id=43888|Via mon profil]] |    => suggestions : ['']

21 Confusion probable : l’évidement est l’action de vider quelque chose. L’adverbe s’écrit “évidemment”. => En tant que passionné à la fois hardware et software, j'ai évidement quelques machines. | évidement => suggestions : ['évidemment']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Usage :** personel |    => suggestions : ['']
25 Mot inconnu : personel =>   * **Usage :** personel | personel

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Boitier :** Antec Sonata III |    => suggestions : ['']
26 Mot inconnu : Antec =>   * **Boitier :** Antec Sonata III | antec
26 Mot inconnu : Sonata =>   * **Boitier :** Antec Sonata III | sonata

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Processeur :** Intel Pentium E2140 |    => suggestions : ['']
27 Mot inconnu : Pentium =>   * **Processeur :** Intel Pentium E2140 | pentium
27 Mot inconnu : E2140 =>   * **Processeur :** Intel Pentium E2140 | e2140

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Carte mère :** Asus P5K (P35-ICH9) |    => suggestions : ['']
28 Mot inconnu : P5K =>   * **Carte mère :** Asus P5K (P35-ICH9) | p5k
28 Mot inconnu : P35-ICH9 =>   * **Carte mère :** Asus P5K (P35-ICH9) | p35-ich9

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Mémoire vive :** 2 Go |    => suggestions : ['']
29 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Mémoire vive :** 2 Go | 2 go => suggestions : ['2\xa0Go']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Carte graphique :** Nvidia GeForce 8600GTH (PCI-E) |    => suggestions : ['']
30 Mot inconnu : GeForce =>   * **Carte graphique :** Nvidia GeForce 8600GTH (PCI-E) | geforce
