1 Typographie : points de suspension. Utilisez le caractère dédié. [[13:16]] => Voila ma page... <|> ... => suggestions : …

5 Mot inconnu : addresse [[46:54]] => Vous pouvez me joindre si vous voulez à cette addresse : imfanof [ CHEZ ] gmail [ POINT ] com <|> addresse
5 Mot inconnu : imfanof [[57:64]] => Vous pouvez me joindre si vous voulez à cette addresse : imfanof [ CHEZ ] gmail [ POINT ] com <|> imfanof
5 Pas d’espace après ce signe. [[65:67]] => Vous pouvez me joindre si vous voulez à cette addresse : imfanof [ CHEZ ] gmail [ POINT ] com <|> [  => suggestions : [
5 Pas d’espace avant ce signe. [[71:73]] => Vous pouvez me joindre si vous voulez à cette addresse : imfanof [ CHEZ ] gmail [ POINT ] com <|>  ] => suggestions : ]
5 Pas d’espace après ce signe. [[80:82]] => Vous pouvez me joindre si vous voulez à cette addresse : imfanof [ CHEZ ] gmail [ POINT ] com <|> [  => suggestions : [
5 Pas d’espace avant ce signe. [[87:89]] => Vous pouvez me joindre si vous voulez à cette addresse : imfanof [ CHEZ ] gmail [ POINT ] com <|>  ] => suggestions : ]

8 Mot inconnu : OpenMouv [[12:20]] => Il se nomme OpenMouv, et sera prochaînement disponible ici -> http://fanof.free.fr/om <|> openmouv
8 Mot inconnu : prochaînement [[30:43]] => Il se nomme OpenMouv, et sera prochaînement disponible ici -> http://fanof.free.fr/om <|> prochaînement

10 Mot inconnu : e-mailez-moi [[40:52]] => Si vous souhaitez participer au projet, e-mailez-moi ;) <|> e-mailez-moi
