1 Mot inconnu : Coffee => ====== Coffee ====== | coffee

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Grand buveur de café |    => suggestions : ['']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Présent partout sans y être |    => suggestions : ['']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Administrateur du forum |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Aime Programmer |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Aime chercher le bug |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Aime glander |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Aime jouer |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Aime pinger |    => suggestions : ['']
16 Mot inconnu : pinger =>   * Aime pinger | pinger

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Par le forum |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * coffee AT jabber DOT nom_de_domaine_du_site_ubuntu-fr (DOT org) |    => suggestions : ['']
21 Mot inconnu : coffee =>   * coffee AT jabber DOT nom_de_domaine_du_site_ubuntu-fr (DOT org) | coffee
21 Mot inconnu : jabber =>   * coffee AT jabber DOT nom_de_domaine_du_site_ubuntu-fr (DOT org) | jabber
21 Mot inconnu : nom_de_domaine_du_site_ubuntu-fr =>   * coffee AT jabber DOT nom_de_domaine_du_site_ubuntu-fr (DOT org) | nom_de_domaine_du_site_ubuntu-fr

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://contrib.coffee.free.fr|Mon blog]] |    => suggestions : ['']
