1 Mot inconnu : illwieckz => Quelques emplacements où trouver //illwieckz// sur le net : | illwieckz

3 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://illwieckz.net (blog personnel) |    => suggestions : ['']

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://gg.illwieckz.net (serveur de jeux sous GNU/Linux, tous testés sous Ubuntu) |    => suggestions : ['']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://linuxfr.org/users/illwieckz/ (articles d’actualité technologique) |    => suggestions : ['']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://github.com/illwieckz (profil GitHub) |    => suggestions : ['']
6 Mot inconnu : GitHub =>   * https://github.com/illwieckz (profil GitHub) | github

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://launchpad.net/~illwieckz (profil LaunchPad) |    => suggestions : ['']
7 Mot inconnu : illwieckz =>   * https://launchpad.net/~illwieckz (profil LaunchPad) | illwieckz
7 Mot inconnu : LaunchPad =>   * https://launchpad.net/~illwieckz (profil LaunchPad) | launchpad

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://doc.ubuntu-fr.org/utilisateurs/illwieckz (cette page !) |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Unvanquished : http://unvanquished.net (un jeu passionnant, digne héritier de Tremulous) |    => suggestions : ['']
12 Mot inconnu : Unvanquished =>   * Unvanquished : http://unvanquished.net (un jeu passionnant, digne héritier de Tremulous) | unvanquished
12 Mot inconnu : Tremulous =>   * Unvanquished : http://unvanquished.net (un jeu passionnant, digne héritier de Tremulous) | tremulous

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ET: Legacy : http://etlegacy.com (le jeu Wolfenstein: Enemy Territory maintenu) |    => suggestions : ['']
13 Mot inconnu : Legacy =>   * ET: Legacy : http://etlegacy.com (le jeu Wolfenstein: Enemy Territory maintenu) | legacy
13 Mot inconnu : Wolfenstein =>   * ET: Legacy : http://etlegacy.com (le jeu Wolfenstein: Enemy Territory maintenu) | wolfenstein
13 Mot inconnu : Enemy =>   * ET: Legacy : http://etlegacy.com (le jeu Wolfenstein: Enemy Territory maintenu) | enemy
13 Mot inconnu : Territory =>   * ET: Legacy : http://etlegacy.com (le jeu Wolfenstein: Enemy Territory maintenu) | territory

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * XQF : http://xqf.github.io (l’explorateur de serveurs de jeu que je maintiens) |    => suggestions : ['']
14 Mot inconnu : XQF =>   * XQF : http://xqf.github.io (l’explorateur de serveurs de jeu que je maintiens) | xqf

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * PIMI : https://github.com/illwieckz/PIMI (installeur de modifications pour ET: Legacy) |    => suggestions : ['']
15 Mot inconnu : PIMI =>   * PIMI : https://github.com/illwieckz/PIMI (installeur de modifications pour ET: Legacy) | pimi
15 Mot inconnu : Legacy =>   * PIMI : https://github.com/illwieckz/PIMI (installeur de modifications pour ET: Legacy) | legacy
