1 Espace(s) en fin de ligne à supprimer. => Bonjour,\\  |   => suggestions : ['']

2 Avec une unité de mesure, mettez un espace insécable. => Je suis linuxien depuis plus de 7 ans, administrateur de plusieurs serveurs et utilisateur Ubuntu depuis 1 an sur mon portable HP DV8113EA.\\  | 7 ans => suggestions : ['7\xa0ans']
2 Avec une unité de mesure, mettez un espace insécable. => Je suis linuxien depuis plus de 7 ans, administrateur de plusieurs serveurs et utilisateur Ubuntu depuis 1 an sur mon portable HP DV8113EA.\\  | 1 an => suggestions : ['1\xa0an']
2 Mot inconnu : HP => Je suis linuxien depuis plus de 7 ans, administrateur de plusieurs serveurs et utilisateur Ubuntu depuis 1 an sur mon portable HP DV8113EA.\\  | hp
2 Mot inconnu : DV8113EA => Je suis linuxien depuis plus de 7 ans, administrateur de plusieurs serveurs et utilisateur Ubuntu depuis 1 an sur mon portable HP DV8113EA.\\  | dv8113ea
2 Espace(s) en fin de ligne à supprimer. => Je suis linuxien depuis plus de 7 ans, administrateur de plusieurs serveurs et utilisateur Ubuntu depuis 1 an sur mon portable HP DV8113EA.\\  |   => suggestions : ['']

3 Mot inconnu : epsilonrt => Vous pouvez me joindre par mail epsilonrt(--AT--)laposte.net.  | epsilonrt
3 Il manque un espace avant la parenthèse. => Vous pouvez me joindre par mail epsilonrt(--AT--)laposte.net.  | ( => suggestions : [' (']
3 Il manque un espace après la parenthèse. => Vous pouvez me joindre par mail epsilonrt(--AT--)laposte.net.  | ) => suggestions : [') ']
3 Mot inconnu : laposte => Vous pouvez me joindre par mail epsilonrt(--AT--)laposte.net.  | laposte
3 Espace(s) en fin de ligne à supprimer. => Vous pouvez me joindre par mail epsilonrt(--AT--)laposte.net.  |   => suggestions : ['']
