1 Mot inconnu : Sylvainvh [[7:16]] => ====== Sylvainvh ====== <|> sylvainvh

6 Mot inconnu : Hoof [[25:29]] => Je m’appelle Sylvain Van Hoof, jeune dernier d’une famille de trois enfants. A 21 ans (05/02/1991), je suis un Belge pure et simple, ayant toutes les manies qu’un Belge peut avoir. C'est-à-dire, j’aime les frites et la bonne bière … que demander de plus. J'ai habité pendant plusieurs années à Rixensart, une petite ville de quelques milliers habitants qui se situe dans la région du Brabant-Wallon et dans la communauté française. Maintenant, étant étudiant, je loge dans un kot à Bruxelles. Étant un bon Belge, je suis très fort attaché au concept d’une Belgique unie malgré tous nos problèmes qui, soient dits en passant, n’en sont pas. Actuellement, je suis en deuxième année de mon baccalauréat d'informatique de gestion à l'Institut Paul Lambin qui se situe sur le campus d'Alma (Bruxelles - Woluwe). <|> hoof
6 Accord de genre erroné : « un Belge » est masculin, « pure » est féminin. [[117:121]] => Je m’appelle Sylvain Van Hoof, jeune dernier d’une famille de trois enfants. A 21 ans (05/02/1991), je suis un Belge pure et simple, ayant toutes les manies qu’un Belge peut avoir. C'est-à-dire, j’aime les frites et la bonne bière … que demander de plus. J'ai habité pendant plusieurs années à Rixensart, une petite ville de quelques milliers habitants qui se situe dans la région du Brabant-Wallon et dans la communauté française. Maintenant, étant étudiant, je loge dans un kot à Bruxelles. Étant un bon Belge, je suis très fort attaché au concept d’une Belgique unie malgré tous nos problèmes qui, soient dits en passant, n’en sont pas. Actuellement, je suis en deuxième année de mon baccalauréat d'informatique de gestion à l'Institut Paul Lambin qui se situe sur le campus d'Alma (Bruxelles - Woluwe). <|> pure => suggestions : pur
6 Pas d’espace avant le signe “…”. [[230:232]] => Je m’appelle Sylvain Van Hoof, jeune dernier d’une famille de trois enfants. A 21 ans (05/02/1991), je suis un Belge pure et simple, ayant toutes les manies qu’un Belge peut avoir. C'est-à-dire, j’aime les frites et la bonne bière … que demander de plus. J'ai habité pendant plusieurs années à Rixensart, une petite ville de quelques milliers habitants qui se situe dans la région du Brabant-Wallon et dans la communauté française. Maintenant, étant étudiant, je loge dans un kot à Bruxelles. Étant un bon Belge, je suis très fort attaché au concept d’une Belgique unie malgré tous nos problèmes qui, soient dits en passant, n’en sont pas. Actuellement, je suis en deuxième année de mon baccalauréat d'informatique de gestion à l'Institut Paul Lambin qui se situe sur le campus d'Alma (Bruxelles - Woluwe). <|>  … => suggestions : …
6 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[795:798]] => Je m’appelle Sylvain Van Hoof, jeune dernier d’une famille de trois enfants. A 21 ans (05/02/1991), je suis un Belge pure et simple, ayant toutes les manies qu’un Belge peut avoir. C'est-à-dire, j’aime les frites et la bonne bière … que demander de plus. J'ai habité pendant plusieurs années à Rixensart, une petite ville de quelques milliers habitants qui se situe dans la région du Brabant-Wallon et dans la communauté française. Maintenant, étant étudiant, je loge dans un kot à Bruxelles. Étant un bon Belge, je suis très fort attaché au concept d’une Belgique unie malgré tous nos problèmes qui, soient dits en passant, n’en sont pas. Actuellement, je suis en deuxième année de mon baccalauréat d'informatique de gestion à l'Institut Paul Lambin qui se situe sur le campus d'Alma (Bruxelles - Woluwe). <|>  -  => suggestions :  –  —  − 
6 Mot inconnu : Woluwe [[798:804]] => Je m’appelle Sylvain Van Hoof, jeune dernier d’une famille de trois enfants. A 21 ans (05/02/1991), je suis un Belge pure et simple, ayant toutes les manies qu’un Belge peut avoir. C'est-à-dire, j’aime les frites et la bonne bière … que demander de plus. J'ai habité pendant plusieurs années à Rixensart, une petite ville de quelques milliers habitants qui se situe dans la région du Brabant-Wallon et dans la communauté française. Maintenant, étant étudiant, je loge dans un kot à Bruxelles. Étant un bon Belge, je suis très fort attaché au concept d’une Belgique unie malgré tous nos problèmes qui, soient dits en passant, n’en sont pas. Actuellement, je suis en deuxième année de mon baccalauréat d'informatique de gestion à l'Institut Paul Lambin qui se situe sur le campus d'Alma (Bruxelles - Woluwe). <|> woluwe
9 Espace(s) en fin de ligne à supprimer. [[322:323]] => Il faut un temps où mon rêve était de devenir ingénieur robotique. Après plusieurs années, je me suis rendu compte que ce choix ne me correspondait en aucun cas. Je suis donc dans l’optique de suivre terminer mon bac et de faire de la consultance. Un rêve? Développer l'informatique dans les pays en voie de développement.  <|>  
12 Espace(s) en fin de ligne à supprimer. [[389:390]] => En ce qui concerne mes passions comme pour la majorité des lecteurs d’ubuntu-fr.org, c’est l’informatique mais surtout, le logiciel libre. Je suis devenu un véritable militant du logiciel libre et de tout ce petit microsystème qui s’est créé autour du logiciel libre. Utilisateur d’Ubuntu depuis longtemps, je m’efforce de faire partager et de faire découvrir ma passion du logiciel libre.  <|>  

13 Espace(s) surnuméraire(s) à supprimer. [[57:59]] => Sinon, l’informatique n’est pas ma seule passion. J’aime,  comme la majorité des jeunes, les sorties et autres soirées entre copains. De plus, je suis un passionné de musique et je suis DJ dans quelques soirées. <|>    => suggestions :  

19 Espace(s) surnuméraire(s) à supprimer. [[80:82]] => Derrière les nombreux préjugés comme quoi les linuxiens ne seraient que des gros  « no life » ne connaissant que leur pc comme ami, se cache une véritable communauté. Cette communauté est remplie de personnes qui sont prêtes à donner de leur temps pour aider une personne. Et c’est cette idée de partage que j’apprécie énormément dans ce petit monde. D’ailleurs, grâce à la notoriété grandissante de certaines distributions comme Ubuntu, le petit monde du logiciel libre commence à s’ouvrir et l’on voit apparaître de nouvelles personnes. <|>    => suggestions :  
19 Accord de nombre erroné avec « des gros » : « no » devrait être au pluriel. [[84:86]] => Derrière les nombreux préjugés comme quoi les linuxiens ne seraient que des gros  « no life » ne connaissant que leur pc comme ami, se cache une véritable communauté. Cette communauté est remplie de personnes qui sont prêtes à donner de leur temps pour aider une personne. Et c’est cette idée de partage que j’apprécie énormément dans ce petit monde. D’ailleurs, grâce à la notoriété grandissante de certaines distributions comme Ubuntu, le petit monde du logiciel libre commence à s’ouvrir et l’on voit apparaître de nouvelles personnes. <|> no => suggestions : nos
19 Mot inconnu : life [[87:91]] => Derrière les nombreux préjugés comme quoi les linuxiens ne seraient que des gros  « no life » ne connaissant que leur pc comme ami, se cache une véritable communauté. Cette communauté est remplie de personnes qui sont prêtes à donner de leur temps pour aider une personne. Et c’est cette idée de partage que j’apprécie énormément dans ce petit monde. D’ailleurs, grâce à la notoriété grandissante de certaines distributions comme Ubuntu, le petit monde du logiciel libre commence à s’ouvrir et l’on voit apparaître de nouvelles personnes. <|> life

20 Espace(s) en fin de ligne à supprimer. [[305:307]] => Un second point qui me semble très important, c’est que le monde du libre est l’une des dernières choses, sur internet, où la relation et le partage passent avant le profit. Cette gratuité offre aux distributions Unix une qualité inégalable grâce sa communauté de bénévoles qui s’agrandit de jour en jour.   <|>   

25 Mot inconnu : agéri [[87:92]] => En ce qui concerne ma distribution, c'est Ubuntu mais aussi Fedora. Je suis un testeur agéri qui aime tester toutes les versions possibles et inimaginables. Je passe à la nouvelle versions vers la version Alpha 3/4. C'est à dire, bien avant qu'il sorte. <|> agéri
25 Accord de nombre erroné avec « la nouvelle » : « versions » devrait être au singulier. [[180:188]] => En ce qui concerne ma distribution, c'est Ubuntu mais aussi Fedora. Je suis un testeur agéri qui aime tester toutes les versions possibles et inimaginables. Je passe à la nouvelle versions vers la version Alpha 3/4. C'est à dire, bien avant qu'il sorte. <|> versions => suggestions : versionversée
25 Il manque les traits d’union. [[216:228]] => En ce qui concerne ma distribution, c'est Ubuntu mais aussi Fedora. Je suis un testeur agéri qui aime tester toutes les versions possibles et inimaginables. Je passe à la nouvelle versions vers la version Alpha 3/4. C'est à dire, bien avant qu'il sorte. <|> c'est à dire => suggestions : C’est-à-dire

29 Tournure familière. Utilisez “être allé” plutôt que “avoir été”. [[2:8]] => J'ai été aider à la "Ubuntu Party" à Paris pendant un week-end (surtout le deuxième jour). Moment inoubliable et à refaire dès que possible :-) <|> ai été
29 Incohérence. Après “avoir été”, il faut un participe passé (à moins que “avoir été” signifie ici “être allé”). [[9:14]] => J'ai été aider à la "Ubuntu Party" à Paris pendant un week-end (surtout le deuxième jour). Moment inoubliable et à refaire dès que possible :-) <|> aider => suggestions : aidéaidéeaidéesaidés
29 Guillemets typographiques ouvrants. [[20:21]] => J'ai été aider à la "Ubuntu Party" à Paris pendant un week-end (surtout le deuxième jour). Moment inoubliable et à refaire dès que possible :-) <|> " => suggestions : « “
29 Guillemets typographiques fermants. [[33:34]] => J'ai été aider à la "Ubuntu Party" à Paris pendant un week-end (surtout le deuxième jour). Moment inoubliable et à refaire dès que possible :-) <|> " => suggestions :  »”

31 Mot inconnu : DWA-140 [[38:45]] => Mon premier wiki a été le wiki sur la DWA-140 <|> dwa-140

32 Accord de nombre erroné : « wiki » devrait être au pluriel. [[40:44]] => Bien sûr, j'essaye de corriger quelques wiki par ci par là. <|> wiki => suggestions : wikis
32 Trait(s) d’union manquant(s). [[45:58]] => Bien sûr, j'essaye de corriger quelques wiki par ci par là. <|> par ci par là => suggestions : par-ci par-làpar-ci, par-là
