1 Mot inconnu : roger64 => ====== roger64 ====== | roger64

6 Mot inconnu : Dapper => J'ai débuté sous Ubuntu avec Dapper. Mon centre d'intérêt est la **vulgarisation** d'Ubuntu. Mes pages ou mes contributions sont donc destinées avant tout aux **débutants**. | dapper

8 Espace(s) en fin de ligne à supprimer. => Ma motivation tient autant à l'extrême qualité de cette distribution qu'à la volonté de remercier la communauté d'Ubuntu Fr pour l'aide qu'elle m'a et qu'elle continue de me donner.  |   => suggestions : ['']

12 Mot inconnu : rogqip-suse => rogqip-suse@robase yahoo point fr | rogqip-suse
12 Mot inconnu : yahoo => rogqip-suse@robase yahoo point fr | yahoo

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * fuse_compilation |    => suggestions : ['']
26 Mot inconnu : fuse_compilation =>   * fuse_compilation | fuse_compilation

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * beryl et ses pages annexes (pages obsolètes) |    => suggestions : ['']
38 Mot inconnu : beryl =>   * beryl et ses pages annexes (pages obsolètes) | beryl
