1 Forme interrogative ? Mettez un trait d’union. [[7:14]] => ===Qui suis je ?=== <|> suis je => suggestions : ['suis-je']

3 Mot inconnu : Souville [[0:8]] => Souville Jean-François \\ <|> souville

5 Mot inconnu : ENSICAEN [[31:39]] => Étudiant à l'école d'ingénieur ENSICAEN de Caen, spécialité monétique et sécurité des systèmes. <|> ensicaen

6 Mot inconnu : Sopra [[60:65]] => Actuellement en stage de fin d'étude à Toulouse, au sein de Sopra Group <|> sopra
6 Mot inconnu : Group [[66:71]] => Actuellement en stage de fin d'étude à Toulouse, au sein de Sopra Group <|> group
9 Mot inconnu : xgl [[4:7]] =>   * xgl <|> xgl
10 Mot inconnu : xgl_gnome [[4:13]] =>   * xgl_gnome <|> xgl_gnome
11 Mot inconnu : xgl_kde [[4:11]] =>   * xgl_kde <|> xgl_kde
12 Mot inconnu : xgl_xfce [[4:12]] =>   * xgl_xfce <|> xgl_xfce
13 Mot inconnu : xgl_problèmes [[4:17]] =>   * xgl_problèmes <|> xgl_problèmes
18 Mot inconnu : ENSICAEN [[28:36]] =>   * le site des élèves de l'ENSICAEN: http://www.ecole.ensicaen.fr <|> ensicaen
19 Mot inconnu : ENSICAEN [[17:25]] =>   * le site de l'ENSICAEN: http://www.ensicaen.fr <|> ensicaen
