1 Mot inconnu : marc31 [[7:13]] => ====== marc31 ====== <|> marc31
3 Typographie : points de suspension. Utilisez le caractère dédié. [[141:144]] => Marc, 45 ans, région Toulousaine, utilisateur de Linux depuis 1994 et de Ubuntu depuis moins longtemps (c'est une distribution toute récente ...). <|> ... => suggestions : ['…']
6 Mot inconnu : quinton [[13:20]] =>   * mail : m.quinton sur gmail point com. (les intimes peuvent supprimer le point entre m et quinton, mais pas les robots). <|> quinton
6 Mot inconnu : quinton [[93:100]] =>   * mail : m.quinton sur gmail point com. (les intimes peuvent supprimer le point entre m et quinton, mais pas les robots). <|> quinton
7 Mot inconnu : mq [[18:20]] =>   * irc : marc ou mq (c'est selon) sur irc.freenodes.net sur #culte, #tsf, #toulibre, #ubuntu-fr <|> mq
14 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[4:8]] =>   * coté professionnel j'administre des serveurs sur plateforme Linux. Ils embarquent Apache, php, mysql. J'hésite entre Debian et Ubuntu pour la fonction serveur. Pour le poste utilisateur, mon choix va sans conteste vers Ubuntu : joli, pratique, en général assez stable, bien que Gutsy se révèle un peu instable. <|> coté => suggestions : ['Coté']
26 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[4:9]] =>   * ayant pour objectif de mettre en place une formation sur Ubuntu adaptée aux utilisateurs novices, j'ai récupéré une présentation que j'ai largement adaptée et enrichie. L'ensemble de ces documents sont disponibles sur la page presentation_ubuntu ; la licence des documents originale est conservée, à savoir Creative Commons (je n'en connais pas les détails, mais c'est à priori une licence offrant assez de liberté et de droits). <|> ayant => suggestions : ['Ayant']
26 Mot inconnu : presentation_ubuntu [[230:249]] =>   * ayant pour objectif de mettre en place une formation sur Ubuntu adaptée aux utilisateurs novices, j'ai récupéré une présentation que j'ai largement adaptée et enrichie. L'ensemble de ces documents sont disponibles sur la page presentation_ubuntu ; la licence des documents originale est conservée, à savoir Creative Commons (je n'en connais pas les détails, mais c'est à priori une licence offrant assez de liberté et de droits). <|> presentation_ubuntu
26 Mot inconnu : Creative [[311:319]] =>   * ayant pour objectif de mettre en place une formation sur Ubuntu adaptée aux utilisateurs novices, j'ai récupéré une présentation que j'ai largement adaptée et enrichie. L'ensemble de ces documents sont disponibles sur la page presentation_ubuntu ; la licence des documents originale est conservée, à savoir Creative Commons (je n'en connais pas les détails, mais c'est à priori une licence offrant assez de liberté et de droits). <|> creative
26 Mot inconnu : Commons [[320:327]] =>   * ayant pour objectif de mettre en place une formation sur Ubuntu adaptée aux utilisateurs novices, j'ai récupéré une présentation que j'ai largement adaptée et enrichie. L'ensemble de ces documents sont disponibles sur la page presentation_ubuntu ; la licence des documents originale est conservée, à savoir Creative Commons (je n'en connais pas les détails, mais c'est à priori une licence offrant assez de liberté et de droits). <|> commons
33 Accord de nombre erroné : « site » devrait être au pluriel. [[25:29]] =>   * ce site est l'un des site communautaire les plus aboutis concernant une distribution Linux ; autant contribuer pour quelque chose ayant un avenir radieux, <|> site => suggestions : ['sites']
