1 Mot inconnu : Teilginn [[7:15]] => ====== Teilginn ====== <|> teilginn
17 Mot inconnu : UNR [[27:30]] => Je suis passé sous Karmic (UNR 9.10) il y a un certain temps, voici quelques unes de mes solutions (ou contournements) aux problèmes que j'ai rencontré sur mon 1000h. <|> unr
17 Il manque un trait d’union. [[68:81]] => Je suis passé sous Karmic (UNR 9.10) il y a un certain temps, voici quelques unes de mes solutions (ou contournements) aux problèmes que j'ai rencontré sur mon 1000h. <|> quelques unes => suggestions : ['quelques-unes']

20 Mot inconnu : eclipse [[14:21]] => J'ai installé eclipse à partir des dépôts ubuntu. Aucun problème particulier, sauf la liste des sites de mise à jour qui est vide et ce n'est pas un soucis d'affichage.La preuve il suffit de rajouter les 2 sites suivants à la main pour la faire réappaître et pouvoir choisir les greffons tant désirés <|> eclipse
20 Accord de nombre erroné : « soucis » devrait être au singulier. [[149:155]] => J'ai installé eclipse à partir des dépôts ubuntu. Aucun problème particulier, sauf la liste des sites de mise à jour qui est vide et ce n'est pas un soucis d'affichage.La preuve il suffit de rajouter les 2 sites suivants à la main pour la faire réappaître et pouvoir choisir les greffons tant désirés <|> soucis => suggestions : ['souci']
20 Il manque un espace. [[168:170]] => J'ai installé eclipse à partir des dépôts ubuntu. Aucun problème particulier, sauf la liste des sites de mise à jour qui est vide et ce n'est pas un soucis d'affichage.La preuve il suffit de rajouter les 2 sites suivants à la main pour la faire réappaître et pouvoir choisir les greffons tant désirés <|> la => suggestions : [' La']
20 Mot inconnu : réappaître [[245:255]] => J'ai installé eclipse à partir des dépôts ubuntu. Aucun problème particulier, sauf la liste des sites de mise à jour qui est vide et ce n'est pas un soucis d'affichage.La preuve il suffit de rajouter les 2 sites suivants à la main pour la faire réappaître et pouvoir choisir les greffons tant désirés <|> réappaître

25 Mot inconnu : Freeze [[11:17]] => ==== Crash/Freeze système ==== <|> freeze
27 Mot inconnu : connection [[31:41]] =>   * Il faut penser à couper la connection Wifi avant d'éteindre le module wifi (FN-F2) <|> connection
27 Mot inconnu : FN-F2 [[80:85]] =>   * Il faut penser à couper la connection Wifi avant d'éteindre le module wifi (FN-F2) <|> fn-f2
28 Mot inconnu : freeze [[54:60]] =>   * Désinstaller totalement compiz semble résoudre le freeze au retour du mode 'hibernate' (je n'ai pas ré-éssayer avec la mise à jour de ce mois de compiz 02/2010)  <|> freeze
28 Guillemets typographiques ouvrants. [[79:80]] =>   * Désinstaller totalement compiz semble résoudre le freeze au retour du mode 'hibernate' (je n'ai pas ré-éssayer avec la mise à jour de ce mois de compiz 02/2010)  <|> ' => suggestions : ['“', '‘', '‹']
28 Mot inconnu : hibernate [[80:89]] =>   * Désinstaller totalement compiz semble résoudre le freeze au retour du mode 'hibernate' (je n'ai pas ré-éssayer avec la mise à jour de ce mois de compiz 02/2010)  <|> hibernate
28 Guillemets typographiques fermants. [[89:90]] =>   * Désinstaller totalement compiz semble résoudre le freeze au retour du mode 'hibernate' (je n'ai pas ré-éssayer avec la mise à jour de ce mois de compiz 02/2010)  <|> ' => suggestions : ['”', '’', '›']
28 Mot inconnu : ré-éssayer [[104:114]] =>   * Désinstaller totalement compiz semble résoudre le freeze au retour du mode 'hibernate' (je n'ai pas ré-éssayer avec la mise à jour de ce mois de compiz 02/2010)  <|> ré-éssayer
28 Espace(s) en fin de ligne à supprimer. [[164:165]] =>   * Désinstaller totalement compiz semble résoudre le freeze au retour du mode 'hibernate' (je n'ai pas ré-éssayer avec la mise à jour de ce mois de compiz 02/2010)  <|>   => suggestions : ['']
31 Mot inconnu : WPA [[90:93]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> wpa
31 Mot inconnu : AES [[94:97]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> aes
31 Mot inconnu : TPIK [[98:102]] => Au passage à Karmic, j'ai perdu l'accès Wifi à ma Freebox (qui restera configurée en mode WPA AES/TPIK ssid caché car cela a toujous fonctioné jusque là). Heureusement pour moi il y a FreeWifi et je possède un routeur linksy auquel je me connecte sans soucis en WPA2 AES/TPIK ssid caché. <|> tpik
