1 Mot inconnu : PsychedEric [[7:18]] => ====== PsychedEric ====== <|> psychederic

11 Incohérence. Le sujet de cette forme verbale est introuvable. [[14:18]] => **Personne ne peux agir à votre place.** <|> peux => suggestions : ['peut']
16 Typographie : points de suspension. Utilisez le caractère dédié. [[87:90]] => Ne doutez jamais que vous seul pouvez faire quelque chose : tout commence par vous seul... <|> ... => suggestions : ['…']

20 Mot inconnu : rms [[45:48]] => Il était une fois un type, qui se surnommait rms, Richard stallman, et qui travaillait en intelligence artificielle, dans les années 1970. <|> rms
20 Mot inconnu : stallman [[58:66]] => Il était une fois un type, qui se surnommait rms, Richard stallman, et qui travaillait en intelligence artificielle, dans les années 1970. <|> stallman

24 Il manque les traits d’union. [[0:12]] => C'est à dire que le savoir, serait positif si il était partagé : et que "l'information veut et sera a long terme libre" de toute manière, ou la stupidité ou la volonté de pouvoir et de perversion de certains, et aussi pour contrer les dangers ce serait moins dangereux si le savoir était mis en "Réseau" : le savoir étant distribué librement. <|> c'est à dire => suggestions : ['C’est-à-dire']
24 Il faut élider “si” et l’accoler au pronom. [[43:46]] => C'est à dire que le savoir, serait positif si il était partagé : et que "l'information veut et sera a long terme libre" de toute manière, ou la stupidité ou la volonté de pouvoir et de perversion de certains, et aussi pour contrer les dangers ce serait moins dangereux si le savoir était mis en "Réseau" : le savoir étant distribué librement. <|> si  => suggestions : ['s’']
24 Guillemets typographiques ouvrants. [[72:73]] => C'est à dire que le savoir, serait positif si il était partagé : et que "l'information veut et sera a long terme libre" de toute manière, ou la stupidité ou la volonté de pouvoir et de perversion de certains, et aussi pour contrer les dangers ce serait moins dangereux si le savoir était mis en "Réseau" : le savoir étant distribué librement. <|> " => suggestions : ['«\xa0', '“']
24 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. [[100:101]] => C'est à dire que le savoir, serait positif si il était partagé : et que "l'information veut et sera a long terme libre" de toute manière, ou la stupidité ou la volonté de pouvoir et de perversion de certains, et aussi pour contrer les dangers ce serait moins dangereux si le savoir était mis en "Réseau" : le savoir étant distribué librement. <|> a => suggestions : ['à']
24 Guillemets typographiques fermants. [[118:119]] => C'est à dire que le savoir, serait positif si il était partagé : et que "l'information veut et sera a long terme libre" de toute manière, ou la stupidité ou la volonté de pouvoir et de perversion de certains, et aussi pour contrer les dangers ce serait moins dangereux si le savoir était mis en "Réseau" : le savoir étant distribué librement. <|> " => suggestions : ['\xa0»', '”']
24 Guillemets typographiques ouvrants. [[295:296]] => C'est à dire que le savoir, serait positif si il était partagé : et que "l'information veut et sera a long terme libre" de toute manière, ou la stupidité ou la volonté de pouvoir et de perversion de certains, et aussi pour contrer les dangers ce serait moins dangereux si le savoir était mis en "Réseau" : le savoir étant distribué librement. <|> " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. [[302:303]] => C'est à dire que le savoir, serait positif si il était partagé : et que "l'information veut et sera a long terme libre" de toute manière, ou la stupidité ou la volonté de pouvoir et de perversion de certains, et aussi pour contrer les dangers ce serait moins dangereux si le savoir était mis en "Réseau" : le savoir étant distribué librement. <|> " => suggestions : ['\xa0»', '”']

26 S’il s’agit d’une interrogation, il manque un trait d’union. [[0:6]] => Est ce que ce type a respecté les règles ? Non, il en a crée de nouvelles. <|> est ce => suggestions : ['Est-ce']
26 Ce verbe devrait être un participe passé au masculin singulier. [[56:60]] => Est ce que ce type a respecté les règles ? Non, il en a crée de nouvelles. <|> crée => suggestions : ['créé']

28 Mot inconnu : Hack [[0:4]] => Hack to live, programm or be programmed. <|> hack
28 Mot inconnu : to [[5:7]] => Hack to live, programm or be programmed. <|> to
28 Mot inconnu : programm [[14:22]] => Hack to live, programm or be programmed. <|> programm
28 Mot inconnu : programmed [[29:39]] => Hack to live, programm or be programmed. <|> programmed

30 Accord de genre erroné : « histoire » est féminin. [[5:7]] => =====Un histoire de système , de réseau, d'internet, et de cerveau===== <|> un => suggestions : ['Une']
30 Pas d’espace avant une virgule. [[27:29]] => =====Un histoire de système , de réseau, d'internet, et de cerveau===== <|>  , => suggestions : [',']

32 Accord de nombre erroné : « noms » est au pluriel. [[248:250]] => Il était une fois des savants après et pendant une guerre de folie, une guerre de folie avec pour cause une fausse crise économique, et des possédants et des économistes qui voulaient changer les sociétés et l'homme dans un idéal, une idéologie et au noms du "'progrès' et de la raison(économique)" : et du nationalisme et de la race. <|> au => suggestions : ['aux']
32 Accord de nombre erroné : « noms » devrait être au singulier. [[251:255]] => Il était une fois des savants après et pendant une guerre de folie, une guerre de folie avec pour cause une fausse crise économique, et des possédants et des économistes qui voulaient changer les sociétés et l'homme dans un idéal, une idéologie et au noms du "'progrès' et de la raison(économique)" : et du nationalisme et de la race. <|> noms => suggestions : ['nom']
32 Guillemets typographiques fermants. [[268:269]] => Il était une fois des savants après et pendant une guerre de folie, une guerre de folie avec pour cause une fausse crise économique, et des possédants et des économistes qui voulaient changer les sociétés et l'homme dans un idéal, une idéologie et au noms du "'progrès' et de la raison(économique)" : et du nationalisme et de la race. <|> ' => suggestions : ['”', '’', '›']
32 Il manque un espace avant la parenthèse. [[285:286]] => Il était une fois des savants après et pendant une guerre de folie, une guerre de folie avec pour cause une fausse crise économique, et des possédants et des économistes qui voulaient changer les sociétés et l'homme dans un idéal, une idéologie et au noms du "'progrès' et de la raison(économique)" : et du nationalisme et de la race. <|> ( => suggestions : [' (']

36 Accord de genre erroné : « la cybernétique » est féminin, « né » est masculin. [[44:46]] => De ses mouvements autour de la cybernétique né la pensée, la vision que le réseau est plus viable pour l'individu et sa liberté : et que c'est un moyen de s'assurer que le totalitarisme et sa folie de domination totale, ne revienne pas. <|> né => suggestions : ['née']

38 Pas d’espace après ce signe. [[18:20]] => Plus tard on tira ( de darpanet) l'internet. <|> (  => suggestions : ['(']
38 Mot inconnu : darpanet [[23:31]] => Plus tard on tira ( de darpanet) l'internet. <|> darpanet

40 Il manque un “s” à « quelque » ou « dizaines » doit être au singulier. [[0:7]] => Quelque dizaines d'années plus tard : après bien des booms, et des incompréhensions des générations suivantes ( et des dirigeants , comme par hasard ) qui n'ont finalement pas encore compris les prémisses de tout ceci : et qui s'aprètent à crée un nouveau totalitarisme, surement le dernier, car en fait le travail humain comme rouage de la machine n'est plus du tout nécessaire : et la plupart des individus ( encore "déconnecté", la génération autre qu'internet ) l'acceptent sans comprendre. <|> quelque => suggestions : ['Quelques']
40 Pas d’espace après ce signe. [[110:112]] => Quelque dizaines d'années plus tard : après bien des booms, et des incompréhensions des générations suivantes ( et des dirigeants , comme par hasard ) qui n'ont finalement pas encore compris les prémisses de tout ceci : et qui s'aprètent à crée un nouveau totalitarisme, surement le dernier, car en fait le travail humain comme rouage de la machine n'est plus du tout nécessaire : et la plupart des individus ( encore "déconnecté", la génération autre qu'internet ) l'acceptent sans comprendre. <|> (  => suggestions : ['(']
40 Pas d’espace avant une virgule. [[129:131]] => Quelque dizaines d'années plus tard : après bien des booms, et des incompréhensions des générations suivantes ( et des dirigeants , comme par hasard ) qui n'ont finalement pas encore compris les prémisses de tout ceci : et qui s'aprètent à crée un nouveau totalitarisme, surement le dernier, car en fait le travail humain comme rouage de la machine n'est plus du tout nécessaire : et la plupart des individus ( encore "déconnecté", la génération autre qu'internet ) l'acceptent sans comprendre. <|>  , => suggestions : [',']
40 Pas d’espace avant ce signe. [[148:150]] => Quelque dizaines d'années plus tard : après bien des booms, et des incompréhensions des générations suivantes ( et des dirigeants , comme par hasard ) qui n'ont finalement pas encore compris les prémisses de tout ceci : et qui s'aprètent à crée un nouveau totalitarisme, surement le dernier, car en fait le travail humain comme rouage de la machine n'est plus du tout nécessaire : et la plupart des individus ( encore "déconnecté", la génération autre qu'internet ) l'acceptent sans comprendre. <|>  ) => suggestions : [')']
40 Mot inconnu : aprètent [[229:237]] => Quelque dizaines d'années plus tard : après bien des booms, et des incompréhensions des générations suivantes ( et des dirigeants , comme par hasard ) qui n'ont finalement pas encore compris les prémisses de tout ceci : et qui s'aprètent à crée un nouveau totalitarisme, surement le dernier, car en fait le travail humain comme rouage de la machine n'est plus du tout nécessaire : et la plupart des individus ( encore "déconnecté", la génération autre qu'internet ) l'acceptent sans comprendre. <|> aprètent
40 Incohérence : “à” est une préposition. “crée” est un verbe conjugué. [[240:244]] => Quelque dizaines d'années plus tard : après bien des booms, et des incompréhensions des générations suivantes ( et des dirigeants , comme par hasard ) qui n'ont finalement pas encore compris les prémisses de tout ceci : et qui s'aprètent à crée un nouveau totalitarisme, surement le dernier, car en fait le travail humain comme rouage de la machine n'est plus du tout nécessaire : et la plupart des individus ( encore "déconnecté", la génération autre qu'internet ) l'acceptent sans comprendre. <|> crée => suggestions : []
40 Pas d’espace après ce signe. [[409:411]] => Quelque dizaines d'années plus tard : après bien des booms, et des incompréhensions des générations suivantes ( et des dirigeants , comme par hasard ) qui n'ont finalement pas encore compris les prémisses de tout ceci : et qui s'aprètent à crée un nouveau totalitarisme, surement le dernier, car en fait le travail humain comme rouage de la machine n'est plus du tout nécessaire : et la plupart des individus ( encore "déconnecté", la génération autre qu'internet ) l'acceptent sans comprendre. <|> (  => suggestions : ['(']
40 Guillemets typographiques ouvrants. [[418:419]] => Quelque dizaines d'années plus tard : après bien des booms, et des incompréhensions des générations suivantes ( et des dirigeants , comme par hasard ) qui n'ont finalement pas encore compris les prémisses de tout ceci : et qui s'aprètent à crée un nouveau totalitarisme, surement le dernier, car en fait le travail humain comme rouage de la machine n'est plus du tout nécessaire : et la plupart des individus ( encore "déconnecté", la génération autre qu'internet ) l'acceptent sans comprendre. <|> " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. [[429:430]] => Quelque dizaines d'années plus tard : après bien des booms, et des incompréhensions des générations suivantes ( et des dirigeants , comme par hasard ) qui n'ont finalement pas encore compris les prémisses de tout ceci : et qui s'aprètent à crée un nouveau totalitarisme, surement le dernier, car en fait le travail humain comme rouage de la machine n'est plus du tout nécessaire : et la plupart des individus ( encore "déconnecté", la génération autre qu'internet ) l'acceptent sans comprendre. <|> " => suggestions : ['\xa0»', '”']
40 Pas d’espace avant ce signe. [[463:465]] => Quelque dizaines d'années plus tard : après bien des booms, et des incompréhensions des générations suivantes ( et des dirigeants , comme par hasard ) qui n'ont finalement pas encore compris les prémisses de tout ceci : et qui s'aprètent à crée un nouveau totalitarisme, surement le dernier, car en fait le travail humain comme rouage de la machine n'est plus du tout nécessaire : et la plupart des individus ( encore "déconnecté", la génération autre qu'internet ) l'acceptent sans comprendre. <|>  ) => suggestions : [')']
42 Mot inconnu : you [[52:55]] => Bienvenu dans le monde réel, ou peut être virtuel : you are a black box in a block box (the society) in a black box, the physical reality which is just quantum information, an holographic quantum reality. <|> you
