1 Mot inconnu : Stylou [[7:13]] => ====== Stylou ====== <|> stylou

6 Incohérence avec “du” : “soutient” est un verbe. [[99:107]] => En fouinant sur le net, j'ai trouvé une forte communauté ici. Je savais que je pourrais trouver du soutient et surtout avoir une forte documentation avec cette distribution. Mon choix fut fait.\\  <|> soutient => suggestions : ['soutien']
6 Espace(s) en fin de ligne à supprimer. [[195:196]] => En fouinant sur le net, j'ai trouvé une forte communauté ici. Je savais que je pourrais trouver du soutient et surtout avoir une forte documentation avec cette distribution. Mon choix fut fait.\\  <|>   => suggestions : ['']

7 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A partir de là j'ai navigué entre Windows et diverse distribution Linux pendant quelques mois/années. Puis j'ai fini par abandonner définitivement Windows et mes enfants ont du découvrir ce système et s'y faire... ce qu'ils ont fait beaucoup plus rapidement que moi avec toutes mes années d'habitude à changer... <|> a => suggestions : ['À']
7 Participe passé de devoir : “dû”. [[174:176]] => A partir de là j'ai navigué entre Windows et diverse distribution Linux pendant quelques mois/années. Puis j'ai fini par abandonner définitivement Windows et mes enfants ont du découvrir ce système et s'y faire... ce qu'ils ont fait beaucoup plus rapidement que moi avec toutes mes années d'habitude à changer... <|> du => suggestions : ['dû']
7 Incohérence avec “du” : “découvrir” est un verbe. [[177:186]] => A partir de là j'ai navigué entre Windows et diverse distribution Linux pendant quelques mois/années. Puis j'ai fini par abandonner définitivement Windows et mes enfants ont du découvrir ce système et s'y faire... ce qu'ils ont fait beaucoup plus rapidement que moi avec toutes mes années d'habitude à changer... <|> découvrir => suggestions : ['découverts', 'découvertes', 'découvert', 'découverte']
7 Typographie : points de suspension. Utilisez le caractère dédié. [[210:213]] => A partir de là j'ai navigué entre Windows et diverse distribution Linux pendant quelques mois/années. Puis j'ai fini par abandonner définitivement Windows et mes enfants ont du découvrir ce système et s'y faire... ce qu'ils ont fait beaucoup plus rapidement que moi avec toutes mes années d'habitude à changer... <|> ... => suggestions : ['…']
7 Typographie : points de suspension. Utilisez le caractère dédié. [[309:312]] => A partir de là j'ai navigué entre Windows et diverse distribution Linux pendant quelques mois/années. Puis j'ai fini par abandonner définitivement Windows et mes enfants ont du découvrir ce système et s'y faire... ce qu'ils ont fait beaucoup plus rapidement que moi avec toutes mes années d'habitude à changer... <|> ... => suggestions : ['…']
12 Mot inconnu : OpenSuse [[112:120]] => Distribution testée : Debian et à peu près tous ses dérivés y compris toutes les variantes d'Ubuntu, mais aussi OpenSuse, (feu)Mandriva...  <|> opensuse
12 Il manque un espace après la parenthèse. [[126:127]] => Distribution testée : Debian et à peu près tous ses dérivés y compris toutes les variantes d'Ubuntu, mais aussi OpenSuse, (feu)Mandriva...  <|> ) => suggestions : [') ']
12 Typographie : points de suspension. Utilisez le caractère dédié. [[135:138]] => Distribution testée : Debian et à peu près tous ses dérivés y compris toutes les variantes d'Ubuntu, mais aussi OpenSuse, (feu)Mandriva...  <|> ... => suggestions : ['…']
12 Espace(s) en fin de ligne à supprimer. [[138:139]] => Distribution testée : Debian et à peu près tous ses dérivés y compris toutes les variantes d'Ubuntu, mais aussi OpenSuse, (feu)Mandriva...  <|>   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

15 Typographie : points de suspension. Utilisez le caractère dédié. [[99:102]] => Je ne suis pas un expert, plus novice non plus. Il y a tellement de chose à apprendre, à renouveler... J' apporte ma contribution à la documentation lorsque j'ai un peu de temps et que cela soit nécessaire sans pour autant pouvoir apporter de l'aide personnel. <|> ... => suggestions : ['…']
15 Apostrophe incorrecte. [[103:106]] => Je ne suis pas un expert, plus novice non plus. Il y a tellement de chose à apprendre, à renouveler... J' apporte ma contribution à la documentation lorsque j'ai un peu de temps et que cela soit nécessaire sans pour autant pouvoir apporter de l'aide personnel. <|> j'  => suggestions : ['J’']
15 Guillemets typographiques fermants. [[104:105]] => Je ne suis pas un expert, plus novice non plus. Il y a tellement de chose à apprendre, à renouveler... J' apporte ma contribution à la documentation lorsque j'ai un peu de temps et que cela soit nécessaire sans pour autant pouvoir apporter de l'aide personnel. <|> ' => suggestions : ['”', '’', '›']
