
5 Mot inconnu : WordPress => ====== Installer WordPress avec Docker ======= | wordpress

14 Mot inconnu : WordPress => ===== Utilisation d'une Image WordPress ===== | wordpress

16 Mot inconnu : WordPress => WordPress propose plusieurs images docker officielles : https://hub.docker.com/_/wordpress/ | wordpress

19 Mot inconnu : MySQL => Elles n'incluent pas MySQL, il faut donc utiliser une image supplémentaire comme serveur de bases de données. | mysql
24 Guillemets typographiques ouvrants. => version: '3' | ' => suggestions : ['“', '‘', '‹']
24 Guillemets typographiques fermants. => version: '3' | ' => suggestions : ['”', '’', '›']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wordpress: |    => suggestions : ['']
28 Mot inconnu : wordpress =>   wordpress: | wordpress

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     image: wordpress:latest |      => suggestions : ['']
29 Mot inconnu : wordpress =>     image: wordpress:latest | wordpress
29 Il manque un espace. =>     image: wordpress:latest | latest => suggestions : [' latest']
29 Mot inconnu : latest =>     image: wordpress:latest | latest

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ports: |      => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - 8080:80 |        => suggestions : ['']
31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>       - 8080:80 |  -  => suggestions : [' – ', ' — ', ' − ', ' −']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     environment: |      => suggestions : ['']
32 Mot inconnu : environment =>     environment: | environment

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       WORDPRESS_DB_HOST: db |        => suggestions : ['']
33 Mot inconnu : WORDPRESS_DB_HOST =>       WORDPRESS_DB_HOST: db | wordpress_db_host
33 Mot inconnu : db =>       WORDPRESS_DB_HOST: db | db

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       WORDPRESS_DB_USER: exampleuser |        => suggestions : ['']
34 Mot inconnu : WORDPRESS_DB_USER =>       WORDPRESS_DB_USER: exampleuser | wordpress_db_user
34 Mot inconnu : exampleuser =>       WORDPRESS_DB_USER: exampleuser | exampleuser

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       WORDPRESS_DB_PASSWORD: examplepass |        => suggestions : ['']
35 Mot inconnu : WORDPRESS_DB_PASSWORD =>       WORDPRESS_DB_PASSWORD: examplepass | wordpress_db_password
35 Mot inconnu : examplepass =>       WORDPRESS_DB_PASSWORD: examplepass | examplepass

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       WORDPRESS_DB_NAME: exampledb |        => suggestions : ['']
36 Mot inconnu : WORDPRESS_DB_NAME =>       WORDPRESS_DB_NAME: exampledb | wordpress_db_name
36 Mot inconnu : exampledb =>       WORDPRESS_DB_NAME: exampledb | exampledb

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     restart: unless-stopped |      => suggestions : ['']
37 Mot inconnu : restart =>     restart: unless-stopped | restart
37 Mot inconnu : unless-stopped =>     restart: unless-stopped | unless-stopped

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   db: |    => suggestions : ['']
39 Mot inconnu : db =>   db: | db

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     image: mysql:5.7 |      => suggestions : ['']
40 Mot inconnu : mysql =>     image: mysql:5.7 | mysql
40 Il manque un espace. =>     image: mysql:5.7 | 5 => suggestions : [' 5']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     environment: |      => suggestions : ['']
41 Mot inconnu : environment =>     environment: | environment

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       MYSQL_DATABASE: exampledb |        => suggestions : ['']
