
2 Mot inconnu : Grub2 [[17:22]] => ====== Sécuriser Grub2 de manière avancée ====== <|> grub2
4 Espace(s) en fin de ligne à supprimer. [[183:184]] => Ce tutoriel s'adresse à des utilisateurs confirmés en utilisation de la ligne de commande et en dépannage de démarrage. Sinon, vous allez droit vers la réinstallation pure et simple !  <|>   => suggestions : ['']
8 Accord de nombre erroné avec « mot » : « bios » devrait être au singulier. [[162:166]] => Il faut savoir que votre ordinateur ne sera pas forcément protégé à 100% (puisqu'il reste la possibilité de démarrer sur une clé live), mais avec un mot de passe bios et le chiffrement des données sensibles, il y a de quoi retenir (ou dégoûter) un potentiel attaquant. <|> bios => suggestions : ['bio']

12 Mot inconnu : grub [[156:160]] => <note warning>Les manipulations qui suivent peuvent vous faire complétement perdre l'accès à votre système. Aussi, pensez à faire une sauvegarde du fichier grub.cfg grâce à cette ligne: <|> grub
12 Mot inconnu : cfg [[161:164]] => <note warning>Les manipulations qui suivent peuvent vous faire complétement perdre l'accès à votre système. Aussi, pensez à faire une sauvegarde du fichier grub.cfg grâce à cette ligne: <|> cfg

16 Mot inconnu : grub [[25:29]] => La sauvegarde du fichier grub.cfg sera suffixé par la date de la sauvegarde, ce qui permettra de le retrouver plus facilement en cas de multiples sauvegardes. <|> grub
16 Mot inconnu : cfg [[30:33]] => La sauvegarde du fichier grub.cfg sera suffixé par la date de la sauvegarde, ce qui permettra de le retrouver plus facilement en cas de multiples sauvegardes. <|> cfg

24 Mot inconnu : mnt [[45:48]] => si la racine de votre système est montée sur mnt.  <|> mnt
24 Espace(s) en fin de ligne à supprimer. [[49:50]] => si la racine de votre système est montée sur mnt.  <|>   => suggestions : ['']

27 Mot inconnu : grub [[53:57]] => Il est également possible de modifier directement le grub.cfg pour pouvoir rebooter (mais il faut savoir ce qu'on fait). <|> grub
27 Mot inconnu : cfg [[58:61]] => Il est également possible de modifier directement le grub.cfg pour pouvoir rebooter (mais il faut savoir ce qu'on fait). <|> cfg
27 Mot inconnu : rebooter [[75:83]] => Il est également possible de modifier directement le grub.cfg pour pouvoir rebooter (mais il faut savoir ce qu'on fait). <|> rebooter

36 Mot inconnu : _security_header [[60:76]] => Normalement à ce stade vous devriez posséder un fichier **00_security_header** ressemblant à celui ci: <|> _security_header
36 Il manque un trait d’union. [[93:101]] => Normalement à ce stade vous devriez posséder un fichier **00_security_header** ressemblant à celui ci: <|> celui ci => suggestions : ['celui-ci']

49 Mot inconnu : superusers [[133:143]] => Le mot de passe n'est pas identique, mais c'est normal. Ce qui compte, c'est que le script fasse son travail. En particulier, que le superusers toto soit créé et fonctionne.  <|> superusers
49 Espace(s) en fin de ligne à supprimer. [[173:174]] => Le mot de passe n'est pas identique, mais c'est normal. Ce qui compte, c'est que le script fasse son travail. En particulier, que le superusers toto soit créé et fonctionne.  <|>   => suggestions : ['']

51 Mot inconnu : _security_header [[27:43]] => ===== Modifier le script 00_security_header ===== <|> _security_header

53 Guillemets typographiques ouvrants. [[40:41]] => Nous allons maintenant effacer la ligne "EOF" rajouter au script les lignes suivantes: <|> " => suggestions : ['«\xa0', '“']
53 Mot inconnu : EOF [[41:44]] => Nous allons maintenant effacer la ligne "EOF" rajouter au script les lignes suivantes: <|> eof
53 Guillemets typographiques fermants. [[44:45]] => Nous allons maintenant effacer la ligne "EOF" rajouter au script les lignes suivantes: <|> " => suggestions : ['\xa0»', '”']

63 Mot inconnu : Grub [[284:288]] => Nous utilisons une variable pour déterminer les utilisateurs autorisés à faire quelque chose (nous définirons le quelque chose plus tard) Les commandes **export** permettent de changer la portée des variables afin qu'elles soient valables dans les autres fichiers de configuration de Grub.  <|> grub
63 Espace(s) en fin de ligne à supprimer. [[289:290]] => Nous utilisons une variable pour déterminer les utilisateurs autorisés à faire quelque chose (nous définirons le quelque chose plus tard) Les commandes **export** permettent de changer la portée des variables afin qu'elles soient valables dans les autres fichiers de configuration de Grub.  <|>   => suggestions : ['']

65 Mot inconnu : _security_header [[38:54]] => Voilà maintenant à quoi ressemble **00_security_header** <|> _security_header

82 Mot inconnu : _linux [[27:33]] => ===== Modifier le script 10_linux ===== <|> _linux

86 Mot inconnu : Grub [[32:36]] => Pour restreindre les parties de Grub que nous voulons, il va falloir "verrouiller" les entrées au niveau du script **10_linux** qui les génèrent. <|> grub
86 Guillemets typographiques ouvrants. [[69:70]] => Pour restreindre les parties de Grub que nous voulons, il va falloir "verrouiller" les entrées au niveau du script **10_linux** qui les génèrent. <|> " => suggestions : ['«\xa0', '“']
86 Guillemets typographiques fermants. [[81:82]] => Pour restreindre les parties de Grub que nous voulons, il va falloir "verrouiller" les entrées au niveau du script **10_linux** qui les génèrent. <|> " => suggestions : ['\xa0»', '”']
86 Mot inconnu : _linux [[119:125]] => Pour restreindre les parties de Grub que nous voulons, il va falloir "verrouiller" les entrées au niveau du script **10_linux** qui les génèrent. <|> _linux

94 Accord de nombre erroné : « sous » est au pluriel. [[62:64]] => C'est la ligne qui définit toutes les entrées des noyaux dans le sous menu "Options avancées".  <|> le => suggestions : ['les']
94 Accord de nombre erroné : « sous » devrait être au singulier. [[65:69]] => C'est la ligne qui définit toutes les entrées des noyaux dans le sous menu "Options avancées".  <|> sous => suggestions : ['sou']
94 Guillemets typographiques ouvrants. [[75:76]] => C'est la ligne qui définit toutes les entrées des noyaux dans le sous menu "Options avancées".  <|> " => suggestions : ['«\xa0', '“']
94 Guillemets typographiques fermants. [[92:93]] => C'est la ligne qui définit toutes les entrées des noyaux dans le sous menu "Options avancées".  <|> " => suggestions : ['\xa0»', '”']
94 Espace(s) en fin de ligne à supprimer. [[94:95]] => C'est la ligne qui définit toutes les entrées des noyaux dans le sous menu "Options avancées".  <|>   => suggestions : ['']
106 Guillemets typographiques ouvrants. [[133:134]] =>   * Redémarrez votre ordinateur afin de vous assurer de la prise en compte correcte des options. Normalement, en allant dans le menu "Options Avancées", il est désormais impossible de démarrer un noyau sans entrer le mot de passe renseigné dans 00_security_header. Néanmoins, depuis le menu principal, il est possible de démarrer le dernier noyau. <|> " => suggestions : ['«\xa0', '“']
106 Guillemets typographiques fermants. [[150:151]] =>   * Redémarrez votre ordinateur afin de vous assurer de la prise en compte correcte des options. Normalement, en allant dans le menu "Options Avancées", il est désormais impossible de démarrer un noyau sans entrer le mot de passe renseigné dans 00_security_header. Néanmoins, depuis le menu principal, il est possible de démarrer le dernier noyau. <|> " => suggestions : ['\xa0»', '”']
106 Mot inconnu : _security_header [[247:263]] =>   * Redémarrez votre ordinateur afin de vous assurer de la prise en compte correcte des options. Normalement, en allant dans le menu "Options Avancées", il est désormais impossible de démarrer un noyau sans entrer le mot de passe renseigné dans 00_security_header. Néanmoins, depuis le menu principal, il est possible de démarrer le dernier noyau. <|> _security_header

108 Guillemets typographiques ouvrants. [[34:35]] => <note warning>Pour sortir du menu "Options Avancées" sans avoir entré le mot de passe auparavant, il faut saisir le mot de passe!</note> <|> " => suggestions : ['«\xa0', '“']
108 Guillemets typographiques fermants. [[51:52]] => <note warning>Pour sortir du menu "Options Avancées" sans avoir entré le mot de passe auparavant, il faut saisir le mot de passe!</note> <|> " => suggestions : ['\xa0»', '”']

110 Mot inconnu : dual-boot [[16:25]] => ===== En cas de dual-boot avec un autre Système type Debian ===== <|> dual-boot

112 Mot inconnu : dual-boot [[16:25]] => Si vous êtes en dual-boot avec un autre système fonctionnant de la même manière (avec un sous menu "Options Avancées"), les manipulations ci haut sont à faire sur le grub maître (celui qui se lance).  <|> dual-boot
112 Guillemets typographiques ouvrants. [[99:100]] => Si vous êtes en dual-boot avec un autre système fonctionnant de la même manière (avec un sous menu "Options Avancées"), les manipulations ci haut sont à faire sur le grub maître (celui qui se lance).  <|> " => suggestions : ['«\xa0', '“']
112 Guillemets typographiques fermants. [[116:117]] => Si vous êtes en dual-boot avec un autre système fonctionnant de la même manière (avec un sous menu "Options Avancées"), les manipulations ci haut sont à faire sur le grub maître (celui qui se lance).  <|> " => suggestions : ['\xa0»', '”']
112 Mot inconnu : grub [[166:170]] => Si vous êtes en dual-boot avec un autre système fonctionnant de la même manière (avec un sous menu "Options Avancées"), les manipulations ci haut sont à faire sur le grub maître (celui qui se lance).  <|> grub
112 Espace(s) en fin de ligne à supprimer. [[199:200]] => Si vous êtes en dual-boot avec un autre système fonctionnant de la même manière (avec un sous menu "Options Avancées"), les manipulations ci haut sont à faire sur le grub maître (celui qui se lance).  <|>   => suggestions : ['']

114 Mot inconnu : _os-prober [[98:108]] => De plus, de manière personnelle, pour limiter les entrées répétitives, je désactive le script **30_os-prober** pour tout les grub non maître:  <|> _os-prober
114 Mot inconnu : grub [[125:129]] => De plus, de manière personnelle, pour limiter les entrées répétitives, je désactive le script **30_os-prober** pour tout les grub non maître:  <|> grub
114 Espace(s) en fin de ligne à supprimer. [[141:142]] => De plus, de manière personnelle, pour limiter les entrées répétitives, je désactive le script **30_os-prober** pour tout les grub non maître:  <|>   => suggestions : ['']

118 Guillemets typographiques ouvrants. [[88:89]] => Sinon, le problème est bien pire. Les entrées de l'OS maître se retrouvent dans le menu "Options avancées" des autres OS, et cela détruit tout nos efforts précédents. <|> " => suggestions : ['«\xa0', '“']
118 Guillemets typographiques fermants. [[105:106]] => Sinon, le problème est bien pire. Les entrées de l'OS maître se retrouvent dans le menu "Options avancées" des autres OS, et cela détruit tout nos efforts précédents. <|> " => suggestions : ['\xa0»', '”']
118 Erreur d’accord probable avec « nos ». [[138:142]] => Sinon, le problème est bien pire. Les entrées de l'OS maître se retrouvent dans le menu "Options avancées" des autres OS, et cela détruit tout nos efforts précédents. <|> tout => suggestions : ['tous']

120 Guillemets typographiques ouvrants. [[29:30]] => Il reste à sécuriser le menu "Options Avancées" de l'autre OS (pour ses propres noyaux). Il faut le faire depuis le grub maître. <|> " => suggestions : ['«\xa0', '“']
120 Guillemets typographiques fermants. [[46:47]] => Il reste à sécuriser le menu "Options Avancées" de l'autre OS (pour ses propres noyaux). Il faut le faire depuis le grub maître. <|> " => suggestions : ['\xa0»', '”']
120 Mot inconnu : grub [[116:120]] => Il reste à sécuriser le menu "Options Avancées" de l'autre OS (pour ses propres noyaux). Il faut le faire depuis le grub maître. <|> grub

122 Mot inconnu : _os-prober [[23:33]] => ==== Modification de 30_os-prober ==== <|> _os-prober

124 Mot inconnu : _os-prober [[15:25]] => Le fichier **30_os-prober** génère le menu grub pour les autres systèmes détectés par os-prober. Il suffit de trouver la ligne concernant le menu "Options Avancées" et de faire la même manipulation que dans la partie précédente.  <|> _os-prober
124 Mot inconnu : grub [[43:47]] => Le fichier **30_os-prober** génère le menu grub pour les autres systèmes détectés par os-prober. Il suffit de trouver la ligne concernant le menu "Options Avancées" et de faire la même manipulation que dans la partie précédente.  <|> grub
124 Guillemets typographiques ouvrants. [[146:147]] => Le fichier **30_os-prober** génère le menu grub pour les autres systèmes détectés par os-prober. Il suffit de trouver la ligne concernant le menu "Options Avancées" et de faire la même manipulation que dans la partie précédente.  <|> " => suggestions : ['«\xa0', '“']
124 Guillemets typographiques fermants. [[163:164]] => Le fichier **30_os-prober** génère le menu grub pour les autres systèmes détectés par os-prober. Il suffit de trouver la ligne concernant le menu "Options Avancées" et de faire la même manipulation que dans la partie précédente.  <|> " => suggestions : ['\xa0»', '”']
124 Espace(s) en fin de ligne à supprimer. [[228:229]] => Le fichier **30_os-prober** génère le menu grub pour les autres systèmes détectés par os-prober. Il suffit de trouver la ligne concernant le menu "Options Avancées" et de faire la même manipulation que dans la partie précédente.  <|>   => suggestions : ['']
130 Mot inconnu : menuentry_id_option [[26:45]] =>   * Il faut remplacer **\$menuentry_id_option** par **\$restricted**, ce qui donne: <|> menuentry_id_option
130 Mot inconnu : restricted [[56:66]] =>   * Il faut remplacer **\$menuentry_id_option** par **\$restricted**, ce qui donne: <|> restricted
138 Guillemets typographiques ouvrants. [[66:67]] =>   * Redémarrer pour vérifier. Cette fois, dès l'appui sur le menu "Options Avancées" de l'autre OS, le mot de passe est demandé. <|> " => suggestions : ['«\xa0', '“']
138 Guillemets typographiques fermants. [[83:84]] =>   * Redémarrer pour vérifier. Cette fois, dès l'appui sur le menu "Options Avancées" de l'autre OS, le mot de passe est demandé. <|> " => suggestions : ['\xa0»', '”']

142 Mot inconnu : grub [[28:32]] => Vous avez désormais un menu grub somme toute assez robuste, ce qui n'empêche pas des précautions élémentaires (ne pas laisser son ordinateur portable sans surveillance par exemple). <|> grub
