2 Mot inconnu : Syrion => ====== Syrion ======

4 Mot inconnu : feisty => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\
4 Guillemets typographiques ouvrants. => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\
4 Mot inconnu : The => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\
4 Mot inconnu : Feisty => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\
4 Mot inconnu : Fawn => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\
4 Guillemets typographiques fermants. => Utilisateur d'Ubuntu depuis [[:feisty|Ubuntu 7.04 ("The Feisty Fawn")]].\\

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ubuntu 20.04.2 server sur eeepc 1215P
7 Mot inconnu : server =>   * Ubuntu 20.04.2 server sur eeepc 1215P
7 Mot inconnu : eeepc =>   * Ubuntu 20.04.2 server sur eeepc 1215P

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB
8 Il manque un espace insécable. =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB
8 Mot inconnu : i5-3570 =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB
8 Mot inconnu : DDR4 =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB
8 Mot inconnu : NVidia =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB
8 Mot inconnu : GT650Ti =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB
8 Mot inconnu : G24 =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB
8 Mot inconnu : Logitech =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB
8 Mot inconnu : G510 =>   * Ubuntu 20.04.2 sur une tour : Intel i5-3570@3.4GHz, 16Go DDR4, NVidia GT650Ti + Acer G24, Hercule Muse 5.1 DVD, Logitech G510, Corsair Scilitar Pro RGB
