2 Mot inconnu : Dony => ====== Benoit Dony ======

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Enseignant

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Utilisateur d'Ubuntu depuis la 6.06 sur un Compaq Deskpro EN (PIII 1 Ghz) : très satisfait
5 Mot inconnu : Compaq =>   * Utilisateur d'Ubuntu depuis la 6.06 sur un Compaq Deskpro EN (PIII 1 Ghz) : très satisfait
5 Mot inconnu : Deskpro =>   * Utilisateur d'Ubuntu depuis la 6.06 sur un Compaq Deskpro EN (PIII 1 Ghz) : très satisfait
5 Mot inconnu : PIII =>   * Utilisateur d'Ubuntu depuis la 6.06 sur un Compaq Deskpro EN (PIII 1 Ghz) : très satisfait
5 Mot inconnu : Ghz =>   * Utilisateur d'Ubuntu depuis la 6.06 sur un Compaq Deskpro EN (PIII 1 Ghz) : très satisfait
5 Il manque un espace insécable. =>   * Utilisateur d'Ubuntu depuis la 6.06 sur un Compaq Deskpro EN (PIII 1 Ghz) : très satisfait

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Je viens d'acheter un EeePC 1000H : j'ai utilisé la 8.04.1 (avec les modifications disponibles sur cette page [[http://doc.ubuntu-fr.org/asus_eee_pc_1000h]]) mais le wifi ne fonctionnait pas ; j'utillise depuis peu la 8.10 et tout fonctionne convenablement.
6 Mot inconnu : EeePC =>   * Je viens d'acheter un EeePC 1000H : j'ai utilisé la 8.04.1 (avec les modifications disponibles sur cette page [[http://doc.ubuntu-fr.org/asus_eee_pc_1000h]]) mais le wifi ne fonctionnait pas ; j'utillise depuis peu la 8.10 et tout fonctionne convenablement.
6 Il manque un espace insécable. =>   * Je viens d'acheter un EeePC 1000H : j'ai utilisé la 8.04.1 (avec les modifications disponibles sur cette page [[http://doc.ubuntu-fr.org/asus_eee_pc_1000h]]) mais le wifi ne fonctionnait pas ; j'utillise depuis peu la 8.10 et tout fonctionne convenablement.
6 Il manque un espace insécable. =>   * Je viens d'acheter un EeePC 1000H : j'ai utilisé la 8.04.1 (avec les modifications disponibles sur cette page [[http://doc.ubuntu-fr.org/asus_eee_pc_1000h]]) mais le wifi ne fonctionnait pas ; j'utillise depuis peu la 8.10 et tout fonctionne convenablement.
6 Mot inconnu : utillise =>   * Je viens d'acheter un EeePC 1000H : j'ai utilisé la 8.04.1 (avec les modifications disponibles sur cette page [[http://doc.ubuntu-fr.org/asus_eee_pc_1000h]]) mais le wifi ne fonctionnait pas ; j'utillise depuis peu la 8.10 et tout fonctionne convenablement.

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Je viens de passer à la bêta de Karmic car Jaunty n'était pas très satisfaisant : tout fonctionne bien...
7 Accord de genre erroné : « bêta » est masculin. =>   * Je viens de passer à la bêta de Karmic car Jaunty n'était pas très satisfaisant : tout fonctionne bien...
7 Mot inconnu : Karmic =>   * Je viens de passer à la bêta de Karmic car Jaunty n'était pas très satisfaisant : tout fonctionne bien...
7 Mot inconnu : Jaunty =>   * Je viens de passer à la bêta de Karmic car Jaunty n'était pas très satisfaisant : tout fonctionne bien...
7 Il manque un espace insécable. =>   * Je viens de passer à la bêta de Karmic car Jaunty n'était pas très satisfaisant : tout fonctionne bien...
7 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Je viens de passer à la bêta de Karmic car Jaunty n'était pas très satisfaisant : tout fonctionne bien...

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mon EeePC fonctionne à merveille sous Lucid.
8 Mot inconnu : EeePC =>   * Mon EeePC fonctionne à merveille sous Lucid.
8 Mot inconnu : Lucid =>   * Mon EeePC fonctionne à merveille sous Lucid.

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : I3 =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : DH67CF =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : GB =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : X25-V =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : GB =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : WD =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : Scorpio =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : GB =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : Antec =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : ISK-100 =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : Natty =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Mot inconnu : AMD64 =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
9 Il manque un espace insécable. =>   * J'ai un nouveau mini pc de bureau (I3 2100T, Intel DH67CF, 4GB RAM, Intel X25-V 40 GB, WD Scorpio Black 500 GB et Antec ISK-100) sous Natty (AMD64) : ça tourne (vite) mais quelques instabilités (c'est mieux depuis la mise à jour du BIOS)
