3 Mot inconnu : modele => <note warning>Merci de suivre le [[:utilisateurs/modele|modele]]</note>
3 Mot inconnu : modele => <note warning>Merci de suivre le [[:utilisateurs/modele|modele]]</note>

4 Mot inconnu : linux => Je suis un utilisateur récent de linux, même si la première distribution que j'aie testée fût la Manhattan, fin 98.

5 Mot inconnu : distrib => Ubuntu est la première distrib qui ait remplacée Win, du moins sur mon portable, le PC restant en dual boot dans la mesure où les simulations de vol de combat (IL-2 en l'occurence) ne peuvent pas encore se vautrer chez les manchots.
5 Le participe passé devrait être au masculin singulier. => Ubuntu est la première distrib qui ait remplacée Win, du moins sur mon portable, le PC restant en dual boot dans la mesure où les simulations de vol de combat (IL-2 en l'occurence) ne peuvent pas encore se vautrer chez les manchots.
5 Mot inconnu : Win => Ubuntu est la première distrib qui ait remplacée Win, du moins sur mon portable, le PC restant en dual boot dans la mesure où les simulations de vol de combat (IL-2 en l'occurence) ne peuvent pas encore se vautrer chez les manchots.
5 Mot inconnu : boot => Ubuntu est la première distrib qui ait remplacée Win, du moins sur mon portable, le PC restant en dual boot dans la mesure où les simulations de vol de combat (IL-2 en l'occurence) ne peuvent pas encore se vautrer chez les manchots.
5 Mot inconnu : occurence => Ubuntu est la première distrib qui ait remplacée Win, du moins sur mon portable, le PC restant en dual boot dans la mesure où les simulations de vol de combat (IL-2 en l'occurence) ne peuvent pas encore se vautrer chez les manchots.

7 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Après avoir un peu galéré avec le tutoriel Bluetooth-Nokia, puis l'avoir modifié en conséquence, je m'inscrit donc.

9 Il manque un espace insécable. => Un mail valide pour me joindre : yann avec un point, puis cornet, et mon fournisseur c'est free.
9 Mot inconnu : yann => Un mail valide pour me joindre : yann avec un point, puis cornet, et mon fournisseur c'est free.
9 Mot inconnu : free => Un mail valide pour me joindre : yann avec un point, puis cornet, et mon fournisseur c'est free.
