3 Mot inconnu : Farhill => ====== Farhill ======

4 Mot inconnu : FARHI => |Nom|FARHI|

6 Mot inconnu : Cras => |Lieu|Cras, 38210 (Grenoble)|
6 Formatage des grands nombres. => |Lieu|Cras, 38210 (Grenoble)|

7 Mot inconnu : Ubunteros => |Ubunteros depuis combien de temps|2006|

8 Il manque un espace avant la parenthèse. => |Distribution testée|6.06, **8.04, 9.04**, 9.10(//plutot instable//), **10.04**, 11.04, **12.04**, **14.04** |
8 Mot inconnu : plutot => |Distribution testée|6.06, **8.04, 9.04**, 9.10(//plutot instable//), **10.04**, 11.04, **12.04**, **14.04** |

11 Mot inconnu : distro => Tout simplement le coup de foudre. Ce que l'on fait de mieux en distro Linux.

16 Mot inconnu : MPI => Programmation (C, MPI, Perl, Python, Matlab, ...)
16 Mot inconnu : Matlab => Programmation (C, MPI, Perl, Python, Matlab, ...)
16 Une de ces ponctuations est superflue. => Programmation (C, MPI, Perl, Python, Matlab, ...)
16 Typographie : points de suspension. Utilisez le caractère dédié. => Programmation (C, MPI, Perl, Python, Matlab, ...)

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:macpro|Apple MacPro]]: vraiment une belle machine, 12 Gflops, 8 coeurs Xeon
21 Mot inconnu : macpro =>   * [[:macpro|Apple MacPro]]: vraiment une belle machine, 12 Gflops, 8 coeurs Xeon
21 Mot inconnu : MacPro =>   * [[:macpro|Apple MacPro]]: vraiment une belle machine, 12 Gflops, 8 coeurs Xeon
21 Mot inconnu : Gflops =>   * [[:macpro|Apple MacPro]]: vraiment une belle machine, 12 Gflops, 8 coeurs Xeon
21 Mot inconnu : coeurs =>   * [[:macpro|Apple MacPro]]: vraiment une belle machine, 12 Gflops, 8 coeurs Xeon
21 Mot inconnu : Xeon =>   * [[:macpro|Apple MacPro]]: vraiment une belle machine, 12 Gflops, 8 coeurs Xeon

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[:macbook_pro_11.1|Apple MacBook Pro 2013]]: un excellent portable 13", 4.5-5.3 Gflops, 2/4 coeurs, 1.5 kg
22 Mot inconnu : macbook_pro_11 =>   * [[:macbook_pro_11.1|Apple MacBook Pro 2013]]: un excellent portable 13", 4.5-5.3 Gflops, 2/4 coeurs, 1.5 kg
22 Mot inconnu : MacBook =>   * [[:macbook_pro_11.1|Apple MacBook Pro 2013]]: un excellent portable 13", 4.5-5.3 Gflops, 2/4 coeurs, 1.5 kg
22 Guillemets typographiques fermants. =>   * [[:macbook_pro_11.1|Apple MacBook Pro 2013]]: un excellent portable 13", 4.5-5.3 Gflops, 2/4 coeurs, 1.5 kg
22 Mot inconnu : Gflops =>   * [[:macbook_pro_11.1|Apple MacBook Pro 2013]]: un excellent portable 13", 4.5-5.3 Gflops, 2/4 coeurs, 1.5 kg
22 Mot inconnu : coeurs =>   * [[:macbook_pro_11.1|Apple MacBook Pro 2013]]: un excellent portable 13", 4.5-5.3 Gflops, 2/4 coeurs, 1.5 kg

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sony VAIO VGN-Z31 : un magnifique portable 13" mais assez fragile, 1.3 Gflops, 1.5 kg, autonomie 6h30 (bicore 2.7 GHz)
23 Mot inconnu : VAIO =>   * Sony VAIO VGN-Z31 : un magnifique portable 13" mais assez fragile, 1.3 Gflops, 1.5 kg, autonomie 6h30 (bicore 2.7 GHz)
23 Mot inconnu : VGN-Z31 =>   * Sony VAIO VGN-Z31 : un magnifique portable 13" mais assez fragile, 1.3 Gflops, 1.5 kg, autonomie 6h30 (bicore 2.7 GHz)
