4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Prénom :** Benjamin

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Age :** 29 ans
5 Avec une unité de mesure, mettez un espace insécable. =>   * **Age :** 29 ans

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Localité :** Saint-Maur-des-Fosses (limite de Paris), FRANCE
6 Mot inconnu : Saint-Maur-des-Fosses =>   * **Localité :** Saint-Maur-des-Fosses (limite de Paris), FRANCE

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Contact :** Irc ou Forum
7 Mot inconnu : Irc =>   * **Contact :** Irc ou Forum

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Emploi :** Administrateur Systèmes et Réseaux

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !
9 Mot inconnu : Hoary =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !
9 Pas de majuscule sur les mois. =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !
9 Il manque un espace insécable. =>   * **Première version d'Ubuntu :** la Hoary (en Avril 2005) !

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz
10 Mot inconnu : Launchpad =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz
10 Mot inconnu : benj =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz
10 Mot inconnu : saiz =>   * **Profil Launchpad :** https://launchpad.net/~benj.saiz

14 Si cet adjectif se réfère au pronom « elle », l’adjectif devrait être au féminin singulier. => Utilisateur d'Ubuntu depuis 2005 ans maintenant elle aura été ma première distribution Linux
14 Avec une unité de mesure, mettez un espace insécable. => Utilisateur d'Ubuntu depuis 2005 ans maintenant elle aura été ma première distribution Linux

15 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => et je lui reste fidèle. Je l'utilise aussi bien chez moi que professionnellement. \\

16 Incohérence probable avec “ai” : “passer” n’est pas un participe passé. => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Mot inconnu : distro => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Il manque un espace insécable. => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Mot inconnu : Gentoo => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\
16 Mot inconnu : CentOS => J'ai passer plus ou moins de temps sur d'autre distro pour des besoins personnels et/ou professionnels : Debian, FreeBSD, Gentoo, CentOS \\

17 Mot inconnu : MediaCenter => Chez moi je compte 5 machines sous Ubuntu comprenant mon PC personnel, mon Portable, mes 2 MediaCenter, mon Serveur.

19 Espace(s) surnuméraire(s) à supprimer. => ^  ^ Nom de code  ^  Numéro de version  ^
19 Espace(s) surnuméraire(s) à supprimer. => ^  ^ Nom de code  ^  Numéro de version  ^

20 Mot inconnu : hoary => | **Distributions Ubuntu testées** | [[:hoary|Ubuntu 5.04]] | The Hoary Hedgehog (le hérisson vénérable) |
20 Mot inconnu : The => | **Distributions Ubuntu testées** | [[:hoary|Ubuntu 5.04]] | The Hoary Hedgehog (le hérisson vénérable) |
20 Mot inconnu : Hoary => | **Distributions Ubuntu testées** | [[:hoary|Ubuntu 5.04]] | The Hoary Hedgehog (le hérisson vénérable) |
20 Mot inconnu : Hedgehog => | **Distributions Ubuntu testées** | [[:hoary|Ubuntu 5.04]] | The Hoary Hedgehog (le hérisson vénérable) |

21 Une de ces ponctuations est superflue. => | ::: | [[:breezy|Ubuntu 5.10]] | The Breezy Badger (le blaireau jovial) |
21 Mot inconnu : breezy => | ::: | [[:breezy|Ubuntu 5.10]] | The Breezy Badger (le blaireau jovial) |
21 Mot inconnu : The => | ::: | [[:breezy|Ubuntu 5.10]] | The Breezy Badger (le blaireau jovial) |
21 Mot inconnu : Breezy => | ::: | [[:breezy|Ubuntu 5.10]] | The Breezy Badger (le blaireau jovial) |

22 Une de ces ponctuations est superflue. => | ::: | **[[:dapper|* Ubuntu 6.06 LTS]]** | **The Dapper Drake (le canard pimpant)** |
22 Mot inconnu : dapper => | ::: | **[[:dapper|* Ubuntu 6.06 LTS]]** | **The Dapper Drake (le canard pimpant)** |
22 Mot inconnu : LTS => | ::: | **[[:dapper|* Ubuntu 6.06 LTS]]** | **The Dapper Drake (le canard pimpant)** |
22 Mot inconnu : The => | ::: | **[[:dapper|* Ubuntu 6.06 LTS]]** | **The Dapper Drake (le canard pimpant)** |
22 Mot inconnu : Dapper => | ::: | **[[:dapper|* Ubuntu 6.06 LTS]]** | **The Dapper Drake (le canard pimpant)** |

23 Une de ces ponctuations est superflue. => | ::: | [[:edgy|Ubuntu 6.10]] | The Edgy Eft (la salamandre énervée) |
23 Mot inconnu : edgy => | ::: | [[:edgy|Ubuntu 6.10]] | The Edgy Eft (la salamandre énervée) |
23 Mot inconnu : The => | ::: | [[:edgy|Ubuntu 6.10]] | The Edgy Eft (la salamandre énervée) |
23 Mot inconnu : Edgy => | ::: | [[:edgy|Ubuntu 6.10]] | The Edgy Eft (la salamandre énervée) |
23 Mot inconnu : Eft => | ::: | [[:edgy|Ubuntu 6.10]] | The Edgy Eft (la salamandre énervée) |

24 Une de ces ponctuations est superflue. => | ::: | [[:feisty|Ubuntu 7.04]] | The Feisty Fawn (le faon courageux) |
24 Mot inconnu : feisty => | ::: | [[:feisty|Ubuntu 7.04]] | The Feisty Fawn (le faon courageux) |
24 Mot inconnu : The => | ::: | [[:feisty|Ubuntu 7.04]] | The Feisty Fawn (le faon courageux) |
24 Mot inconnu : Feisty => | ::: | [[:feisty|Ubuntu 7.04]] | The Feisty Fawn (le faon courageux) |
24 Mot inconnu : Fawn => | ::: | [[:feisty|Ubuntu 7.04]] | The Feisty Fawn (le faon courageux) |

25 Une de ces ponctuations est superflue. => | ::: | [[:gutsy|Ubuntu 7.10]] | The Gutsy Gibbon (le gibbon fougueux) |
25 Mot inconnu : gutsy => | ::: | [[:gutsy|Ubuntu 7.10]] | The Gutsy Gibbon (le gibbon fougueux) |
25 Mot inconnu : The => | ::: | [[:gutsy|Ubuntu 7.10]] | The Gutsy Gibbon (le gibbon fougueux) |
25 Mot inconnu : Gutsy => | ::: | [[:gutsy|Ubuntu 7.10]] | The Gutsy Gibbon (le gibbon fougueux) |

26 Une de ces ponctuations est superflue. => | ::: | **[[:hardy|* Ubuntu 8.04 LTS]]** | **The Hardy Heron (le héron robuste)** |
26 Mot inconnu : hardy => | ::: | **[[:hardy|* Ubuntu 8.04 LTS]]** | **The Hardy Heron (le héron robuste)** |
