1 Mot inconnu : LVM => ====== LVM, une autre manière de gérer la volumétrie. ====== | lvm

7 Mot inconnu : LVM => LVM (Logical Volume Manager, ou gestionnaire de volumes logiques en bon français) permet la création et la gestion de volume logique sous Linux. Il s'agit d'agréger plusieurs volumes entre eux pour ensuite gérer le partitionnement et la taille de ces derniers d'une façon beaucoup plus souple que le partitionnement standard. L’utilisation de volumes logiques se substitue donc au partitionnement des disques. C’est un système beaucoup plus souple, qui permet par exemple de diminuer la taille d’un système de fichier pour pouvoir en agrandir un autre, sans se préoccuper de leur emplacement sur le disque. | lvm
7 Mot inconnu : Logical => LVM (Logical Volume Manager, ou gestionnaire de volumes logiques en bon français) permet la création et la gestion de volume logique sous Linux. Il s'agit d'agréger plusieurs volumes entre eux pour ensuite gérer le partitionnement et la taille de ces derniers d'une façon beaucoup plus souple que le partitionnement standard. L’utilisation de volumes logiques se substitue donc au partitionnement des disques. C’est un système beaucoup plus souple, qui permet par exemple de diminuer la taille d’un système de fichier pour pouvoir en agrandir un autre, sans se préoccuper de leur emplacement sur le disque. | logical

8 Mot inconnu : LVM => Il est important de comprendre que LVM travail au niveau Block du stockage. Il constitue donc une interface entre le volume physique et le système de fichier. | lvm
8 Mot inconnu : Block => Il est important de comprendre que LVM travail au niveau Block du stockage. Il constitue donc une interface entre le volume physique et le système de fichier. | block

18 Espace(s) surnuméraire(s) à supprimer. => Dans  l'exemple qui va suivre nous allons utiliser deux disques durs respectivement **sda** et **sdb** d'une volumétrie de 20Go chacun. |    => suggestions : [' ']
18 Mot inconnu : sda => Dans  l'exemple qui va suivre nous allons utiliser deux disques durs respectivement **sda** et **sdb** d'une volumétrie de 20Go chacun. | sda
18 Mot inconnu : sdb => Dans  l'exemple qui va suivre nous allons utiliser deux disques durs respectivement **sda** et **sdb** d'une volumétrie de 20Go chacun. | sdb

20 Mot inconnu : Group => Nous allons créer un Volume Group nommé "mvg". | group
20 Guillemets typographiques ouvrants. => Nous allons créer un Volume Group nommé "mvg". | " => suggestions : ['«\xa0', '“']
20 Mot inconnu : mvg => Nous allons créer un Volume Group nommé "mvg". | mvg
20 Guillemets typographiques fermants. => Nous allons créer un Volume Group nommé "mvg". | " => suggestions : ['\xa0»', '”']

22 Mot inconnu : Logical => Puis nous allons créer des Logical Volumes utilisant la volumétrie de "mvg" | logical
22 Guillemets typographiques ouvrants. => Puis nous allons créer des Logical Volumes utilisant la volumétrie de "mvg" | " => suggestions : ['«\xa0', '“']
22 Mot inconnu : mvg => Puis nous allons créer des Logical Volumes utilisant la volumétrie de "mvg" | mvg
22 Guillemets typographiques fermants. => Puis nous allons créer des Logical Volumes utilisant la volumétrie de "mvg" | " => suggestions : ['\xa0»', '”']

27 Mot inconnu : LVM => ==== Création des partitions LVM (optionnel) ==== | lvm

29 Accord de nombre erroné : « tables » devrait être au singulier. => Nous allons créer une tables de partitions indiquant que l'ensemble du disque est de type LVM. | tables => suggestions : ['table']
29 Mot inconnu : LVM => Nous allons créer une tables de partitions indiquant que l'ensemble du disque est de type LVM. | lvm

39 Mot inconnu : LVM => Nous obtenons ainsi une partition de 20Go de type LVM sur le volume sda. | lvm
39 Mot inconnu : sda => Nous obtenons ainsi une partition de 20Go de type LVM sur le volume sda. | sda

44 Mot inconnu : LVM => Nous allons à présent indiquer à LVM les volumétries dont il peut disposer. Il sera ainsi ensuite possible de les allouer selon le besoin à un volume donné. | lvm

50 Mot inconnu : pvdisplay => La commande pvdisplay nous permet de verifier que les volumes sont bien ajoutés. | pvdisplay
50 Mot inconnu : verifier => La commande pvdisplay nous permet de verifier que les volumes sont bien ajoutés. | verifier

52 Mot inconnu : Group => ==== Déclaration du Volume Group ==== | group

54 Mot inconnu : sda => Nous allons ici agréger la volumétrie des deux disques physiques sda et sdb au sein d'un VG. | sda
54 Mot inconnu : sdb => Nous allons ici agréger la volumétrie des deux disques physiques sda et sdb au sein d'un VG. | sdb
54 Accord de genre erroné : « VG » est féminin. => Nous allons ici agréger la volumétrie des deux disques physiques sda et sdb au sein d'un VG. | un => suggestions : ['une']

55 Mot inconnu : Group => On crée donc le Volume Group "mvg" et on lui indique les PV dont il dispose. | group
55 Guillemets typographiques ouvrants. => On crée donc le Volume Group "mvg" et on lui indique les PV dont il dispose. | " => suggestions : ['«\xa0', '“']
55 Mot inconnu : mvg => On crée donc le Volume Group "mvg" et on lui indique les PV dont il dispose. | mvg
55 Guillemets typographiques fermants. => On crée donc le Volume Group "mvg" et on lui indique les PV dont il dispose. | " => suggestions : ['\xa0»', '”']

60 Mot inconnu : vgdisplay => un vgdisplay nous permet d'obtenir les informations sur la volumétrie disponible. | vgdisplay

66 Mot inconnu : Logical => ==== Déclaration du Logical Volume. ==== | logical

68 Mot inconnu : Logical => Il ne nous reste plus qu'à créer les Logical Volumes correspondants aux "partitions" sur lesquels nous allons ensuite appliquer un système de fichier. | logical
68 Guillemets typographiques ouvrants. => Il ne nous reste plus qu'à créer les Logical Volumes correspondants aux "partitions" sur lesquels nous allons ensuite appliquer un système de fichier. | " => suggestions : ['«\xa0', '“']
68 Guillemets typographiques fermants. => Il ne nous reste plus qu'à créer les Logical Volumes correspondants aux "partitions" sur lesquels nous allons ensuite appliquer un système de fichier. | " => suggestions : ['\xa0»', '”']

69 Mot inconnu : LV => On crée donc un LV "video" d'une taille de 2Go. | lv
69 Guillemets typographiques ouvrants. => On crée donc un LV "video" d'une taille de 2Go. | " => suggestions : ['«\xa0', '“']
69 Mot inconnu : video => On crée donc un LV "video" d'une taille de 2Go. | video
69 Guillemets typographiques fermants. => On crée donc un LV "video" d'une taille de 2Go. | " => suggestions : ['\xa0»', '”']

74 Mot inconnu : lvdisplay => la commande lvdisplay permet de vérifier l'action. | lvdisplay

76 Mot inconnu : mvg => Par curiosité on peut observer que 2Go ont été retirés au VG mvg en tapant à nouveau lvdisplay. | mvg
76 Mot inconnu : lvdisplay => Par curiosité on peut observer que 2Go ont été retirés au VG mvg en tapant à nouveau lvdisplay. | lvdisplay

78 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A partir de ce point la gestion du volume est la même que pour une partition standard. | a => suggestions : ['À']

80 Mot inconnu : Logical => ==== Appliquer un système de fichier à un Logical Volume. ==== | logical

82 Mot inconnu : LV => Nous allons à présent appliquer le un système de fichier de notre choix sur le LV créé. | lv

83 Accord de genre erroné : « File » est féminin. => Il est cependant à noter que seuls certains File System supportent le redimensionnement de partions à chaud. | certains => suggestions : ['certaines']
83 Accord de genre erroné : « certains » est un déterminant masculin. => Il est cependant à noter que seuls certains File System supportent le redimensionnement de partions à chaud. | file => suggestions : ['Filés', 'Fils']
83 Mot inconnu : System => Il est cependant à noter que seuls certains File System supportent le redimensionnement de partions à chaud. | system
83 Incohérence avec “de” : “partions” est une forme verbale conjuguée. => Il est cependant à noter que seuls certains File System supportent le redimensionnement de partions à chaud. | partions => suggestions : ['partie', 'partis', 'part', 'parti', 'partant', 'parties', 'partons']

84 Mot inconnu : XFS => Ainsi XFS, ext3 (non officiel)... merci de completer :) permettent de redimensionner un volume | xfs
84 Mot inconnu : ext3 => Ainsi XFS, ext3 (non officiel)... merci de completer :) permettent de redimensionner un volume | ext3
