1 Mot inconnu : kesako [[13:19]] => === L'amont, kesako ? === <|> kesako
3 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[54:57]] =>   * Ubuntu est une agrégation de milliers de logiciels - Linux, Gnome, Firefox, Unity...- de provenances diverses. <|>  -  => suggestions : [' – ', ' — ', ' − ']
3 Mot inconnu : Unity [[80:85]] =>   * Ubuntu est une agrégation de milliers de logiciels - Linux, Gnome, Firefox, Unity...- de provenances diverses. <|> unity
3 Typographie : points de suspension. Utilisez le caractère dédié. [[85:88]] =>   * Ubuntu est une agrégation de milliers de logiciels - Linux, Gnome, Firefox, Unity...- de provenances diverses. <|> ... => suggestions : ['…']
4 Forme interrogative ? Mettez un trait d’union. [[86:100]] =>   * Une bonne partie de ces logiciels est produite par des équipes structurées qui se chargent elles mêmes avec plus ou moins d'efficacité selon les cas les traductions (la plupart ont une qualité de traduction impressionnante, car les traductions sont réalisées et relues par quelques contributeurs qui s'assurent de la cohérence globale). <|> chargent elles => suggestions : ['chargent-elles']
4 Il manque un trait d’union. [[95:106]] =>   * Une bonne partie de ces logiciels est produite par des équipes structurées qui se chargent elles mêmes avec plus ou moins d'efficacité selon les cas les traductions (la plupart ont une qualité de traduction impressionnante, car les traductions sont réalisées et relues par quelques contributeurs qui s'assurent de la cohérence globale). <|> elles mêmes => suggestions : ['elles-mêmes']
6 Espace(s) en fin de ligne à supprimer. [[163:164]] =>   * Une dernière partie enfin est développée spécifiquement pour Ubuntu par Canonical ou la communauté, et nous sommes en quelque sorte à la fois l'amont et l'aval  <|>   => suggestions : ['']
9 Espace(s) en fin de ligne à supprimer. [[122:123]] =>   * Il existe donc plusieurs équipes de traducteurs francophones expérimentés qui se chargent en amont de ces traductions.  <|>   => suggestions : ['']
10 Typographie : points de suspension. Utilisez le caractère dédié. [[265:268]] =>   * Cela peut être tentant, par facilité, de faire des suggestions pour les traduire directement à partir de son compte sur Launchpad. C'est malheureusement une mauvaise idée et une perte de temps. Avant de vous parler de la méthode la plus efficace, voici pourquoi... <|> ... => suggestions : ['…']
12 Mot inconnu : KDE [[126:129]] =>   * D'autre part les traductions effectuées sur Launchpad ne bénéficient qu'aux seuls utilisateurs d'Ubuntu, alors que GNOME, KDE ou les applications en ligne de commande sont susceptibles d'être utilisées sur n'importe quelle distribution GNU/LINUX ou BSD. <|> kde

17 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. [[96:101]] => //Je vois des applications non-traduites ou partiellement traduites que j'aimerais bien traduire mais vous me dites que ce n'est pas le rôle de l'équipe ubuntu-fr-l10n ! On va pas les laisser tomber ? Hein Joe ?// <|>  mais => suggestions : [', mais']
17 Mot inconnu : ubuntu-fr-l10n [[153:167]] => //Je vois des applications non-traduites ou partiellement traduites que j'aimerais bien traduire mais vous me dites que ce n'est pas le rôle de l'équipe ubuntu-fr-l10n ! On va pas les laisser tomber ? Hein Joe ?// <|> ubuntu-fr-l10n

19 Mot inconnu : MééeeNon [[2:10]] => //MééeeNon :-)// <|> mééeenon
23 Mot inconnu : KDE [[9:12]] =>   * pour KDE : https://fr.l10n.kde.org/ <|> kde
24 Mot inconnu : XFCE [[9:13]] =>   * pour XFCE : http://i18n.xfce.org/wiki/ <|> xfce
26 Mot inconnu : Shotwell [[9:17]] =>   * Pour Shotwell: https://www.transifex.com/projects/p/shotwell/ <|> shotwell
27 Mot inconnu : gcc [[48:51]] =>   * pour les applications en ligne de commande (gcc, 5000 lignes) : http://translationproject.org/team/fr.html <|> gcc
