
3 S’il s’agit d’une interrogation, il manque un trait d’union. [[9:15]] => ===== Qu'est ce que c'est ? ===== <|> est ce => suggestions : None

8 Après “être”, le verbe ne devrait pas être à l’infinitif. [[105:115]] => Pour des raisons de moyen, l'architecture mise en place n'est pas optimale. Au 1 mai 2018, l'atelier est constituer: <|> constituer => suggestions : None

13 Mot inconnu : github [[140:146]] => Le dépôt git à vocation à contenir une forme de l'atelier directement installable pour une utilisation locale. Il suffira d'avoir un compte github pour pouvoir y accéder. <|> github

15 Espace(s) en fin de ligne à supprimer. [[96:97]] => Les enregistrements sur le site seront bientôt ouverts et rapidement offrir la capacité de vote.  <|>   => suggestions : None

17 Conjugaison erronée. Accord avec “quelqu’un”. Le verbe devrait être à la 3ᵉ personne du singulier. [[13:17]] => Si quelqu'un vois l'atelier et ce qu'il devrait être d'une autre façon, qu'il l'écrive en éditant cette page. <|> vois => suggestions : None

21 Confusion : « passe » est un verbe. Exemples : ce bâtiment, se perdre. [[13:15]] => ===== Ce qui ce passe ! ===== <|> ce => suggestions : None

25 Mot inconnu : true [[260:264]] => Beaucoup auront vu les carrés disgracieux que comporte la barre de navigation sur les mobiles et peut être l’absence de la police Ubuntu sous d'autres systèmes. Ce problème a été fixé sur l'atelier par la mise en place du chargement de la police d'Ubuntu-R en true type. Pour l'instant le chargement est forcé, c'est à dire que même si votre Os connaît déjà cette police, il va tout de même la télécharger. \\  <|> true
25 Il manque les traits d’union. [[311:323]] => Beaucoup auront vu les carrés disgracieux que comporte la barre de navigation sur les mobiles et peut être l’absence de la police Ubuntu sous d'autres systèmes. Ce problème a été fixé sur l'atelier par la mise en place du chargement de la police d'Ubuntu-R en true type. Pour l'instant le chargement est forcé, c'est à dire que même si votre Os connaît déjà cette police, il va tout de même la télécharger. \\  <|> c'est à dire => suggestions : None
