
4 Mot inconnu : VDR => ====== VDR - The Video Disk Recorder ====== | vdr
4 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== VDR - The Video Disk Recorder ====== |  -  => suggestions : [' – ', ' — ', ' − ']
4 Mot inconnu : The => ====== VDR - The Video Disk Recorder ====== | the
4 Mot inconnu : Video => ====== VDR - The Video Disk Recorder ====== | video
4 Mot inconnu : Disk => ====== VDR - The Video Disk Recorder ====== | disk
6 Mot inconnu : Video => [[http://www.tvdr.de|VDR]] (Video Disk Recorder) est un logiciel libre permettant de recevoir la TV sur PC. | video
6 Mot inconnu : Disk => [[http://www.tvdr.de|VDR]] (Video Disk Recorder) est un logiciel libre permettant de recevoir la TV sur PC. | disk

10 Mot inconnu : vdr => Il est possible d'installer vdr sur une machine différente de la machine qui affiche les films. Cette machine sera dénommée "serveur". Cette machine ne nécessite que très peu de puissance car elle ne décode pas le fichier vidéo. On pourra la connecter à un NAS pour le stockage. | vdr
10 Guillemets typographiques ouvrants. => Il est possible d'installer vdr sur une machine différente de la machine qui affiche les films. Cette machine sera dénommée "serveur". Cette machine ne nécessite que très peu de puissance car elle ne décode pas le fichier vidéo. On pourra la connecter à un NAS pour le stockage. | " => suggestions : ['«\xa0', '“']
10 Guillemets typographiques fermants. => Il est possible d'installer vdr sur une machine différente de la machine qui affiche les films. Cette machine sera dénommée "serveur". Cette machine ne nécessite que très peu de puissance car elle ne décode pas le fichier vidéo. On pourra la connecter à un NAS pour le stockage. | " => suggestions : ['\xa0»', '”']
10 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Il est possible d'installer vdr sur une machine différente de la machine qui affiche les films. Cette machine sera dénommée "serveur". Cette machine ne nécessite que très peu de puissance car elle ne décode pas le fichier vidéo. On pourra la connecter à un NAS pour le stockage. |  car => suggestions : [', car']
10 Mot inconnu : NAS => Il est possible d'installer vdr sur une machine différente de la machine qui affiche les films. Cette machine sera dénommée "serveur". Cette machine ne nécessite que très peu de puissance car elle ne décode pas le fichier vidéo. On pourra la connecter à un NAS pour le stockage. | nas

24 Mot inconnu : DVB => Par la suite, vous devez indiquer le type de carte DVB (Satellite/Terrestre/Câble). | dvb

27 Mot inconnu : DVB-T2 => <note>Pour le DVB-T2 il faut vdr 2.3, soit une version d'Ubuntu >= 17.10</note> | dvb-t2
27 Mot inconnu : vdr => <note>Pour le DVB-T2 il faut vdr 2.3, soit une version d'Ubuntu >= 17.10</note> | vdr
27 Signe “supérieur ou égal”. => <note>Pour le DVB-T2 il faut vdr 2.3, soit une version d'Ubuntu >= 17.10</note> | >= => suggestions : ['≥', '⩾']

33 Mot inconnu : channels => ====channels.conf==== | channels
33 Il manque un espace. => ====channels.conf==== | conf => suggestions : [' conf']
36 S’il s’agit d’un impératif, mettez un trait d’union. => Pour l'obtenir, utilisez **[[apt>w-scan|w-scan]]** et exécutez le avec les paramètres correspondant à votre type de réception. | exécutez le => suggestions : ['exécutez-le']

47 Mot inconnu : vdr => ==== 00-vdr.conf ==== | vdr
47 Il manque un espace. => ==== 00-vdr.conf ==== | conf => suggestions : [' conf']

48 Mot inconnu : tnt => Ce fichier permet de modifier l'emplacement des enregistrements. Dans l'exemple ci-dessous les enregistrements sont stockés dans /media/tnt/vdr. Vous pouvez mettre ce que vous voulez. Assurez-vous que vdr ait bien accès à ce répertoire : | tnt
48 Mot inconnu : vdr => Ce fichier permet de modifier l'emplacement des enregistrements. Dans l'exemple ci-dessous les enregistrements sont stockés dans /media/tnt/vdr. Vous pouvez mettre ce que vous voulez. Assurez-vous que vdr ait bien accès à ce répertoire : | vdr
48 Mot inconnu : vdr => Ce fichier permet de modifier l'emplacement des enregistrements. Dans l'exemple ci-dessous les enregistrements sont stockés dans /media/tnt/vdr. Vous pouvez mettre ce que vous voulez. Assurez-vous que vdr ait bien accès à ce répertoire : | vdr

51 Accord de genre erroné : « ligne » est féminin. => Le ligne de lirc a été décommenté car l'installation est sur une machine serveur. | le => suggestions : ['La']
51 Accord de genre erroné : « Le » est un déterminant masculin. => Le ligne de lirc a été décommenté car l'installation est sur une machine serveur. | ligne => suggestions : ['ligné']
51 Mot inconnu : lirc => Le ligne de lirc a été décommenté car l'installation est sur une machine serveur. | lirc
51 Mot inconnu : décommenté => Le ligne de lirc a été décommenté car l'installation est sur une machine serveur. | décommenté

55 Mot inconnu : This => # This file contains the arguments for VDR if invoked without arguments on the | this
55 Mot inconnu : contains => # This file contains the arguments for VDR if invoked without arguments on the | contains
55 Mot inconnu : the => # This file contains the arguments for VDR if invoked without arguments on the | the
55 Mot inconnu : VDR => # This file contains the arguments for VDR if invoked without arguments on the | vdr
55 Mot inconnu : invoked => # This file contains the arguments for VDR if invoked without arguments on the | invoked
55 Mot inconnu : without => # This file contains the arguments for VDR if invoked without arguments on the | without
55 Mot inconnu : the => # This file contains the arguments for VDR if invoked without arguments on the | the

56 Mot inconnu : command => # command line. | command
56 Mot inconnu : line => # command line. | line

58 Mot inconnu : See => # See `man vdr`. | see
58 Mot inconnu : vdr => # See `man vdr`. | vdr

61 Mot inconnu : vdr => [vdr] | vdr

62 Mot inconnu : video => --video=/media/tnt/vdr | video
62 Mot inconnu : tnt => --video=/media/tnt/vdr | tnt
62 Mot inconnu : vdr => --video=/media/tnt/vdr | vdr

64 Mot inconnu : lib => --lib=/usr/lib/vdr/plugins | lib

66 Mot inconnu : epgfile => --epgfile=/var/cache/vdr/epg.data | epgfile

67 Mot inconnu : vdr => --user=vdr | vdr

68 Mot inconnu : grab => --grab=/tmp | grab

70 Mot inconnu : watchdog => --watchdog=60 | watchdog

72 Mot inconnu : vfat => --vfat | vfat

81 Mot inconnu : VDR => VDR présente un très grande modularité basée sur l'installation de plugins très variés. Une liste-quasi exhaustive est disponible [[http://linuxtv.org/vdrwiki/index.php/Plugins|ici]].  | vdr
81 Accord de genre erroné : « grande » est féminin. => VDR présente un très grande modularité basée sur l'installation de plugins très variés. Une liste-quasi exhaustive est disponible [[http://linuxtv.org/vdrwiki/index.php/Plugins|ici]].  | un => suggestions : ['une']
81 Accord de genre erroné : « un » est un déterminant masculin. => VDR présente un très grande modularité basée sur l'installation de plugins très variés. Une liste-quasi exhaustive est disponible [[http://linuxtv.org/vdrwiki/index.php/Plugins|ici]].  | grande => suggestions : ['grand']
81 Espace(s) en fin de ligne à supprimer. => VDR présente un très grande modularité basée sur l'installation de plugins très variés. Une liste-quasi exhaustive est disponible [[http://linuxtv.org/vdrwiki/index.php/Plugins|ici]].  |   => suggestions : ['']

91 Mot inconnu : VDR => === Plugin Live (Live Interactive VDR Environment) === | vdr
91 Mot inconnu : Environment => === Plugin Live (Live Interactive VDR Environment) === | environment

