1 Mot inconnu : Alternate => ==== Via l'Alternate CD  ==== | alternate
1 Espace(s) surnuméraire(s) à supprimer. => ==== Via l'Alternate CD  ==== |    => suggestions : [' ']

3 Mot inconnu : Alternate => L'Alternate CD permet d'installer Ubuntu en mode texte. Il est donc plus rapide qu'un liveCD. Il permet aussi de réparer un système endommagé. | alternate
3 Mot inconnu : liveCD => L'Alternate CD permet d'installer Ubuntu en mode texte. Il est donc plus rapide qu'un liveCD. Il permet aussi de réparer un système endommagé. | livecd

4 Guillemets typographiques ouvrants. => Avant l'étape de formatage, il est toujours possible d'annuler l'installation en faisant "Revenir en arrière". | " => suggestions : ['«\xa0', '“']
4 Guillemets typographiques fermants. => Avant l'étape de formatage, il est toujours possible d'annuler l'installation en faisant "Revenir en arrière". | " => suggestions : ['\xa0»', '”']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Graver l'image sur un disque vierge. |    => suggestions : ['']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mettre le disque dans le lecteur & démarrer l'ordinateur sur le disque. |    => suggestions : ['']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisir l'option « Récupérer un système endommagé ». |    => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisir le pays. |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisir le clavier. |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisir le nom de la machine (aucune importance ici). |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Configuer l'horloge (aucune importance ici). |    => suggestions : ['']
13 Mot inconnu : Configuer =>   * Configuer l'horloge (aucune importance ici). | configuer

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous arrivez jusqu'au menu « Entrer dans le mode de récupération ». |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisir votre partition qui contient le système de fichiers racine (/) |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous voulez exécuter un shell dans l'hypothèse où /boot serait une partition séparée faites-le, monter /boot, et quitter le shell (exit) une fois terminé. |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Normalement, le programme vous propose maintenant l'option « Réinstallation du programme de démarrage GRUB ». |    => suggestions : ['']
17 Mot inconnu : GRUB =>   * Normalement, le programme vous propose maintenant l'option « Réinstallation du programme de démarrage GRUB ». | grub

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisissez cette option. |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Quitter le programme d'installation et redémarrer le PC. |    => suggestions : ['']
