1 Guillemets typographiques ouvrants. => Professeur de la "leçon" FiFouille | " => suggestions : ['«\xa0', '“']
1 Guillemets typographiques fermants. => Professeur de la "leçon" FiFouille | " => suggestions : ['\xa0»', '”']
1 Mot inconnu : FiFouille => Professeur de la "leçon" FiFouille | fifouille

8 Mot inconnu : Ca => Ruby sert à plein de choses, de l'administration système, des scripts, de la génération de document (latex par exemple).Ca peut être un bon substitut à d'autre langage de script comme Perl ou python. Ca peut aussi servir pour des applications plus classiques comme vous le feriez pour du python avec un binding gtk ou des histoires du genre. | ca
8 Mot inconnu : Ca => Ruby sert à plein de choses, de l'administration système, des scripts, de la génération de document (latex par exemple).Ca peut être un bon substitut à d'autre langage de script comme Perl ou python. Ca peut aussi servir pour des applications plus classiques comme vous le feriez pour du python avec un binding gtk ou des histoires du genre. | ca
8 Mot inconnu : binding => Ruby sert à plein de choses, de l'administration système, des scripts, de la génération de document (latex par exemple).Ca peut être un bon substitut à d'autre langage de script comme Perl ou python. Ca peut aussi servir pour des applications plus classiques comme vous le feriez pour du python avec un binding gtk ou des histoires du genre. | binding

9 Mot inconnu : ruby => Aujourd'hui ruby est à la mode. | ruby

10 Incohérence avec “on” : “Rails” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => C'est aussi à la base de Ruby on Rails, le fameux framework web quifaittoutmemelecafé. | rails => suggestions : ['Raille', 'Raye']
10 Mot inconnu : quifaittoutmemelecafé => C'est aussi à la base de Ruby on Rails, le fameux framework web quifaittoutmemelecafé. | quifaittoutmemelecafé

12 Mot inconnu : ERB => ERB lui c'est une sorte de métalanguage où on peut insérer du code Ruby un peu comme on veut pour générer dynamiquement du html, latex, docbook, etc etc | erb
12 Mot inconnu : métalanguage => ERB lui c'est une sorte de métalanguage où on peut insérer du code Ruby un peu comme on veut pour générer dynamiquement du html, latex, docbook, etc etc | métalanguage
12 Mot inconnu : html => ERB lui c'est une sorte de métalanguage où on peut insérer du code Ruby un peu comme on veut pour générer dynamiquement du html, latex, docbook, etc etc | html
12 Mot inconnu : docbook => ERB lui c'est une sorte de métalanguage où on peut insérer du code Ruby un peu comme on veut pour générer dynamiquement du html, latex, docbook, etc etc | docbook
12 Doublon. => ERB lui c'est une sorte de métalanguage où on peut insérer du code Ruby un peu comme on veut pour générer dynamiquement du html, latex, docbook, etc etc | etc etc => suggestions : ['etc']

13 Incohérence avec “On” : “Rails” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => lui aussi il est utilisé dans Ruby On Rails, pour les 'vues' | rails => suggestions : ['Raille', 'Raye']
13 Guillemets typographiques ouvrants. => lui aussi il est utilisé dans Ruby On Rails, pour les 'vues' | ' => suggestions : ['“', '‘', '‹']
13 Guillemets typographiques fermants. => lui aussi il est utilisé dans Ruby On Rails, pour les 'vues' | ' => suggestions : ['”', '’', '›']

19 Conjugaison erronée. Accord avec “les langages…”. Le verbe devrait être à la 3ᵉ personne du pluriel. => Comme les langages java python, D, C#,  Ruby a un garbage collector ça veut dire qu'il s'occupe tout seul de la gestion mémoire, pas besoin d'allouer ou libérer la mémoire qu'on utilise. | java => suggestions : ['javèrent']
19 Espace(s) surnuméraire(s) à supprimer. => Comme les langages java python, D, C#,  Ruby a un garbage collector ça veut dire qu'il s'occupe tout seul de la gestion mémoire, pas besoin d'allouer ou libérer la mémoire qu'on utilise. |    => suggestions : [' ']
19 Mot inconnu : garbage => Comme les langages java python, D, C#,  Ruby a un garbage collector ça veut dire qu'il s'occupe tout seul de la gestion mémoire, pas besoin d'allouer ou libérer la mémoire qu'on utilise. | garbage

21 Accord de genre erroné : « java » est féminin. => Il est procédural (comme du C), orienté objet (comme du java), fonctionnel (comme lisp ou scheme). En ruby, tout est objet. Si vous ne savez pas ce que c'est, vous allez le sentir sans même qu'on ait à vous l'expliquer. | du => suggestions : ['de la']
