1 Mot inconnu : tar => ====== La commande tar ====== | tar

5 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => tar (//tape archiver//, archiveur d'enregistrements) est un outil très puissant pour la manipulation d'archives sous les systèmes Unix et les dérivés dont Linux. Il ne compresse pas les fichiers mais les concatène au sein d'une seule et même archive. La majorité des programmes sous Linux utilisent ce système d'archivage. | tar => suggestions : ['Tar']
5 Mot inconnu : tar => tar (//tape archiver//, archiveur d'enregistrements) est un outil très puissant pour la manipulation d'archives sous les systèmes Unix et les dérivés dont Linux. Il ne compresse pas les fichiers mais les concatène au sein d'une seule et même archive. La majorité des programmes sous Linux utilisent ce système d'archivage. | tar
5 Mot inconnu : archiveur => tar (//tape archiver//, archiveur d'enregistrements) est un outil très puissant pour la manipulation d'archives sous les systèmes Unix et les dérivés dont Linux. Il ne compresse pas les fichiers mais les concatène au sein d'une seule et même archive. La majorité des programmes sous Linux utilisent ce système d'archivage. | archiveur

8 Mot inconnu : tar => Le programme tar est disponible par défaut sous Ubuntu. Il fait parti de l'installation minimale. | tar
8 Confusion. On écrit « faire partie ». => Le programme tar est disponible par défaut sous Ubuntu. Il fait parti de l'installation minimale. | parti => suggestions : ['partie']

10 Mot inconnu : Utillisation => ===== Utillisation en archivage simple ===== | utillisation

11 Mot inconnu : tar => ==== Utilisation tar seul : concaténation de fichiers ==== | tar

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tar -cvf archive.tar fichierarchive1 fichierarchive2... |    => suggestions : ['']
13 Mot inconnu : tar =>   tar -cvf archive.tar fichierarchive1 fichierarchive2... | tar
13 Il manque un espace à côté du tiret. =>   tar -cvf archive.tar fichierarchive1 fichierarchive2... |  - => suggestions : [' – ', ' — ']
13 Mot inconnu : cvf =>   tar -cvf archive.tar fichierarchive1 fichierarchive2... | cvf
13 Mot inconnu : tar =>   tar -cvf archive.tar fichierarchive1 fichierarchive2... | tar
13 Mot inconnu : fichierarchive1 =>   tar -cvf archive.tar fichierarchive1 fichierarchive2... | fichierarchive1
13 Mot inconnu : fichierarchive2 =>   tar -cvf archive.tar fichierarchive1 fichierarchive2... | fichierarchive2
13 Typographie : points de suspension. Utilisez le caractère dédié. =>   tar -cvf archive.tar fichierarchive1 fichierarchive2... | ... => suggestions : ['…']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tar -cvf archivedossier.tar dossier/ |    => suggestions : ['']
15 Mot inconnu : tar =>   tar -cvf archivedossier.tar dossier/ | tar
15 Il manque un espace à côté du tiret. =>   tar -cvf archivedossier.tar dossier/ |  - => suggestions : [' – ', ' — ']
15 Mot inconnu : cvf =>   tar -cvf archivedossier.tar dossier/ | cvf
15 Mot inconnu : archivedossier =>   tar -cvf archivedossier.tar dossier/ | archivedossier
15 Mot inconnu : tar =>   tar -cvf archivedossier.tar dossier/ | tar
16 Espace(s) en fin de ligne à supprimer. => Pour l'extraction :  |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tar -xvf archive.tar |    => suggestions : ['']
17 Mot inconnu : tar =>   tar -xvf archive.tar | tar
17 Il manque un espace à côté du tiret. =>   tar -xvf archive.tar |  - => suggestions : [' – ', ' — ']
17 Mot inconnu : xvf =>   tar -xvf archive.tar | xvf
17 Mot inconnu : tar =>   tar -xvf archive.tar | tar

19 Mot inconnu : tar => Il est possible d'utiliser tar pour l'archivage et la compression de fichiers. Dans ce cas, il fait appel à d'autres utilitaires comme Bzip2 et Gzip. L'archivage se fait alors en deux temps, d'abord la concaténation des fichiers en un seul puis la compression du tout. | tar
19 Mot inconnu : Bzip2 => Il est possible d'utiliser tar pour l'archivage et la compression de fichiers. Dans ce cas, il fait appel à d'autres utilitaires comme Bzip2 et Gzip. L'archivage se fait alors en deux temps, d'abord la concaténation des fichiers en un seul puis la compression du tout. | bzip2
19 Mot inconnu : Gzip => Il est possible d'utiliser tar pour l'archivage et la compression de fichiers. Dans ce cas, il fait appel à d'autres utilitaires comme Bzip2 et Gzip. L'archivage se fait alors en deux temps, d'abord la concaténation des fichiers en un seul puis la compression du tout. | gzip

20 Mot inconnu : gzip => ==== Compression avec gzip, l'option z ==== | gzip

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    tar -zcvf votre_archive.tar.gz votre_dossier/ |     => suggestions : ['']
22 Mot inconnu : tar =>    tar -zcvf votre_archive.tar.gz votre_dossier/ | tar
22 Il manque un espace à côté du tiret. =>    tar -zcvf votre_archive.tar.gz votre_dossier/ |  - => suggestions : [' – ', ' — ']
22 Mot inconnu : zcvf =>    tar -zcvf votre_archive.tar.gz votre_dossier/ | zcvf
22 Mot inconnu : votre_dossier =>    tar -zcvf votre_archive.tar.gz votre_dossier/ | votre_dossier

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    tar -zxvf votre_archive.tar.gz |     => suggestions : ['']
24 Mot inconnu : tar =>    tar -zxvf votre_archive.tar.gz | tar
24 Il manque un espace à côté du tiret. =>    tar -zxvf votre_archive.tar.gz |  - => suggestions : [' – ', ' — ']
