
4 Mot inconnu : freenode [[27:35]] => sur #ubuntu-fr-meeting@irc.freenode.org  <|> freenode
4 Espace(s) en fin de ligne à supprimer. [[39:40]] => sur #ubuntu-fr-meeting@irc.freenode.org  <|>   => suggestions : None

14 Mot inconnu : Termitor [[0:8]] => Termitor, Claude, PiTiLeZarD, seb128, ZeBob,  ostaquet <|> termitor
14 Mot inconnu : PiTiLeZarD [[18:28]] => Termitor, Claude, PiTiLeZarD, seb128, ZeBob,  ostaquet <|> pitilezard
14 Mot inconnu : seb128 [[30:36]] => Termitor, Claude, PiTiLeZarD, seb128, ZeBob,  ostaquet <|> seb128
14 Mot inconnu : ZeBob [[38:43]] => Termitor, Claude, PiTiLeZarD, seb128, ZeBob,  ostaquet <|> zebob
14 Espace(s) surnuméraire(s) à supprimer. [[44:46]] => Termitor, Claude, PiTiLeZarD, seb128, ZeBob,  ostaquet <|>    => suggestions : None
14 Mot inconnu : ostaquet [[46:54]] => Termitor, Claude, PiTiLeZarD, seb128, ZeBob,  ostaquet <|> ostaquet

16 Mot inconnu : Etaient [[5:12]] => ==== Etaient présents ==== <|> etaient

17 Mot inconnu : dawar [[0:5]] => dawar, Coffee  <|> dawar
17 Mot inconnu : Coffee [[7:13]] => dawar, Coffee  <|> coffee
17 Espace(s) en fin de ligne à supprimer. [[13:14]] => dawar, Coffee  <|>   => suggestions : None
26 Mot inconnu : fédererait [[72:82]] => Personne n'utilisant kubuntu n'étant présent, il n'a pu être décidé qui fédererait la partie K d'ubuntu-fr.org <|> fédererait

30 Espace(s) en fin de ligne à supprimer. [[64:65]] => Idem, Manu ne pouvant être présent, remis à la prochaine réunion  <|>   => suggestions : None

32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[47:50]] => ==== Organisation des dossiers et sous dossiers - Clarification ==== <|>  -  => suggestions : None

34 Accord de nombre erroné : « mot » devrait être au pluriel. [[39:42]] => Mise à jour de la page modèle avec les mot clés ubuntu/kubuntu et les versions en pages liées pour la génération automatique via backlink, d'index. Les admins proposent que cette page modèle soit affichée par defaut lors de la création d'une page <|> mot => suggestions : None
34 Mot inconnu : backlink [[129:137]] => Mise à jour de la page modèle avec les mot clés ubuntu/kubuntu et les versions en pages liées pour la génération automatique via backlink, d'index. Les admins proposent que cette page modèle soit affichée par defaut lors de la création d'une page <|> backlink
34 Mot inconnu : defaut [[209:215]] => Mise à jour de la page modèle avec les mot clés ubuntu/kubuntu et les versions en pages liées pour la génération automatique via backlink, d'index. Les admins proposent que cette page modèle soit affichée par defaut lors de la création d'une page <|> defaut

