1 Formatage des grands nombres. [[15:23]] => ====== Réunion 20080624 - Compte Rendu ====== <|> 20080624 => suggestions : 20 080 624
1 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[23:26]] => ====== Réunion 20080624 - Compte Rendu ====== <|>  -  => suggestions :  –  —  − 
2 Pas de majuscule sur les mois. [[19:23]] =>   * Date: Mardi 24 Juin 2008 à 20h30 (fuseau horaire Paris/France) <|> juin => suggestions : juin

7 Élision de l’article devant un mot commençant par une voyelle. [[61:64]] => Le but de cette réunion est notre réunion régulière de suivi de ubuntu-fr <|> de  => suggestions : d’

19 Mot inconnu : ToDo [[5:9]] => ==== ToDo suite à la dernière réunion ==== <|> todo
21 Mot inconnu : huats [[4:9]] =>   * huats doit rattraper les retards sur les Tshirts laissés par la dernière commande. <|> huats
21 Mot inconnu : Tshirts [[45:52]] =>   * huats doit rattraper les retards sur les Tshirts laissés par la dernière commande. <|> tshirts
22 Mot inconnu : Ju [[4:6]] =>   * Ju doit s'occuper de la posisbilité des alias mail en ubuntu-fr  //done// <|> ju
22 Mot inconnu : posisbilité [[28:39]] =>   * Ju doit s'occuper de la posisbilité des alias mail en ubuntu-fr  //done// <|> posisbilité
22 Espace(s) surnuméraire(s) à supprimer. [[67:69]] =>   * Ju doit s'occuper de la posisbilité des alias mail en ubuntu-fr  //done// <|>    => suggestions :  
22 Mot inconnu : done [[71:75]] =>   * Ju doit s'occuper de la posisbilité des alias mail en ubuntu-fr  //done// <|> done

29 Mot inconnu : Asso [[5:9]] => ==== Asso ====  <|> asso
29 Espace(s) en fin de ligne à supprimer. [[14:15]] => ==== Asso ====  <|>  
30 Mot inconnu : huats [[6:11]] => Par : huats <|> huats

34 Espace(s) en fin de ligne à supprimer. [[18:19]] => ==== Finances ====  <|>  
35 Mot inconnu : huats [[6:11]] => Par : huats <|> huats

39 Espace(s) en fin de ligne à supprimer. [[22:23]] => ==== Orga interne ====  <|>  
40 Mot inconnu : huats [[6:11]] => Par : huats <|> huats

45 Mot inconnu : AdminSys [[5:13]] => ==== AdminSys ====  <|> adminsys
45 Espace(s) en fin de ligne à supprimer. [[18:19]] => ==== AdminSys ====  <|>  
46 Mot inconnu : Ju [[6:8]] => Par : Ju <|> ju

