
4 Mot inconnu : LouvainLiNux => LouvainLiNux a le plaisir de vous annoncer le lancement de la | louvainlinux

9 Mot inconnu : Louvain-Li-Nux => Louvain-Li-Nux et l’ECE organisent conjointement différentes activités | louvain-li-nux
9 Mot inconnu : ECE => Louvain-Li-Nux et l’ECE organisent conjointement différentes activités | ece

11 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => logiciels libres et à Linux en particulier. Durant cette semaine, vous | logiciels => suggestions : ['Logiciels']

12 Ceci est un verbe à la 2ᵉ personne du pluriel. Sujet (“vous” ou équivalent) introuvable. => aurez l’occasion de découvrir la philosophie du Libre, de voir des | aurez => suggestions : ['auront']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  2 cours seront organisés : |   => suggestions : ['']

64 Mot inconnu : ploum => ploum at frimouvy.org | ploum
64 Mot inconnu : at => ploum at frimouvy.org | at
64 Mot inconnu : frimouvy => ploum at frimouvy.org | frimouvy

67 Mot inconnu : CDs => Des CDs Ubuntu 5.10 - Breezy (Install & Live) sont disponibles gratuitement  | cds
67 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Des CDs Ubuntu 5.10 - Breezy (Install & Live) sont disponibles gratuitement  |  -  => suggestions : [' – ', ' — ', ' − ']
67 Mot inconnu : Breezy => Des CDs Ubuntu 5.10 - Breezy (Install & Live) sont disponibles gratuitement  | breezy
67 Mot inconnu : Install => Des CDs Ubuntu 5.10 - Breezy (Install & Live) sont disponibles gratuitement  | install
67 Espace(s) en fin de ligne à supprimer. => Des CDs Ubuntu 5.10 - Breezy (Install & Live) sont disponibles gratuitement  |   => suggestions : ['']

68 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => pour PC, MAC et PC-64 bits. N'hésitez pas à venir en chercher au LouvainLoCal | pour => suggestions : ['Pour']
68 Mot inconnu : LouvainLoCal => pour PC, MAC et PC-64 bits. N'hésitez pas à venir en chercher au LouvainLoCal | louvainlocal
