1 Pas de majuscule sur les mois. => ====== Réunion du 13 Septembre 2005 - Ordre du jour ====== | septembre => suggestions : ['septembre']
1 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== Réunion du 13 Septembre 2005 - Ordre du jour ====== |  -  => suggestions : [' – ', ' — ', ' − ']

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Date: 13-Septembre-2005 à 21h00 (fuseau horaire Paris/France) |    => suggestions : ['']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lieu: #ubuntu-fr-meeting sur irc.freenode.org |    => suggestions : ['']
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lieu: #ubuntu-fr-meeting sur irc.freenode.org |  -  => suggestions : [' – ', ' — ', ' − ']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - kubuntu |        => suggestions : ['']
9 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - kubuntu |  -  => suggestions : [' – ', ' — ', ' − ']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Edubuntu |        => suggestions : ['']
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Edubuntu |  -  => suggestions : [' – ', ' — ', ' − ']
10 Mot inconnu : Edubuntu =>       - Edubuntu | edubuntu

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Organisation des dossiers et sous dossiers - Clarification |        => suggestions : ['']
11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Organisation des dossiers et sous dossiers - Clarification |  -  => suggestions : [' – ', ' — ', ' − ']
11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Organisation des dossiers et sous dossiers - Clarification |  -  => suggestions : [' – ', ' — ', ' − ']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           - « Premiers pas sous ubuntu » |            => suggestions : ['']
12 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>           - « Premiers pas sous ubuntu » |  -  => suggestions : [' – ', ' — ', ' − ']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Ton des docs, que peut on se permettre ? |        => suggestions : ['']
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Ton des docs, que peut on se permettre ? |  -  => suggestions : [' – ', ' — ', ' − ']
13 Forme interrogative ? Mettez un trait d’union. =>       - Ton des docs, que peut on se permettre ? | peut on => suggestions : ['peut-on']
13 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. =>       - Ton des docs, que peut on se permettre ? | permettre => suggestions : ['permit', 'permettait', 'permet']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Migration du wiki vers une autre solution ? //retour d'experience sur d'autre wiki// |        => suggestions : ['']
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Migration du wiki vers une autre solution ? //retour d'experience sur d'autre wiki// |  -  => suggestions : [' – ', ' — ', ' − ']
15 Mot inconnu : experience =>       - Migration du wiki vers une autre solution ? //retour d'experience sur d'autre wiki// | experience

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Plugin à mettre en place |        => suggestions : ['']
16 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Plugin à mettre en place |  -  => suggestions : [' – ', ' — ', ' − ']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Authentification |        => suggestions : ['']
17 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Authentification |  -  => suggestions : [' – ', ' — ', ' − ']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Quels docs traduire/faire ? ex dvdshrink soft non libre sous win... Quelle latitude sur les docs ? Panda vs Clam, etc. |        => suggestions : ['']
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Quels docs traduire/faire ? ex dvdshrink soft non libre sous win... Quelle latitude sur les docs ? Panda vs Clam, etc. |  -  => suggestions : [' – ', ' — ', ' − ']
18 Mot inconnu : dvdshrink =>       - Quels docs traduire/faire ? ex dvdshrink soft non libre sous win... Quelle latitude sur les docs ? Panda vs Clam, etc. | dvdshrink
18 Mot inconnu : win =>       - Quels docs traduire/faire ? ex dvdshrink soft non libre sous win... Quelle latitude sur les docs ? Panda vs Clam, etc. | win
18 Typographie : points de suspension. Utilisez le caractère dédié. =>       - Quels docs traduire/faire ? ex dvdshrink soft non libre sous win... Quelle latitude sur les docs ? Panda vs Clam, etc. | ... => suggestions : ['…']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Quel statut pour la communauté francophone pour pérenniser notre travail dans le temps ? **(sous réserve de la présence des team leaders David (ok normalement) et Yann)** |        => suggestions : ['']
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Quel statut pour la communauté francophone pour pérenniser notre travail dans le temps ? **(sous réserve de la présence des team leaders David (ok normalement) et Yann)** |  -  => suggestions : [' – ', ' — ', ' − ']
