
3 Mot inconnu : DocJam => ====== Documentation Jam (DocJam) ====== | docjam

5 Mot inconnu : DocJam => Une jam est une session où l'on invite les utilisateurs à se réunir pour se concentrer sur un point particulier du monde Ubuntu. Ici nous allons traiter de la DocJam où on nous vous invitons à améliorer et compléter la documentation francophone d'Ubuntu et de ses dérivées Kubuntu, Xubuntu, Edubuntu. | docjam
5 Mot inconnu : Xubuntu => Une jam est une session où l'on invite les utilisateurs à se réunir pour se concentrer sur un point particulier du monde Ubuntu. Ici nous allons traiter de la DocJam où on nous vous invitons à améliorer et compléter la documentation francophone d'Ubuntu et de ses dérivées Kubuntu, Xubuntu, Edubuntu. | xubuntu
5 Mot inconnu : Edubuntu => Une jam est une session où l'on invite les utilisateurs à se réunir pour se concentrer sur un point particulier du monde Ubuntu. Ici nous allons traiter de la DocJam où on nous vous invitons à améliorer et compléter la documentation francophone d'Ubuntu et de ses dérivées Kubuntu, Xubuntu, Edubuntu. | edubuntu

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un lieu ayant un accès internet facilement partageable (chez vous, dans une école, dans un café, dans une salle de conférence). Pensez à avoir suffisamment de prises, de câbles réseau ou un routeur wifi. Si vous pouvez avoir un écran et un projecteur ce serait encore mieux pour faire une conférence d'introduction, ou présenter quelques cas à tous le monde. |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une date bien entendu, en évitant les dates où les gens sont généralement occupés genre noël, ... |    => suggestions : ['']
11 Une de ces ponctuations est superflue. =>   * Une date bien entendu, en évitant les dates où les gens sont généralement occupés genre noël, ... | , . => suggestions : [',', '.']
11 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Une date bien entendu, en évitant les dates où les gens sont généralement occupés genre noël, ... | ... => suggestions : ['…']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Faire un peu de pub dans les LUG locaux, sur les blogs, les listes de discussion, sur le forum, et partout où vous pensez pouvoir intéresser du monde, pour inviter les utilisateurs à vous rejoindre avec leur ordinateur personnel. |    => suggestions : ['']

14 Erreur de numérisation ? Virgules au lieu de points ? => Après l'évènement, rédigez une courte présentation de ce que vous avez fait, de l'ambiance, publiez des photos, indiquez le nombre de participants,... . Et vous pouvez aussi tous aller boire un verre pour faire plus ample connaissance. | ,... => suggestions : ['….']
14 Typographie : points de suspension. Utilisez le caractère dédié. => Après l'évènement, rédigez une courte présentation de ce que vous avez fait, de l'ambiance, publiez des photos, indiquez le nombre de participants,... . Et vous pouvez aussi tous aller boire un verre pour faire plus ample connaissance. | ... => suggestions : ['…']
14 Pas d’espace avant un point. => Après l'évènement, rédigez une courte présentation de ce que vous avez fait, de l'ambiance, publiez des photos, indiquez le nombre de participants,... . Et vous pouvez aussi tous aller boire un verre pour faire plus ample connaissance. |  . => suggestions : ['.']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - S'inscrire |    => suggestions : ['']
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - S'inscrire |  -  => suggestions : [' – ', ' — ', ' − ']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Rédiger de nouvelles pages (tutoriel, matériel, applications) |    => suggestions : ['']
