1 Mot inconnu : Reunion => ====== Reunion du 20080607 ====== | reunion
1 Formatage des grands nombres. => ====== Reunion du 20080607 ====== | 20080607 => suggestions : ['20\xa0080\xa0607']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Dell. |     => suggestions : ['']

6 Mot inconnu : francais => Manu travaille avec Dell sur la préparation de l'installation en francais d'Ubuntu pour la gamme latitude. | francais
7 Mot inconnu : ubuntu-fr => -> Objectif : contacter Dell pour étendre la collaboration à ubuntu-fr | ubuntu-fr

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Site web (Drupal team force) : |    => suggestions : ['']
9 Mot inconnu : Drupal =>   * Site web (Drupal team force) : | drupal
9 Mot inconnu : team =>   * Site web (Drupal team force) : | team

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - première étape : migration sous drupal à iso-fonctionnalité des pages statiques, migration transparente pour l'utilisateur (même thème...) |    => suggestions : ['']
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - première étape : migration sous drupal à iso-fonctionnalité des pages statiques, migration transparente pour l'utilisateur (même thème...) |  -  => suggestions : [' – ', ' — ', ' − ']
10 Mot inconnu : drupal =>   - première étape : migration sous drupal à iso-fonctionnalité des pages statiques, migration transparente pour l'utilisateur (même thème...) | drupal
10 Mot inconnu : iso-fonctionnalité =>   - première étape : migration sous drupal à iso-fonctionnalité des pages statiques, migration transparente pour l'utilisateur (même thème...) | iso-fonctionnalité
10 Typographie : points de suspension. Utilisez le caractère dédié. =>   - première étape : migration sous drupal à iso-fonctionnalité des pages statiques, migration transparente pour l'utilisateur (même thème...) | ... => suggestions : ['…']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - seconde étape : ajout des pages, intégration simplifiée des LHU, mise à jour page revendeurs, page « success story », pas de remerciements (automatisés et si sollicité) et aux donateurs... |    => suggestions : ['']
11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - seconde étape : ajout des pages, intégration simplifiée des LHU, mise à jour page revendeurs, page « success story », pas de remerciements (automatisés et si sollicité) et aux donateurs... |  -  => suggestions : [' – ', ' — ', ' − ']
11 Mot inconnu : LHU =>   - seconde étape : ajout des pages, intégration simplifiée des LHU, mise à jour page revendeurs, page « success story », pas de remerciements (automatisés et si sollicité) et aux donateurs... | lhu
11 Mot inconnu : success =>   - seconde étape : ajout des pages, intégration simplifiée des LHU, mise à jour page revendeurs, page « success story », pas de remerciements (automatisés et si sollicité) et aux donateurs... | success
11 Mot inconnu : story =>   - seconde étape : ajout des pages, intégration simplifiée des LHU, mise à jour page revendeurs, page « success story », pas de remerciements (automatisés et si sollicité) et aux donateurs... | story
11 Typographie : points de suspension. Utilisez le caractère dédié. =>   - seconde étape : ajout des pages, intégration simplifiée des LHU, mise à jour page revendeurs, page « success story », pas de remerciements (automatisés et si sollicité) et aux donateurs... | ... => suggestions : ['…']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Association / étape 2 |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Redéfinir le périmètre de l'association, pourquoi a-t-elle été créée, quid des membres, préparer une page Drupal sur le sujet (Ju) |    => suggestions : ['']
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Redéfinir le périmètre de l'association, pourquoi a-t-elle été créée, quid des membres, préparer une page Drupal sur le sujet (Ju) |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : Drupal =>   - Redéfinir le périmètre de l'association, pourquoi a-t-elle été créée, quid des membres, préparer une page Drupal sur le sujet (Ju) | drupal
14 Mot inconnu : Ju =>   - Redéfinir le périmètre de l'association, pourquoi a-t-elle été créée, quid des membres, préparer une page Drupal sur le sujet (Ju) | ju

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Préparer un organigramme des responsables des activités u-fr |    => suggestions : ['']
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Préparer un organigramme des responsables des activités u-fr |  -  => suggestions : [' – ', ' — ', ' − ']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Préparer les créations de forward @u-fr pour le 2 premiers cercles. |    => suggestions : ['']
16 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Préparer les créations de forward @u-fr pour le 2 premiers cercles. |  -  => suggestions : [' – ', ' — ', ' − ']
16 Mot inconnu : forward =>   - Préparer les créations de forward @u-fr pour le 2 premiers cercles. | forward

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Contact/presse |    => suggestions : ['']
19 Ceci est un adjectif féminin. Pas de “e” pour le nom masculin. => -> objectif : communication vers l'extérieure sur nos activités : | extérieure => suggestions : ['l']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - ressuciter le blog de suivi ubuntu-fr pour en faire un blog de communication sur les activités de l'association |      => suggestions : ['']
20 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - ressuciter le blog de suivi ubuntu-fr pour en faire un blog de communication sur les activités de l'association |  -  => suggestions : [' – ', ' — ', ' − ']
20 Mot inconnu : ressuciter =>     - ressuciter le blog de suivi ubuntu-fr pour en faire un blog de communication sur les activités de l'association | ressuciter
20 Mot inconnu : ubuntu-fr =>     - ressuciter le blog de suivi ubuntu-fr pour en faire un blog de communication sur les activités de l'association | ubuntu-fr

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - communiquer (mensuellement/trimestriellement ?) avec la autres locos par le reporting canonical. Cela nous permet également de faire le point entre nous. |      => suggestions : ['']
21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - communiquer (mensuellement/trimestriellement ?) avec la autres locos par le reporting canonical. Cela nous permet également de faire le point entre nous. |  -  => suggestions : [' – ', ' — ', ' − ']
21 Élision de l’article devant un mot commençant par une voyelle. =>     - communiquer (mensuellement/trimestriellement ?) avec la autres locos par le reporting canonical. Cela nous permet également de faire le point entre nous. | la  => suggestions : ['l’']
21 Accord de nombre erroné : « autres » devrait être au singulier. =>     - communiquer (mensuellement/trimestriellement ?) avec la autres locos par le reporting canonical. Cela nous permet également de faire le point entre nous. | autres => suggestions : ['autre']
21 Mot inconnu : canonical =>     - communiquer (mensuellement/trimestriellement ?) avec la autres locos par le reporting canonical. Cela nous permet également de faire le point entre nous. | canonical

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - avec la presse (Clubic, par exemple). Outil de centralisation des données ? |      => suggestions : ['']
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - avec la presse (Clubic, par exemple). Outil de centralisation des données ? |  -  => suggestions : [' – ', ' — ', ' − ']
22 Mot inconnu : Clubic =>     - avec la presse (Clubic, par exemple). Outil de centralisation des données ? | clubic

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - rapprochement avec d'autres assos pour mutualiser les fournisseurs TS/badges/... |      => suggestions : ['']
