1 Pas de majuscule sur les mois. => ====== Réunion du 30 Novembre 2010 ====== <|> novembre => suggestions : ['novembre']
3 Mot inconnu : IRC => \\ Lieu: salon IRC #ubuntu-fr-meeting \\ <|> irc

7 Mot inconnu : IRC => ===== Logs IRC de la session ===== <|> irc

11 Mot inconnu : Asso => nov. 30 21:04:50 <YoBoY>	* Réunion Asso <|> asso

12 Mot inconnu : IRC => nov. 30 21:04:50 <YoBoY>	* IRC : #ubuntu-fr-meeting <|> irc

18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 21:06:24 <YoBoY>	* 1 - Bilan des derniers évènements <|>  -  => suggestions : [' – ', ' — ', ' − ']

19 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 21:06:24 <YoBoY>	* 2 - Prochains évènement <|>  -  => suggestions : [' – ', ' — ', ' − ']

20 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 21:06:25 <YoBoY>	* 3 - Réorganisation de notre présence sur LaunchPad <|>  -  => suggestions : [' – ', ' — ', ' − ']
20 Mot inconnu : LaunchPad => nov. 30 21:06:25 <YoBoY>	* 3 - Réorganisation de notre présence sur LaunchPad <|> launchpad

21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 21:06:27 <YoBoY>	* 4 - Soutien financier aux associations du libre <|>  -  => suggestions : [' – ', ' — ', ' − ']

22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 21:06:29 <YoBoY>	* 5 - nouveau logo <|>  -  => suggestions : [' – ', ' — ', ' − ']

23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 21:06:31 <YoBoY>	* 6 - goodies <|>  -  => suggestions : [' – ', ' — ', ' − ']
23 Mot inconnu : goodies => nov. 30 21:06:31 <YoBoY>	* 6 - goodies <|> goodies

24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 21:06:33 <YoBoY>	* 7 - statut membre : faisons le point et avançons <|>  -  => suggestions : [' – ', ' — ', ' − ']

28 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => nov. 30 21:07:03 <YoBoY>	* 1 - Bilan des derniers évènements <|>  -  => suggestions : [' – ', ' — ', ' − ']

31 Incohérence : espace et tabulation. => nov. 30 21:07:33 <YoBoY>	 ? <|> 	  => suggestions : [' ', '\t']
32 Mot inconnu : ok => nov. 30 21:08:24 <YoBoY>	personne ? ok, j'y étais pas... je peux rien en dire <|> ok
32 Typographie : points de suspension. Utilisez le caractère dédié. => nov. 30 21:08:24 <YoBoY>	personne ? ok, j'y étais pas... je peux rien en dire <|> ... => suggestions : ['…']

35 Mot inconnu : chti'nux => nov. 30 21:09:06 <spineaker>	chti'nux a assuré pour tout en gros <|> chti'nux

42 Ni apostrophe ni trait d’union après “y”. => nov. 30 21:10:09 <spineaker>	y'avait olive kinouchou nishiki snip et mav' me semble <|> y'avait => suggestions : ['y avait']
42 Mot inconnu : y'avait => nov. 30 21:10:09 <spineaker>	y'avait olive kinouchou nishiki snip et mav' me semble <|> y'avait
42 Mot inconnu : kinouchou => nov. 30 21:10:09 <spineaker>	y'avait olive kinouchou nishiki snip et mav' me semble <|> kinouchou
42 Mot inconnu : nishiki => nov. 30 21:10:09 <spineaker>	y'avait olive kinouchou nishiki snip et mav' me semble <|> nishiki
42 Mot inconnu : snip => nov. 30 21:10:09 <spineaker>	y'avait olive kinouchou nishiki snip et mav' me semble <|> snip
42 Mot inconnu : mav => nov. 30 21:10:09 <spineaker>	y'avait olive kinouchou nishiki snip et mav' me semble <|> mav
42 Guillemets typographiques fermants. => nov. 30 21:10:09 <spineaker>	y'avait olive kinouchou nishiki snip et mav' me semble <|> ' => suggestions : ['”', '’', '›']

43 Incohérence probable avec “a” : “brader” n’est pas un participe passé. => nov. 30 21:10:11 <kinouchou>	on a brader que les anciens mugs et les gens n'ont pas fait attention aux prix <|> brader => suggestions : ['bradé']

