1 Mot inconnu : Open-Topic => ====== Open-Topic ====== | open-topic

6 Mot inconnu : open-topic => Un open-topic day est une sorte de ménage de printemps des forums, c'est à dire un maximum d'utilisateurs se retrouvent exhument de vieux messages et tentent de les classer ou de les faire remonter en postant une solution eventuelle. | open-topic
6 Mot inconnu : day => Un open-topic day est une sorte de ménage de printemps des forums, c'est à dire un maximum d'utilisateurs se retrouvent exhument de vieux messages et tentent de les classer ou de les faire remonter en postant une solution eventuelle. | day
6 Il manque les traits d’union. => Un open-topic day est une sorte de ménage de printemps des forums, c'est à dire un maximum d'utilisateurs se retrouvent exhument de vieux messages et tentent de les classer ou de les faire remonter en postant une solution eventuelle. | c'est à dire => suggestions : ['c’est-à-dire']
6 Mot inconnu : eventuelle => Un open-topic day est une sorte de ménage de printemps des forums, c'est à dire un maximum d'utilisateurs se retrouvent exhument de vieux messages et tentent de les classer ou de les faire remonter en postant une solution eventuelle. | eventuelle

20 Mot inconnu : ca => ===== Comment ca marche? ===== | ca

22 S’il s’agit d’un impératif, mettez un trait d’union. => Parcourez le forum à la recherche de doublons, résolus et autres, et signalez les aux modérateurs via le bouton "Signaler" en bas de chaque post, en écrivant une petite ligne explicative... un simple [Résolu] suffit pour les posts résolus, pour les doublons "Doublon du post machin". | signalez les => suggestions : ['signalez-les']
22 Guillemets typographiques ouvrants. => Parcourez le forum à la recherche de doublons, résolus et autres, et signalez les aux modérateurs via le bouton "Signaler" en bas de chaque post, en écrivant une petite ligne explicative... un simple [Résolu] suffit pour les posts résolus, pour les doublons "Doublon du post machin". | " => suggestions : ['«\xa0', '“']
22 Guillemets typographiques fermants. => Parcourez le forum à la recherche de doublons, résolus et autres, et signalez les aux modérateurs via le bouton "Signaler" en bas de chaque post, en écrivant une petite ligne explicative... un simple [Résolu] suffit pour les posts résolus, pour les doublons "Doublon du post machin". | " => suggestions : ['\xa0»', '”']
22 Typographie : points de suspension. Utilisez le caractère dédié. => Parcourez le forum à la recherche de doublons, résolus et autres, et signalez les aux modérateurs via le bouton "Signaler" en bas de chaque post, en écrivant une petite ligne explicative... un simple [Résolu] suffit pour les posts résolus, pour les doublons "Doublon du post machin". | ... => suggestions : ['…']
22 Guillemets typographiques ouvrants. => Parcourez le forum à la recherche de doublons, résolus et autres, et signalez les aux modérateurs via le bouton "Signaler" en bas de chaque post, en écrivant une petite ligne explicative... un simple [Résolu] suffit pour les posts résolus, pour les doublons "Doublon du post machin". | " => suggestions : ['«\xa0', '“']
22 Guillemets typographiques fermants. => Parcourez le forum à la recherche de doublons, résolus et autres, et signalez les aux modérateurs via le bouton "Signaler" en bas de chaque post, en écrivant une petite ligne explicative... un simple [Résolu] suffit pour les posts résolus, pour les doublons "Doublon du post machin". | " => suggestions : ['\xa0»', '”']

24 Mot inconnu : irc => Pour tout post où vous ne savez pas si c'est résolu, ou prêtant à discussion, le salon irc est là pour ca :) | irc
24 Mot inconnu : ca => Pour tout post où vous ne savez pas si c'est résolu, ou prêtant à discussion, le salon irc est là pour ca :) | ca
